year,month,day,hour,minute,lat,lon,node_1,node_2
2017,7,4,23,26,40.832623,-73.92537,42771315,5116063237
2017,7,14,20,0,40.744442,-73.979065,42446934,42449314
2017,7,14,16,0,40.75514,-73.99131,42433620,42435654
2017,7,12,18,30,40.721363,-73.84808,42900195,42921691
2017,7,25,7,50,40.741615,-73.993744,42427371,42430265
2017,7,7,5,30,40.748226,-73.75979,1930487425,1930487419
2017,7,20,7,50,40.74147,-73.82281,462110388,42873021
2017,7,18,9,5,40.87041,-73.88687,42763907,42772845
2017,7,14,21,55,40.75372,-73.83283,5421246259,5421246261
2017,7,21,14,5,40.773655,-73.95173,42452956,42439409
2017,7,10,12,55,40.83163,-73.92252,42734173,42734179
2017,7,24,9,45,40.767982,-73.82685,42848218,42848221
2017,7,13,17,22,40.867817,-73.92363,42445637,42453349
2017,7,15,23,0,40.740913,-73.95226,588178801,2799547042
2017,7,17,12,5,40.710957,-73.951126,42491478,42520579
2017,7,5,13,30,40.6127,-73.953926,42512797,42512802
2017,7,13,10,21,40.68862,-73.73746,42845064,42934107
2017,7,8,15,50,40.665535,-73.93699,42493261,42475509
2017,7,15,17,58,40.74725,-73.88751,42870325,42870329
2017,7,23,5,20,40.71042,-73.85964,42860259,2757013678
2017,7,13,17,50,40.630814,-74.02508,42477666,42509517
2017,7,26,8,30,40.710094,-73.93722,42474044,42474048
2017,7,16,15,56,40.691353,-73.796776,42788656,42788659
2017,7,6,18,55,40.631836,-73.94463,42496599,5488627192
2017,7,6,22,30,40.820263,-73.92976,42733546,5335109930
2017,7,12,16,0,40.663124,-73.9509,42520764,42481663
2017,7,26,12,30,40.70312,-73.96443,42469425,42506392
2017,7,16,14,15,40.725037,-73.850426,42877520,5524052835
2017,7,8,15,0,40.680023,-73.794624,42824701,42901193
2017,7,4,9,0,40.69977,-73.98294,42521949,598050847
2017,7,8,21,57,40.554256,-74.17305,42982641,42982645
2017,7,27,15,30,40.745686,-73.97213,42422899,42449689
2017,7,8,6,30,40.672363,-73.93079,42516378,42520929
2017,7,7,16,50,40.71309,-73.99362,42435920,42435921
2017,7,13,14,46,40.752686,-74.000534,42437693,42451695
2017,7,20,6,46,40.71955,-73.98291,42432078,42437067
2017,7,21,13,0,40.879337,-73.87494,42732094,42734127
