u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
64155301,64173764,0,False,secondary,Andover Street,73.363,2,12.8,,,,,,,,,8850827,
64155301,64182944,0,False,secondary,Andover Street,101.875,2,12.8,,,,,,,,,8850827,
64155301,64190987,0,False,residential,Ballard Road,361.221,2,12.2,,,,,,,,,8850896,
64155323,64199806,0,False,residential,East Sylvester Street,67.556,2,9.1,,,,,,,,,8851753,
64155371,64176690,0,False,secondary,Haverhill Street,183.097,2,15.2,,30 mph,,,,,,,8850686,MA 110
64155371,64175411,0,True,tertiary,Franklin Street,79.341,2,15.2,,,,,,,,,8851087,
64155371,64191456,0,False,secondary,Haverhill Street,141.4,2,15.2,,30 mph,,,,,,,8850686,MA 110
64155409,64158040,0,False,secondary,Haverhill Street,26.668,2,15.2,,30 mph,,,,,,,8850686,MA 110
64155409,64163237,0,False,secondary,Haverhill Street,25.321,2,15.2,,30 mph,,,,,,,8850686,MA 110
64155409,64213231,0,False,residential,Congress Street,109.645,2,12.2,,,,,,,,,8852102,
64155444,64159986,0,False,residential,Brookfield Street,75.626,2,15.2,,,,,,,,,8850957,
64155444,64168773,0,False,residential,Brookfield Street,104.341,2,15.2,,,,,,,,,8850957,
64155444,64209314,0,False,residential,Inman Street,171.865,2,15.2,,,,,,,,,8851652,
64155444,64207405,0,False,residential,Inman Street,179.953,2,15.2,,,,,,,,,8851652,
64155468,64218973,0,False,residential,Josephine Avenue,151.919,2,12.2,,,,,,,,,8851208,
64155468,64159138,0,False,residential,Williams Street,60.121,2,12.2,,,,,,,,,8851731,
64155490,64198434,0,False,residential,Broadway Court,63.781,1,4.6,,,,,,,,,8851977,
64155504,64189842,0,False,secondary,Park Street,57.027,2,12.2,,,,,,,,,8851985,
64155504,64195665,0,False,secondary,Park Street,60.55,2,12.2,,,,,,,,,8851985,
64155504,64172253,0,False,residential,Bennington Street,158.304,2,12.2,,,,,,,,,484571769,
64155504,64175568,0,False,residential,Bennington Street,81.911,2,12.2,,,,,,,,,484571769,
64155517,64218753,0,False,residential,Phillips Street,87.1,2,15.2,,,,,,,,,8850876,
64155517,64166381,0,False,residential,Phillips Street,89.668,2,15.2,,,,,,,,,8850876,
64155517,64194766,0,False,residential,Abbott Street,167.816,2,15.2,,,,,,,,,8851211,
64155517,64178282,0,False,residential,Abbott Street,195.873,2,15.2,,,,,,,,,8851211,
64155597,64201360,0,False,residential,Marble Avenue,81.978,2,12.2,,,,,,,,,8851821,
