osmid,x,y,ref,highway
65608351,-70.940171,41.616341,,
65628188,-70.940079,41.616294,,
65660009,-70.9360965,41.6136897,,
65671848,-70.934546,41.610092,,
65693513,-70.933872,41.610426,,
65707614,-70.9678821,41.647079,,
65733588,-70.969482,41.648538,,
65801002,-70.939213,41.615884,,
65824885,-70.937519,41.615072,,
66898558,-70.907777,41.597762,,
66898656,-70.905255,41.596923,,
66898688,-70.961565,41.650158,,
66898715,-70.930562,41.687297,,
66898724,-70.935191,41.653639,,
66898769,-70.929814,41.677251,,
66898773,-70.948272,41.62626,,
66898785,-70.9659277,41.6786009,,
66898815,-70.908423,41.599376,,
66898819,-70.949436,41.679572,,
66898823,-70.945606,41.624711,,
66898833,-70.939731,41.642406,,
66898858,-70.924343,41.62557,,
66898874,-70.921954,41.63567,,
66898884,-70.917748,41.615705,,
66899005,-70.948554,41.721833,,
66899035,-70.9260286,41.6930238,,
66899041,-70.931882,41.694089,,
66899054,-70.968392,41.650223,,
66899085,-70.935397,41.64605,,
66899148,-70.93341,41.666209,,
66899161,-70.934751,41.657263,,
66899182,-70.929043,41.643245,,
66899201,-70.944485,41.620461,,
66899274,-70.922711,41.666489,,
66899292,-70.953745,41.652263,,
66899365,-70.930053,41.64591,,
66899383,-70.950852,41.635649,,
66899532,-70.94328,41.679817,,
66899644,-70.937004,41.637335,,
66899679,-70.942336,41.701705,,
66899696,-70.951302,41.659841,3,motorway_junction
66899730,-70.936001,41.71088,,
66899776,-70.929189,41.625615,,
66899794,-70.953115,41.652366,,
66899907,-70.928732,41.667333,,
66899992,-70.919194,41.681753,,
66900013,-70.941228,41.725187,,
66900126,-70.910063,41.60989,,
66900183,-70.910404,41.605388,,
66900282,-70.932223,41.677289,,
66900522,-70.910017,41.604174,,
66900568,-70.917058,41.616198,,
66900696,-70.924821,41.622774,,
66900738,-70.9558733,41.7262645,,
66900786,-70.9223,41.616428,,
66900796,-70.951919,41.643413,,
66900814,-70.929641,41.626679,,
66900826,-70.963608,41.651522,,
66900897,-70.962036,41.64416,,
66900963,-70.93979,41.646463,,
66901079,-70.945827,41.701631,,
66901095,-70.933507,41.679474,,
66901312,-70.936064,41.718108,,
66901343,-70.947513,41.702235,,
66901376,-70.959231,41.649958,,
