osmid,x,y,ref,highway
71755198,-72.7485233,42.118582,,
71755222,-72.7402895,42.1112362,,
71755232,-72.768576,42.092713,,
71755243,-72.6911,42.178351,,
71755373,-72.722538,42.152653,,
71755546,-72.744476,42.1358,,
71755630,-72.763924,42.101505,,
71756302,-72.763868,42.128561,,
71756374,-72.751089,42.120059,,
71756419,-72.7915301,42.12836,,
71756539,-72.750547,42.126167,,
71756550,-72.753257,42.143273,,
71756981,-72.776024,42.100429,,
71757350,-72.79981,42.105945,,
71757617,-72.726532,42.134659,,
71757800,-72.76288,42.100338,,
71758800,-72.808969,42.136831,,
71758893,-72.762539,42.101048,,
71759153,-72.766963,42.118813,,
71759279,-72.737184,42.09911,,
71759412,-72.774901,42.094724,,
71759443,-72.6909152,42.1815413,,
71759509,-72.698573,42.152977,,
71759827,-72.6862828,42.1614772,,turning_circle
71760075,-72.768167,42.11718,,
71760222,-72.733859,42.10261,,
71760309,-72.813285,42.143521,,
71760463,-72.768345,42.120505,,
71760539,-72.7642907,42.1112466,,traffic_signals
71760704,-72.701063,42.182896,,
71760951,-72.7191374,42.1021927,,traffic_signals
71761030,-72.697219,42.184719,,
71761109,-72.720426,42.135345,,
71761429,-72.7525664,42.1201694,,
71761636,-72.723217,42.134568,,
71761649,-72.785579,42.159803,,
71762040,-72.746969,42.124231,,
71762176,-72.750316,42.117599,,
71762281,-72.726349,42.182866,,traffic_signals
71762302,-72.739825,42.132361,,
71762601,-72.733675,42.142094,,
71762764,-72.7999931,42.131247,,
71762811,-72.7351304,42.1253975,,
71763009,-72.751602,42.12339,,
71763080,-72.687663,42.178162,,
71763183,-72.728513,42.105478,,
71763519,-72.727879,42.096602,,
71763546,-72.724343,42.138161,,
71763615,-72.753931,42.116468,,
71763951,-72.7649156,42.1305197,,
71763962,-72.719094,42.139821,,
71764660,-72.736321,42.113614,,
71764951,-72.7648574,42.1480882,,
71765040,-72.707969,42.133226,,
71765064,-72.764661,42.1072034,,
71765292,-72.792139,42.156871,,
71765850,-72.7441303,42.1247272,,
71766360,-72.742295,42.114469,,
71766430,-72.8031511,42.132305,,
71766473,-72.750522,42.142198,,
71766583,-72.76007,42.119211,,traffic_signals
71766628,-72.765111,42.119623,,
71767173,-72.699529,42.139859,,
71767555,-72.6896538,42.1725625,,
71767574,-72.7065664,42.1793719,,
71768389,-72.74186,42.146286,,
71768433,-72.692383,42.152271,,
71768510,-72.770374,42.122461,,
71768567,-72.727251,42.150384,,
71768683,-72.758741,42.112337,,
71768791,-72.7474549,42.1141187,,traffic_signals
71768862,-72.734709,42.148315,,
71768921,-72.78589,42.108722,,
71768942,-72.7330606,42.0929517,,turning_circle
71769052,-72.7281681,42.1144723,,traffic_signals
71769227,-72.747314,42.14376,,
