u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
67871026,68091586,0,False,residential,Pine Street,73.035,1,12.2,,,,,,,,,9178343,
67871026,67890129,0,False,residential,First Avenue West Hyannisport,257.317,2,12.2,,,,,,,,,9177875,
67890129,67871026,0,False,residential,First Avenue West Hyannisport,257.317,2,12.2,,,,,,,,,9177875,
67932356,68099791,0,False,residential,Pine Street,73.254,1,12.2,,,,,,,,,9177489,
67932356,68265621,0,False,residential,Fourth Avenue,132.227,2,12.2,,,,,,,,,9179096,
68068711,68091586,0,False,residential,Pine Street,73.489,1,12.2,,,,,,,,,9178343,
68068711,68153588,0,False,residential,Third Avenue,132.151,2,12.2,,,,,,,,,9181692,
68068711,68138496,0,False,residential,Third Avenue,138.917,2,12.2,,,,,,,,,9181692,
68091586,67871026,0,False,residential,Pine Street,73.035,1,12.2,,,,,,,,,9178343,
68091586,68068711,0,False,residential,Pine Street,73.489,1,12.2,,,,,,,,,9178343,
68099791,67932356,0,False,residential,Pine Street,73.254,1,12.2,,,,,,,,,9177489,
68138496,68265621,0,False,residential,Maple Street,73.412,2,12.2,,,,,,,,,9179329,
68138496,68068711,0,False,residential,Third Avenue,138.917,2,12.2,,,,,,,,,9181692,
68153588,68068711,0,False,residential,Third Avenue,132.151,2,12.2,,,,,,,,,9181692,
68180435,68265621,0,False,residential,Fourth Avenue,137.734,2,12.2,,,,,,,,,9179096,
68265621,68180435,0,False,residential,Fourth Avenue,137.734,2,12.2,,,,,,,,,9179096,
68265621,68138496,0,False,residential,Maple Street,73.412,2,12.2,,,,,,,,,9179329,
68265621,67932356,0,False,residential,Fourth Avenue,132.227,2,12.2,,,,,,,,,9179096,
