osmid,x,y,ref,highway
61341285,-71.0665767,42.3497098,,
61341287,-71.0669176,42.3496263,,
61341694,-71.0672303,42.3518116,,
61342104,-71.0679096,42.3486289,,
61342143,-71.068689,42.348041,,
61342251,-71.066613,42.348761,,traffic_signals
61342257,-71.0670289,42.3491358,,
61342265,-71.0665334,42.3494409,,
61342384,-71.068026,42.347978,,traffic_signals
61342390,-71.0675205,42.3482739,,
61342432,-71.0716077,42.3482841,,
61342449,-71.0717915,42.3486588,,traffic_signals
61350445,-71.0696248,42.3493507,,
61350446,-71.0690577,42.3494692,,
61350448,-71.06841,42.3496059,,
61350452,-71.0671807,42.3498639,,
61350454,-71.0678943,42.3497153,,
61352738,-71.0691788,42.3480814,,traffic_signals
61362396,-71.0679242,42.3499797,,
61363346,-71.0685086,42.3485948,,
61363981,-71.0650878,42.3505602,,
61364147,-71.0660734,42.3511154,,
61366695,-71.0693636,42.3486073,,
61374387,-71.0655281,42.3517342,,
61404897,-71.0694151,42.3487538,,
61446978,-71.067208,42.3479034,,
61457057,-71.0697317,42.3496552,,
61502780,-71.0686605,42.3504953,,traffic_signals
61504972,-71.068205,42.3490875,,
61515030,-71.0677861,42.349445,,
61515150,-71.0675708,42.3488291,,
61515151,-71.067783,42.34904,,
61518000,-71.0668523,42.3509356,,traffic_signals
61518141,-71.0685184,42.3482729,,
61521795,-71.0689143,42.3490799,,
61567752,-71.068381,42.348144,,
1185484845,-71.0693143,42.3484671,,
1212911156,-71.0716848,42.3487405,,traffic_signals
1830326194,-71.06808,42.3488376,,
1830326195,-71.0684781,42.3498743,,
2487362712,-71.0694328,42.3502784,,
2500921856,-71.0669225,42.3511,,traffic_signals
2500921862,-71.0672271,42.3508719,,
2501119764,-71.0665683,42.3510214,,
2501200843,-71.0665586,42.3496349,,
2501200849,-71.0660313,42.3506208,,
