osmid,x,y,ref,highway
65167016,-71.31841,42.578348,,
65168675,-71.319375,42.57899,,
65175109,-71.32,42.580464,,
65176246,-71.32477,42.576059,,
65184500,-71.314831,42.582384,,
65185021,-71.319924,42.577114,,
65189171,-71.319509,42.576152,,
65199990,-71.324764,42.577666,,
65202978,-71.324298,42.57629,,
65203009,-71.320463,42.577741,,
65204965,-71.319741,42.581996,,
65206041,-71.318454,42.583936,,
65209155,-71.321164,42.580927,,
65221419,-71.315931,42.583118,,
65226291,-71.318187,42.581559,,
65234407,-71.328623,42.577265,,
65234878,-71.323178,42.580013,,
65238855,-71.321859,42.580335,,
65242438,-71.314701,42.5837922,,turning_circle
65242686,-71.316617,42.580671,,
65243222,-71.318019,42.579543,,
65245730,-71.320992,42.579389,,
2447158653,-71.3235375,42.5702838,,turning_circle
