osmid,x,y,ref,highway
64750146,-71.353138,42.5613,,
64751995,-71.353792,42.561449,,
65149020,-71.346389,42.576742,,
65150821,-71.363768,42.571595,,
65151440,-71.364398,42.578982,,
65152170,-71.353445,42.568093,,
65153709,-71.3446947,42.5767505,,
65155610,-71.360588,42.577134,,
65161910,-71.352013,42.578631,,
65163769,-71.355433,42.5636774,,
65165077,-71.360318,42.572854,,
65166255,-71.356717,42.573886,,
65168333,-71.351682,42.578978,,
65169240,-71.356066,42.5651452,,turning_circle
65171042,-71.361779,42.574182,,
65173802,-71.365288,42.572891,,
65179624,-71.354711,42.574931,,
65181732,-71.35097,42.576077,,
65183716,-71.362919,42.573566,,
65186328,-71.355406,42.570086,,
65186626,-71.353682,42.577858,,
65187891,-71.352697,42.574644,,
65188293,-71.357722,42.567656,,
65190164,-71.355279,42.573101,,
65192420,-71.3473713,42.5758724,,turning_circle
65192564,-71.359633,42.573064,,
65194545,-71.35078,42.571345,,
65195542,-71.359966,42.577538,,
65197022,-71.3510702,42.5774769,,turning_circle
65198021,-71.362797,42.56972,,
65199753,-71.354394,42.567709,,
65201801,-71.355505,42.571326,,
65205909,-71.357706,42.569687,,
65210932,-71.35532,42.568961,,
65214023,-71.359957,42.5691,,
65215445,-71.351883,42.569265,,
65215503,-71.355107,42.568584,,
65217751,-71.35543,42.573853,,
65218054,-71.348955,42.5747669,,turning_circle
65219047,-71.360071,42.571032,,
65222505,-71.349762,42.572414,,
65222740,-71.350817,42.574753,,
65228241,-71.36117,42.579701,,
65233969,-71.361214,42.569374,,
65234591,-71.352183,42.562868,,
65234700,-71.3446887,42.5773945,,
65235609,-71.354666,42.576449,,
65238415,-71.355326,42.571614,,
65239004,-71.356147,42.563795,,
65240569,-71.3564951,42.5767669,,turning_circle
65243344,-71.366162,42.5802088,,
65246640,-71.354802,42.574686,,
65246733,-71.352663,42.565629,,
65246948,-71.351934,42.570281,,
65248288,-71.358607,42.564172,,
65249990,-71.356576,42.5759355,,
65253480,-71.3579075,42.5723833,,turning_circle
65260066,-71.354901,42.572242,,
65260408,-71.3597697,42.5667776,,turning_circle
65261221,-71.364021,42.572919,,
1527588070,-71.3466092,42.5775301,,turning_circle
