u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
65147562,65235385,0,False,residential,Higate Road,298.862,2,14.0,,,,,,,,,8911155,
65147562,65152889,0,False,residential,Park Road,123.591,2,12.2,,,,,,,,,8911553,
65147562,65254879,0,False,residential,Park Road,17.356,2,12.2,,,,,,,,,8911553,
65148445,65210359,0,False,residential,Park Road,193.947,2,12.2,,,,,,,,,8911553,
65148445,65252160,0,False,residential,Park Road,18.999,2,12.2,,,,,,,,,8911553,
65148445,65241143,0,False,residential,Park Place,136.818,1,8.5,,,,,,,,,8911578,
65148862,2755825580,0,False,residential,Park Road,33.656,2,12.2,,,,,,,,,8911553,
65148862,65217459,0,False,residential,Park Road,168.96,2,12.2,,,,,,,,,8911553,
65148862,1527587885,0,False,residential,Holly Drive,156.297,,,,,,,,,,,139321739,
65150438,65254994,0,False,residential,"['Kenwood Street', 'Linden Street']",391.145,2,12.2,,,,,,,,,"[8912139, 8911804]",
65150438,65161107,0,False,secondary,Acton Road,168.661,2,13.7,,35 mph,,,,,,,8912672,MA 27
65150438,65257086,0,False,secondary,Acton Road,535.114,2,13.7,,35 mph,,,,,,,8912672,MA 27
65150489,65200216,0,False,residential,Park Road,239.142,2,12.2,,,,,,,,,8911553,
65150489,65187856,0,False,residential,Park Road,257.928,2,12.2,,,,,,,,,8911553,
65150489,65256747,0,False,residential,Viken Drive,122.174,,,,,,,,,,,8913794,
65151673,65173757,0,False,secondary,Proctor Road,244.235,2,10.4,,,,,,,,,"[8912946, 540779543]",
65151673,65207584,0,False,secondary,Proctor Road,100.723,2,10.4,,,,,,,,,8912946,
65151673,1527587957,0,False,residential,Buttercup Lane,368.656,,,,,,,,,,,8913931,
65152889,65147562,0,False,residential,Park Road,123.591,2,12.2,,,,,,,,,8911553,
65152889,65250709,0,False,residential,Park Road,70.89,2,12.2,,,,,,,,,8911553,
65152889,65249672,0,False,residential,,96.359,,,,,,,,,,,8913988,
65156336,65230901,0,False,residential,Armand Drive,279.426,2,12.2,,30 mph,,,,,,,8912168,
65156336,65212272,0,False,secondary,Proctor Road,253.068,2,10.4,,,,,,,,,8912946,
65156336,65181437,0,False,secondary,Proctor Road,390.802,2,10.4,,,,,,,,,8912946,
65161107,65210359,0,False,residential,Park Road,142.403,2,12.2,,,,,,,,,8911553,
65161107,65175993,0,False,secondary,Acton Road,417.699,2,13.7,,35 mph,,,,,,,8912672,MA 27
65161107,65150438,0,False,secondary,Acton Road,168.661,2,13.7,,35 mph,,,,,,,8912672,MA 27
65162162,65181437,0,False,secondary,Proctor Road,105.599,2,10.4,,,,,,,,,8912946,
65166552,2895790872,0,False,secondary,Acton Road,16.768,2,13.7,,35 mph,,,,,,,8912672,MA 27
65166552,65237585,0,False,secondary,Common Street,62.279,2,10.1,,,,,,,,,8911136,
65166552,65241456,0,False,secondary,Acton Road,68.299,2,13.7,,35 mph,,,,,,,8912672,MA 27
65172657,65205686,0,False,residential,Park Road,41.011,2,12.2,,,,,,,,,8911553,
65172657,65207584,0,False,residential,Park Road,41.588,,12.2,,,,,,,,,8911250,
65172657,2755825580,0,False,residential,Park Road,192.321,2,12.2,,,,,,,,,8911553,
65173757,65214547,0,False,residential,Fieldstone Terrace,70.44,,,,,,,,,,,8913934,
65173757,65237585,0,False,secondary,Proctor Road,519.706,2,10.4,,,,,,,,,540779543,
65173757,65151673,0,False,secondary,Proctor Road,244.235,2,10.4,,,,,,,,,"[8912946, 540779543]",
65175993,65161107,0,False,secondary,Acton Road,417.699,2,13.7,,35 mph,,,,,,,8912672,MA 27
65176873,65183692,0,False,residential,Eagle Cliff Road,79.3,,,,,,,,,,,8913986,
65176873,65217459,0,False,residential,Park Road,128.844,2,12.2,,,,,,,,,8911553,
65176873,65254879,0,False,residential,Park Road,103.049,2,12.2,,,,,,,,,8911553,
65181437,65156336,0,False,secondary,Proctor Road,390.802,2,10.4,,,,,,,,,8912946,
65181437,65162162,0,False,secondary,Proctor Road,105.599,2,10.4,,,,,,,,,8912946,
65183579,65235385,0,False,residential,Higate Road,528.287,2,14.0,,,,,,,,,8911155,
65183692,65176873,0,False,residential,Eagle Cliff Road,79.3,,,,,,,,,,,8913986,
65187856,65150489,0,False,residential,Park Road,257.928,2,12.2,,,,,,,,,8911553,
65187856,65205686,0,False,residential,Park Road,51.198,2,12.2,,,,,,,,,8911553,
65187856,65212272,0,False,residential,Proctor Road,54.569,2,10.4,,,,,,,,,8912375,
65193338,65226976,0,False,residential,"['Crescent Drive', 'Lambda Lane']",665.28,,,,,,,,,,,"[428744306, 8913546]",
65200216,65252160,0,False,residential,Park Road,81.921,2,12.2,,,,,,,,,8911553,
65200216,65150489,0,False,residential,Park Road,239.142,2,12.2,,,,,,,,,8911553,
65200216,65254994,0,False,residential,Linden Street,100.709,2,12.2,,,,,,,,,8912139,
65200525,65210359,0,False,residential,Jerridge Lane,250.029,2,13.4,,,,,,,,,8912409,
65205686,65172657,0,False,residential,Park Road,41.011,2,12.2,,,,,,,,,8911553,
65205686,65187856,0,False,residential,Park Road,51.198,2,12.2,,,,,,,,,8911553,
65205686,65207584,0,False,secondary,Proctor Road,35.06,2,10.4,,,,,,,,,8912946,
65205686,65212272,0,False,secondary,Proctor Road,47.084,2,10.4,,,,,,,,,8912946,
65207584,65172657,0,False,residential,Park Road,41.588,,12.2,,,,,,,,,8911250,
65207584,65151673,0,False,secondary,Proctor Road,100.723,2,10.4,,,,,,,,,8912946,
65207584,65205686,0,False,secondary,Proctor Road,35.06,2,10.4,,,,,,,,,8912946,
65210359,65161107,0,False,residential,Park Road,142.403,2,12.2,,,,,,,,,8911553,
65210359,65148445,0,False,residential,Park Road,193.947,2,12.2,,,,,,,,,8911553,
65210359,65200525,0,False,residential,Jerridge Lane,250.029,2,13.4,,,,,,,,,8912409,
65212272,65187856,0,False,residential,Proctor Road,54.569,2,10.4,,,,,,,,,8912375,
65212272,65205686,0,False,secondary,Proctor Road,47.084,2,10.4,,,,,,,,,8912946,
65212272,65156336,0,False,secondary,Proctor Road,253.068,2,10.4,,,,,,,,,8912946,
65214547,65173757,0,False,residential,Fieldstone Terrace,70.44,,,,,,,,,,,8913934,
65217459,65148862,0,False,residential,Park Road,168.96,2,12.2,,,,,,,,,8911553,
65217459,65176873,0,False,residential,Park Road,128.844,2,12.2,,,,,,,,,8911553,
65217459,65261799,0,False,residential,Cranberry Lane,131.92,2,14.0,,,,,,,,,8912514,
65226976,65250709,0,False,residential,Park Road,64.394,2,12.2,,,,,,,,,8911553,
65226976,65193338,0,False,residential,"['Crescent Drive', 'Lambda Lane']",665.28,,,,,,,,,,,"[8913546, 428744306]",
65230901,65156336,0,False,residential,Armand Drive,279.426,2,12.2,,30 mph,,,,,,,8912168,
65235385,65147562,0,False,residential,Higate Road,298.862,2,14.0,,,,,,,,,8911155,
65235385,65183579,0,False,residential,Higate Road,528.287,2,14.0,,,,,,,,,8911155,
65235385,65249241,0,False,residential,Strobel Lane,157.305,2,15.2,,35 mph,,,,,,,8911675,
65237585,65166552,0,False,secondary,Common Street,62.279,2,10.1,,,,,,,,,8911136,
65237585,65241456,0,False,secondary,Proctor Road,56.417,2,10.4,,,,,,,,,540779543,
65237585,65173757,0,False,secondary,Proctor Road,519.706,2,10.4,,,,,,,,,540779543,
65238821,65254879,0,False,residential,Southwood Drive,325.31,,,,,,,,,,,8913984,
65241143,65241143,0,False,residential,Park Place,101.904,1,8.5,,,,,,,,,8911578,
65241143,65241143,1,False,residential,Park Place,101.904,1,8.5,,,,,,,,,8911578,
65241143,65148445,0,False,residential,Park Place,136.818,1,8.5,,,,,,,,,8911578,
65241456,65257086,0,False,secondary,Acton Road,47.637,2,13.7,,35 mph,,,,,,,8912672,MA 27
65241456,65166552,0,False,secondary,Acton Road,68.299,2,13.7,,35 mph,,,,,,,8912672,MA 27
65241456,65237585,0,False,secondary,Proctor Road,56.417,2,10.4,,,,,,,,,540779543,
65249241,65235385,0,False,residential,Strobel Lane,157.305,2,15.2,,35 mph,,,,,,,8911675,
65249672,65152889,0,False,residential,,96.359,,,,,,,,,,,8913988,
65250709,65152889,0,False,residential,Park Road,70.89,2,12.2,,,,,,,,,8911553,
65250709,65226976,0,False,residential,Park Road,64.394,2,12.2,,,,,,,,,8911553,
65250709,5230989197,0,False,residential,Braeburn Road,332.42,2,12.2,,30 mph,,,,,,,8912323,
65252160,65148445,0,False,residential,Park Road,18.999,2,12.2,,,,,,,,,8911553,
65252160,65200216,0,False,residential,Park Road,81.921,2,12.2,,,,,,,,,8911553,
65252160,65254994,0,False,residential,Green Acre Lane,163.653,2,13.4,,,,,,,,,"[285944352, 8911752]",
65254879,65176873,0,False,residential,Park Road,103.049,2,12.2,,,,,,,,,8911553,
65254879,65147562,0,False,residential,Park Road,17.356,2,12.2,,,,,,,,,8911553,
65254879,65238821,0,False,residential,Southwood Drive,325.31,,,,,,,,,,,8913984,
65254994,65252160,0,False,residential,Green Acre Lane,163.653,2,13.4,,,,,,,,,"[8911752, 285944352]",
65254994,65200216,0,False,residential,Linden Street,100.709,2,12.2,,,,,,,,,8912139,
65254994,65150438,0,False,residential,"['Kenwood Street', 'Linden Street']",391.145,2,12.2,,,,,,,,,"[8912139, 8911804]",
65256747,65150489,0,False,residential,Viken Drive,122.174,,,,,,,,,,,8913794,
65257086,65150438,0,False,secondary,Acton Road,535.114,2,13.7,,35 mph,,,,,,,8912672,MA 27
65257086,65241456,0,False,secondary,Acton Road,47.637,2,13.7,,35 mph,,,,,,,8912672,MA 27
65261799,65217459,0,False,residential,Cranberry Lane,131.92,2,14.0,,,,,,,,,8912514,
1527587885,1527587885,0,False,residential,Holly Drive,73.827,,,,,,,,,,,139321739,
1527587885,1527587885,1,False,residential,Holly Drive,73.827,,,,,,,,,,,139321739,
1527587885,65148862,0,False,residential,Holly Drive,156.297,,,,,,,,,,,139321739,
1527587957,1527587957,0,False,residential,Buttercup Lane,73.668,,,,,,,,,,,8913931,
1527587957,1527587957,1,False,residential,Buttercup Lane,73.668,,,,,,,,,,,8913931,
1527587957,65151673,0,False,residential,Buttercup Lane,368.656,,,,,,,,,,,8913931,
2755825569,2755825580,0,False,residential,Azalea Court,67.571,,,,,,,,,,,270560662,
2755825580,65148862,0,False,residential,Park Road,33.656,2,12.2,,,,,,,,,8911553,
2755825580,2755825569,0,False,residential,Azalea Court,67.571,,,,,,,,,,,270560662,
2755825580,65172657,0,False,residential,Park Road,192.321,2,12.2,,,,,,,,,8911553,
2895790872,65166552,0,False,secondary,Acton Road,16.768,2,13.7,,35 mph,,,,,,,8912672,MA 27
5230989197,65250709,0,False,residential,Braeburn Road,332.42,2,12.2,,30 mph,,,,,,,8912323,
