osmid,x,y,ref,highway
65758516,-71.526348,42.367011,,
65763362,-71.529016,42.366067,,
65766591,-71.522681,42.370727,,
65769205,-71.52429,42.363874,,
65769567,-71.5304107,42.3550428,,
65772692,-71.5312475,42.3579652,,
65773311,-71.530852,42.3550064,,
65774858,-71.531514,42.360629,,
65783397,-71.525025,42.369944,,
65786529,-71.520227,42.365734,,
65787855,-71.5326784,42.356219,,
65796533,-71.530502,42.356533,,
65796931,-71.526099,42.367931,,
65799637,-71.526617,42.368192,,
65803286,-71.524732,42.368131,,
65804470,-71.527805,42.371474,,
65804714,-71.528373,42.37071,,
65804764,-71.522449,42.37234,,
65811959,-71.529513,42.355117,,
65816925,-71.529834,42.356582,,
65817990,-71.5293837,42.3735246,,
65818346,-71.5317602,42.3565261,,
65818783,-71.532806,42.364604,,
65819334,-71.522644,42.374557,,
65822595,-71.529037,42.369824,,
65822724,-71.527531,42.369323,,
65823920,-71.527371,42.365407,,
65824815,-71.529953,42.370066,,
65828994,-71.532777,42.357584,,
65839324,-71.524383,42.366926,,
65840470,-71.531574,42.366645,,
65843435,-71.533915,42.36306,,
65845721,-71.533775,42.36184,,
65849963,-71.530821,42.364923,,
65850798,-71.525963,42.371886,,
65853454,-71.532892,42.358224,,
65859495,-71.527109,42.368678,,
65861065,-71.532545,42.354857,,
65861566,-71.530234,42.37017,,
65862881,-71.5306414,42.3565178,,
65864034,-71.53269,42.3563648,,
65864742,-71.525495,42.3652,,
65866370,-71.531117,42.352368,,
65869806,-71.5310743,42.3564984,,
65870260,-71.522145,42.367988,,
65870646,-71.529525,42.37242,,
65873837,-71.529876,42.368855,,
65886949,-71.527263,42.372523,,
65890222,-71.529717,42.367594,,
65892078,-71.531721,42.36129,,
65892533,-71.532124,42.365279,,
65894099,-71.529329,42.366839,,
65896971,-71.52276,42.369909,,
65897824,-71.526183,42.369658,,
65898440,-71.530202,42.365997,,
65899057,-71.529759,42.368186,,
65899793,-71.5283442,42.3730279,,
65900159,-71.5312877,42.3716375,,
65900498,-71.5327027,42.3566618,,
65902287,-71.522781,42.368845,,
65902699,-71.532131,42.358601,,
65905995,-71.5316822,42.3581357,,
65906055,-71.533654,42.363653,,
65907763,-71.532669,42.36275,,
65908033,-71.522734,42.375288,,
65908377,-71.530199,42.371562,,
65910988,-71.533577,42.361163,,
65911001,-71.533371,42.360503,,
65911041,-71.521669,42.375305,,
65912102,-71.523215,42.36741,,
65912737,-71.529916,42.369228,,
65913013,-71.524675,42.369108,,
2755280588,-71.5314044,42.3550659,,
