osmid,x,y,ref,highway
65761127,-71.5508164,42.3465741,,
65762090,-71.550976,42.3457,,
65764458,-71.551202,42.350718,,
65765424,-71.553302,42.349401,,
65766290,-71.538191,42.3521,,
65766567,-71.552152,42.349659,,
65767378,-71.545703,42.348653,,
65768879,-71.556607,42.350113,,
65774580,-71.543622,42.352648,,
65775723,-71.5446296,42.3482653,,
65777086,-71.543774,42.347295,,traffic_signals
65778918,-71.546032,42.345913,,traffic_signals
65784278,-71.549417,42.352397,,
65785363,-71.5515569,42.3465869,,
65790488,-71.5526656,42.3465945,,
65792116,-71.547335,42.349998,,
65792279,-71.547143,42.346941,,
65796635,-71.55663,42.35116,,
65800734,-71.544895,42.347333,,
65802324,-71.550825,42.349297,,
65802698,-71.544528,42.347361,,
65809722,-71.5488462,42.3467292,,
65810978,-71.552439,42.350917,,
65813287,-71.550639,42.348618,,
65817087,-71.547612,42.355179,,
65827850,-71.545622,42.352869,,
65827932,-71.55312,42.347733,,
65828171,-71.556301,42.351778,,
65832745,-71.553143,42.354633,,
65834119,-71.556145,42.349598,,
65836592,-71.541418,42.353146,,
65841034,-71.543981,42.353472,,
65846036,-71.547059,42.352106,,
65846678,-71.541973,42.350257,,
65849681,-71.546288,42.355415,,
65851936,-71.5525724,42.3537765,,turning_circle
65852084,-71.548701,42.350351,,
65855082,-71.551297,42.351166,,
65856988,-71.547732,42.351076,,
65857877,-71.550968,42.349863,,
65858063,-71.546638,42.351331,,
65858206,-71.550934,42.349725,,
65858544,-71.552013,42.349005,,
65859674,-71.545873,42.345903,,traffic_signals
65860018,-71.543367,42.349666,,
65860402,-71.5468197,42.3457853,,
65860977,-71.549168,42.351636,,
65861641,-71.542158,42.351129,,
65861862,-71.551089,42.35034,,
65862035,-71.5429392,42.348047,,
65864772,-71.543378,42.347161,,traffic_signals
65865630,-71.548903,42.348111,,
65866179,-71.5523246,42.3465945,,
65868870,-71.5526703,42.352384,,turning_circle
65869461,-71.55376,42.35275,,
65870319,-71.546955,42.346283,,
65870416,-71.546501,42.356622,,
65870793,-71.548631,42.345565,,traffic_signals
65874655,-71.53952,42.352315,,
65874750,-71.550501,42.35761,,
65875602,-71.548862,42.350828,,
65878807,-71.545919,42.349387,,
65881283,-71.539448,42.351966,,
65882035,-71.552137,42.351707,,
65883066,-71.549466,42.347197,,
65883482,-71.546883,42.351844,,
65884870,-71.542418,42.348227,,
65886308,-71.53963,42.354914,,
65887406,-71.546469,42.351019,,
65887694,-71.54501,42.3482577,,
65887866,-71.545602,42.348246,,
65889098,-71.551579,42.354761,,
65890622,-71.557403,42.3496,,
65890739,-71.545076,42.349266,,
65890877,-71.5526723,42.3530596,,
65891850,-71.551934,42.34801,,
65892676,-71.550229,42.346877,,
65892885,-71.557868,42.349943,,
65893862,-71.554871,42.353663,,
65894342,-71.548516,42.349804,,
65901660,-71.553704,42.351733,,
65904707,-71.551468,42.352652,,
65905526,-71.553193,42.34868,,
65905856,-71.549266,42.354769,,traffic_signals
65905878,-71.548255,42.349046,,
65906195,-71.546591,42.348523,,
65906239,-71.546151,42.350187,,traffic_signals
65906826,-71.549681,42.347979,,
65907966,-71.54761,42.352798,,
65908563,-71.550245,42.354693,,
65908573,-71.54569,42.347196,,traffic_signals
65909425,-71.550465,42.347842,,
65910145,-71.550328,42.345467,,traffic_signals
65910247,-71.544174,42.347346,,
65910257,-71.551707,42.347621,,
65910857,-71.544384,42.349699,,
65912400,-71.552235,42.349993,,
65912438,-71.551038,42.350141,,
65912472,-71.5481722,42.3564321,,
65912486,-71.551752,42.347897,,
65913584,-71.541141,42.35243,,
