u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
65772092,5467166469,0,False,residential,,292.377,,,,,,,,,,,8995469,
65772092,5467166223,0,False,residential,,48.025,,,,,,,,,,,8995469,
65772092,5467166259,0,False,residential,,75.805,,,,,,,,,,,568232370,
65772092,5467166477,0,False,residential,,80.661,,,,,,,,,,,568232378,
65774288,65898869,0,False,primary,Boston Post Road West,26.084,4,18.3,,45 mph,,,,,,,8994650,US 20
65778520,65812704,0,False,residential,Martinangelo Drive,510.951,2,15.2,,,,,,,,,8995246,
65778520,5467166475,0,False,tertiary,Simarano Drive,256.93,2,18.3,,,,,,,,,8995249,
65779270,65818645,0,True,motorway_link,,115.639,,,,,,,,,,,8995102,
65779270,65894657,0,True,motorway_link,,144.773,,,,,,,,,,,8995104,
65796300,65882285,0,False,residential,"[""D'angelo Drive"", 'Saint Martin Drive']",334.865,2,15.2,,,,,,,,,"[8995129, 8995355]",
65800364,65858180,0,False,secondary,Bartlett Street,503.461,2,18.3,,,,,,,,,8994601,
65800364,65812704,0,False,tertiary,Forest Street,267.504,2,18.3,,,,,,,,,8994981,
65800364,65885109,0,False,secondary,Forest Street,624.203,1,6.1,,,,,,,,,8995039,
65800755,65810777,0,False,primary,Boston Post Road West,3.354,4,18.3,,45 mph,,,,,,,8994650,US 20
65805607,65763660,0,True,motorway_link,,267.297,,,,,,,,,,,8994700,
65808451,65779270,0,True,motorway_link,,162.695,,,,,,,,,,,533036846,
65810777,65800755,0,False,primary,Boston Post Road West,3.354,4,18.3,,45 mph,,,,,,,8994650,US 20
65812704,65800364,0,False,tertiary,Forest Street,267.504,2,18.3,,,,,,,,,8994981,
65812704,65778520,0,False,residential,Martinangelo Drive,510.951,2,15.2,,,,,,,,,8995246,
65818645,65805607,0,True,motorway_link,,94.5,,,,,,,,,,,8994702,
65818645,65826371,0,False,tertiary,Crane Meadow Road,75.093,2,16.8,,,,,,,,,541011933,
65818645,65894657,0,False,tertiary,Crane Meadow Road,67.945,2,16.8,,,,,,,,,542172801,
65824172,65841909,0,False,residential,Ames Street,60.642,,12.2,,,,,,,,,8995078,
65826371,65805607,0,True,motorway_link,,121.591,,,,,,,,,,,8994700,
65826371,65882285,0,False,tertiary,Crane Meadow Road,427.213,2,16.8,,,,,,,,,8994708,
65826371,65818645,0,False,tertiary,Crane Meadow Road,75.093,2,16.8,,,,,,,,,541011933,
65829982,65910214,0,False,residential,Puritan Way,563.414,,,,,,,,,,,445398165,
65833085,65808451,0,True,motorway_link,,753.903,,,,,,,,,,,8995060,
65839005,65800755,0,True,residential,Northboro Road,41.166,2,10.4,,,,,,,,,8994943,
65841909,65824172,0,False,residential,Ames Street,60.642,,12.2,,,,,,,,,8995078,
