u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
67422297,67504454,0,False,secondary,Centre Street,27.857,2,21.3,,,,,,,,,41740042,
67422297,67425790,0,False,secondary,Centre Street,20.334,2,21.3,,,,,,,,,41740042,
67422297,1138589428,0,False,residential,Jefferson Street,49.429,2,9.1,,,,,,,,,9125962,
67422563,67448837,0,False,residential,School Street,43.715,2,10.7,,,,,,,,,9123320,
67422563,67587005,0,False,residential,Gardner Street,55.729,2,,,,,,,,,,9125940,
67422563,67427118,0,False,residential,School Street,61.211,2,10.7,,,,,,,,,9123320,
67422563,67593584,0,False,residential,Gardner Street,134.709,2,,,,,,,,,,9125940,
67422652,67515616,0,False,residential,West Street,356.083,2,12.2,,,,,,,,,9124854,
67422652,67456286,0,False,secondary,Watertown Street,89.056,2,18.3,,,,,,,,,165135120,MA 16
67422652,67507874,0,False,secondary,Watertown Street,48.347,2,18.3,,,,,,,,,165135120,MA 16
67422664,67425542,0,False,tertiary,California Street,29.167,2,13.7,,,,,,,,,319795939,
67422664,67450836,0,False,tertiary,California Street,43.636,2,13.7,,,,,,,,,319795939,
67422664,67562597,0,False,residential,Bemis Road,161.82,2,12.2,,,,,,,,,9122941,
67422680,67546244,0,False,residential,Barrieau Court,76.814,2,6.1,,,,,,,,,9123660,
67422680,67534835,0,False,secondary,Watertown Street,56.747,2,18.3,,,,,,,,,165135120,MA 16
67422680,67511370,0,False,secondary,Watertown Street,121.573,2,18.3,,,,,,,,,165135120,MA 16
67422760,67576762,0,False,residential,Edinboro Terrace,63.735,1,6.1,,,,,,,,,9123269,
67422866,67491461,0,False,residential,Bacon Road,88.094,1,6.1,,,,,,,,,9126840,
67422866,67502585,0,False,secondary,Walnut Street,157.832,2,,,,,,,,,,426475275,
67422866,67494292,0,False,secondary,Walnut Street,84.351,"['2', '3']",,,,,,,,,,"[426475275, 426475279]",
67422880,1136816478,0,False,residential,Maguire Court,100.637,2,5.5,,,,,,,,,9124081,
67422880,67422880,0,False,residential,,93.895,,,,,,,,,,,9125011,
67422880,67422880,1,False,residential,,93.895,,,,,,,,,,,9125011,
67423156,3286754560,0,False,tertiary,Lewis Terrace,18.995,2,12.2,,,,,,,,,116561861,
67423156,67511750,0,True,tertiary_link,,67.181,,,,,,,,,,,116561860,
67423156,67515657,0,False,tertiary,Lewis Terrace,27.373,2,12.2,,,,,,,,,116561861,
67424649,67579414,0,False,residential,Nevada Street,157.686,2,15.2,,,,,,,,,158928855,
67424649,67548581,0,False,residential,Nevada Street,203.328,2,15.2,,,,,,,,,518430756,
67424649,67482995,0,False,residential,Linwood Avenue,146.008,2,13.7,,,,,,,,,9124732,
67424649,67488493,0,False,residential,Linwood Avenue,140.705,2,13.7,,,,,,,,,9124732,
67424722,67436048,0,False,residential,Albemarle Road,165.945,1,45.7,,,,,,,,,9124106,
67424722,67546268,0,False,residential,Joseph Road,204.716,2,13.7,,,,,,,,,9126061,
67425162,67593755,0,False,residential,Omar Terrace,91.805,2,9.8,,,,,,,,,9123952,
67425483,67440925,0,False,residential,Hermon Terrace,53.651,1,4.6,,,,,,,,,9126618,
67425483,67464035,0,True,residential,Jefferson Street,61.654,2,9.1,,,,,,,,,98404258,
67425542,67482995,0,False,residential,Melville Avenue,188.639,2,12.2,,,,,,,,,9123401,
67425542,67455553,0,False,tertiary,California Street,73.44,2,13.7,,,,,,,,,319795939,
67425542,67422664,0,False,tertiary,California Street,29.167,2,13.7,,,,,,,,,319795939,
67425641,67464035,0,False,residential,Nonantum Place,179.939,2,9.1,,,,,,,,,9124672,
67425641,67449971,0,True,residential,Charlesbank Road,127.093,2,9.1,,,,,,,,,322048023,
67425729,67542360,0,False,residential,Hawthorn Street,19.254,2,12.2,,,,,,,,,9124085,
67425729,67556814,0,False,residential,Hawthorn Street,56.89,2,12.2,,,,,,,,,9124085,
67425729,67457081,0,False,residential,Murphy Court,121.704,2,9.1,,,,,,,,,9124699,
67425790,67422297,0,False,secondary,Centre Street,20.334,2,21.3,,,,,,,,,41740042,
67425790,67472355,0,True,secondary,Centre Street,23.244,1,21.3,,25 mph,,,,,,,9126147,
67425913,67566082,0,False,residential,,111.601,,,,,,,,,,,9125118,
67425913,67505921,0,False,residential,,83.655,,,,,,,,,,,9125118,
67425913,67550551,0,False,residential,,109.845,,,,,,,,,,,9125538,
67426028,67480343,0,False,residential,Traverse Street,89.518,2,10.7,,,,,,,,,9123234,
