u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
67424556,67483380,0,False,residential,Irving Road,46.999,2,14.0,,,,,,,,,9126584,
67424556,67576674,0,False,residential,Waban Avenue,298.161,2,15.2,,,,,,,,,9124544,
67424556,67468837,0,False,residential,Waban Avenue,126.184,2,15.2,,,,,,,,,9124544,
67424616,67509888,0,False,residential,Tamworth Road,97.811,2,11.9,,,,,,,,,9124133,
67424616,67512952,0,False,residential,Tamworth Road,103.763,2,11.9,,,,,,,,,9124133,
67424616,3886877593,0,False,residential,"['Kewadin Road', 'Devonshire Road']",401.128,2,12.2,,,,,,,,,"[9124145, 385340610]",
67424845,67462071,0,False,residential,Kent Road,140.286,2,13.7,,,,,,,,,9125854,
67424845,67473478,0,False,residential,Windsor Road,101.411,2,13.7,,,,,,,,,9126410,
67424845,67430195,0,False,residential,Windsor Road,493.206,2,13.7,,,,,,,,,9126410,
67426190,67529178,0,False,residential,Kinmonth Road,88.356,2,15.2,,,,,,,,,9124802,
67426751,67458033,0,False,residential,Day Street,137.269,2,13.7,,,,,,,,,9123635,
67426751,67511352,0,False,residential,Day Street,89.994,2,13.7,,,,,,,,,9123635,
67427414,67469519,0,False,residential,Holly Road,134.761,2,13.7,,,,,,,,,9123678,
67427414,67590435,0,False,residential,Dorset Road,94.988,2,12.8,,,,,,,,,9124387,
67427414,67545001,0,False,residential,Dorset Road,93.71,2,12.8,,,,,,,,,9124387,
67427659,67464063,0,False,secondary,Washington Street,60.721,4,24.4,,,,,,,,,518440798,MA 16
67427937,67469192,0,False,residential,Agawam Road,186.984,1; 2,7.6; 13.7,,,,,,,,,9124158,
67427937,1357318722,0,False,residential,Agawam Road,94.689,1; 2,7.6; 13.7,,,,,,,,,9124158,
67427937,67555333,0,False,residential,Neshobe Road,166.384,2,12.2,,,,,,,,,9124675,
67427937,67505973,0,False,residential,Neshobe Road,23.058,2,12.2,,,,,,,,,9124675,
67430195,67424845,0,False,residential,Windsor Road,493.206,2,13.7,,,,,,,,,9126410,
67430216,67483871,0,False,residential,Temple Street,89.762,2,12.2,,,,,,,,,9124928,
67430216,67574526,0,False,secondary,Commonwealth Avenue,365.049,2,18.3,,,,,,,,,426491274,MA 30
67430216,67551991,0,False,secondary,Commonwealth Avenue,72.44,2,18.3,,,,,,,,,426491274,MA 30
67430411,67582795,0,False,residential,"['Laura Road', 'Irwin Road']",141.85,2,"['13.1', '7.3']",,,,,,,,,"[9123108, 9126207]",
67430499,67480999,0,False,residential,Varick Road,53.012,2,15.2,,,,,,,,,385486719,
67434260,67495661,0,False,residential,Elizabeth Circle,110.679,2,15.2,,,,,,,,,9126151,
67435152,915199371,0,False,residential,,59.896,2,12.2,,,,,,,,,9124726,
67435152,67508774,0,False,residential,Varick Road,94.759,2,15.2,,,,,,,,,496553074,
67435152,67527485,0,False,residential,Varick Road,21.203,2,15.2,,,,,,,,,496553074,
67435352,4882691824,0,False,residential,Homewood Road,103.449,2,12.2,,,,,,,,,9124599,
67435352,4882761709,0,False,residential,Waban Avenue,328.687,2,12.2,,,,,,,,,120722956,
67435352,67585394,0,False,residential,Waban Avenue,89.358,2,12.2,,,,,,,,,120722956,
67435958,67566541,0,False,residential,Collins Road,109.734,2,12.2,,,,,,,,,9123327,
67435958,67540322,0,False,residential,Collins Road,157.104,2,12.2,,,,,,,,,9123327,
67435958,1352855634,0,False,residential,Bernard Lane,73.311,2,10.7,,,,,,,,,9124401,
67436309,67558501,0,False,secondary,Beacon Street,26.66,2,21.3,,,,,,,,,9124828,
67436309,1323192039,0,False,secondary,Beacon Street,60.433,2,21.3,,,,,,,,,9124828,
67436309,67549655,0,False,residential,Winnetaska Road,105.715,2,13.1,,,,,,,,,9124969,
67437105,67454068,0,False,residential,Alban Road,153.029,2,12.2,,,,,,,,,120724251,
67437105,67544866,0,False,residential,Nehoiden Road,190.964,2,,,,,,,,,,494954230,
67437105,67553950,0,False,residential,Nehoiden Road,25.269,2,,,,,,,,,,494955607,
67437475,4856504920,0,False,secondary,Beacon Street,27.571,2,18.3,,,,,,,,,487501943,
67437475,67537386,0,True,residential,Varick Road,35.959,2,15.2,,,,,,,,,77858788,
67437475,67469192,0,False,secondary,Beacon Street,101.175,2,18.3,,,,,,,,,487501943,
67438082,67559318,0,False,residential,Cobb Place,88.35,2,12.2,,,,,,,,,9123277,
67438082,67484671,0,False,residential,Pontiac Road,68.179,2,12.8,,,,,,,,,9126898,
67438082,3888211204,0,False,residential,Pontiac Road,36.612,2,12.8,,,,,,,,,9126898,
67439692,67510806,0,False,residential,Gould Road,103.66,2,11.6,,,,,,,,,9124091,
67439692,67491295,0,False,tertiary,Quinobequin Road,81.836,2,15.2,,,,,,,,,175115089,
67439692,67458271,0,False,tertiary,Quinobequin Road,206.689,2,15.2,,,,,,,,,175115089,
67442070,67446811,0,False,residential,Longwell Road,76.918,2,15.2,,,,,,,,,9124063,
67444470,3888123858,0,False,residential,,20.538,,,,,,,,,,,385461786,
67444470,67556511,0,False,residential,Pontiac Road,38.947,2,12.8,,,,,,,,,385460379,
67444470,67574247,0,False,residential,Pontiac Road,70.378,2,12.8,,,,,,,,,385460379,
67445547,3886877593,0,False,residential,Devonshire Road,162.745,2,12.2,,,,,,,,,9123352,
67445547,67478790,0,False,residential,Collins Road,97.408,2,12.2,,,,,,,,,385343930,
67445547,3886938959,0,False,residential,Collins Road,85.34,2,12.2,,,,,,,,,385343930,
67445580,67575698,0,False,secondary,Chestnut Street,71.824,2,,,,,,,,,,158287118,
67445580,67477078,0,False,secondary,Chestnut Street,61.164,2,,,,,,,,,,158287118,
67446618,67493693,0,False,residential,Mossfield Road,231.395,2,12.2,,,,,,,,,9123524,
67446618,4882386894,0,False,residential,Mossfield Road,20.179,2,12.2,,,,,,,,,9123524,
67446618,67552302,0,False,residential,Waban Avenue,87.92,2,12.2,,,,,,,,,9126315,
67446811,67594728,0,False,residential,Longfellow Road,42.623,2,13.7,,,,,,,,,9126794,
67446811,67442070,0,False,residential,Longwell Road,76.918,2,15.2,,,,,,,,,9124063,
67446811,67525722,0,False,residential,Longfellow Road,81.366,2,13.7,,,,,,,,,9126794,
67450202,67581919,0,False,residential,Fuller Street,274.373,2,15.2,,,,,,,,,117157011,
67451566,1175908354,0,True,motorway,Yankee Division Highway,499.826,4,61.0,,55 mph,,,yes,,,,"[76845248, 76845276, 76845237]",I 95;MA 128
67451970,3888211204,0,False,residential,Pontiac Road,24.048,2,12.8,,,,,,,,,9126898,
67451970,67484259,0,False,residential,Varick Road,86.218,2,15.2,,,,,,,,,120722949,
67451970,3888211218,0,False,residential,Varick Road,34.476,2,15.2,,,,,,,,,120722949,
67452869,67513012,0,False,residential,Quidnic Road,43.558,2,12.2,,,,,,,,,9124654,
