osmid,x,y,ref,highway
71751993,-70.602676,42.003525,,
71770850,-70.601411,42.003925,,
71817116,-70.602299,42.00358,,
71829423,-70.602194,42.00412,,
71850963,-70.60038,42.004529,,
71915670,-70.600182,42.004481,,
71938457,-70.600064,42.005121,,
72068908,-70.602323,42.003232,,
72132058,-70.600763,42.003545,,
72221961,-70.601858,42.0036482,,
72239819,-70.600745,42.004797,,
72300129,-70.601943,42.004991,,
72354372,-70.602628,42.003822,,
72397009,-70.601213,42.005367,,
72501699,-70.602612,42.0047398,,
72638027,-70.603015,42.003213,,
72653446,-70.601489,42.004454,,
3534500775,-70.6017778,42.0031816,,
