osmid,x,y,ref,highway
70470214,-70.913031,42.529977,,
70548993,-70.91554,42.528822,,
70549819,-70.912695,42.527963,,
70564908,-70.912826,42.532393,,
74506695,-70.9076854,42.5216577,,
74506849,-70.9046,42.526801,,
74507308,-70.914113,42.522142,,
74509447,-70.914429,42.522273,,
74509632,-70.905535,42.529527,,
74509898,-70.9104189,42.5212907,,
74510129,-70.909228,42.52843,,
74510324,-70.901229,42.525893,,
74510634,-70.908688,42.530773,,
74511137,-70.909313,42.526464,,
74511550,-70.905645,42.527719,,
74512373,-70.908636,42.526465,,
74513268,-70.907584,42.530338,,
74514283,-70.911248,42.531777,,
74515010,-70.906189,42.52514,,
74515235,-70.910599,42.522387,,
74518238,-70.9125,42.52791,,
74518820,-70.91258,42.531143,,
74518839,-70.906868,42.530056,,
74519134,-70.904821,42.528191,,
74519449,-70.906079,42.528905,,
74520004,-70.9062912,42.5215304,,
74520467,-70.91581,42.522822,,
74521085,-70.909715,42.525801,,
74521482,-70.907937,42.52736,,
74521975,-70.911745,42.528295,,
74522442,-70.905139,42.525016,,
74524078,-70.906412,42.524153,,
74525876,-70.9084576,42.5213345,,
74526199,-70.90935,42.527118,,
74527318,-70.9084267,42.5212941,,
74527480,-70.91201,42.532075,,
74527726,-70.905769,42.523579,,
74528078,-70.8995289,42.5237957,,
74529126,-70.903166,42.527653,,
74529886,-70.90347,42.52475,,
74530226,-70.906229,42.525919,,
74530485,-70.908745,42.527309,,
74530557,-70.909351,42.529734,,
74533690,-70.910431,42.531459,,
74533803,-70.906195,42.529791,,
74534307,-70.903944,42.528872,,
74534569,-70.907376,42.522547,,
74535332,-70.90411,42.52898,,traffic_signals
74536031,-70.911146,42.530648,,
74536270,-70.912053,42.527774,,
74537757,-70.9090948,42.5221924,,
74538629,-70.908824,42.527497,,
74539363,-70.906971,42.524634,,
74540689,-70.9112271,42.5201723,,
74540908,-70.910383,42.522702,,
74541316,-70.901786,42.525614,,
74542515,-70.903325,42.526946,,
74543188,-70.8997943,42.5236939,,traffic_signals
74543382,-70.906527,42.52782,,
74544353,-70.913412,42.52112,,
74545857,-70.907605,42.527072,,
74546036,-70.909005,42.527929,,
74546595,-70.911917,42.530609,,
74547062,-70.907172,42.527397,,
74547230,-70.906685,42.527475,,
74548094,-70.906456,42.524967,,
74548854,-70.906998,42.525414,,
74548880,-70.909921,42.526897,,
74549068,-70.909609,42.527576,,
74549197,-70.910062,42.525358,,
74549289,-70.9115995,42.5203562,,traffic_signals
74550381,-70.901735,42.524729,,
74550952,-70.906677,42.529244,,
74551976,-70.9042664,42.5218794,,
74553138,-70.902661,42.525156,,
74553757,-70.910661,42.526812,,
74554501,-70.908864,42.529414,,
74554646,-70.911886,42.527132,,
74554904,-70.9002121,42.5235335,,
74555290,-70.910237,42.520461,,
74555991,-70.9110509,42.5208917,,
74556387,-70.909045,42.526237,,
74556781,-70.9111478,42.5209253,,
74556791,-70.8988172,42.5243649,,
74556840,-70.901219,42.525005,,
74557244,-70.915482,42.522698,,
74558533,-70.916078,42.522924,,
74558647,-70.907966,42.528418,,
74558685,-70.907595,42.52737,,
74559835,-70.9118508,42.520468,,
74560229,-70.913132,42.527185,,
74560480,-70.9027,42.527171,,
74562265,-70.908647,42.529219,,
74562405,-70.909552,42.531113,,
74562847,-70.906389,42.527531,,
74565558,-70.910718,42.530177,,
74566682,-70.914212,42.528406,,
74567459,-70.910884,42.522801,,
74567489,-70.903771,42.527302,,
74567575,-70.9056304,42.5212143,,traffic_signals
74568475,-70.911862,42.527705,,
74568738,-70.909811,42.529138,,
74568845,-70.9080292,42.5221055,,
74569587,-70.907786,42.530418,,
74570674,-70.906441,42.5286,,
74571441,-70.910392,42.52711,,
74572909,-70.910295,42.529695,,
74573455,-70.9028137,42.5225207,,
74573578,-70.911483,42.52874,,
74574066,-70.904327,42.524312,,
969832356,-70.9034958,42.5235461,,
1490585028,-70.8998951,42.5236552,,traffic_signals
1829231241,-70.9115556,42.5210769,,
