u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
61170594,3132053498,0,False,secondary,Highland Avenue,69.059,2,18.3,,,,,,,,,8605381,
61170594,71915280,0,False,residential,Crocker Street,174.833,1,12.2,,25 mph,,,,,,,9429497,
61170617,61170618,0,False,secondary,Highland Avenue,46.488,2,18.3,,,,,,,,,8605381,
61170617,61173631,0,False,secondary,Highland Avenue,65.994,2,18.3,,,,,,,,,8605381,
61170618,61170617,0,False,secondary,Highland Avenue,46.488,2,18.3,,,,,,,,,8605381,
61170618,61173336,0,False,secondary,Highland Avenue,147.903,2,18.3,,,,,,,,,8605381,
61170669,61173331,0,False,residential,Benton Road,65.746,2,12.2,,25 mph,,,,,,,8605524,
61170669,61170671,0,False,residential,Benton Road,71.295,2,12.2,,25 mph,,,,,,,8605524,
61170671,61170669,0,False,residential,Benton Road,71.295,2,12.2,,25 mph,,,,,,,8605524,
61171238,61171240,0,False,secondary,Highland Avenue,76.294,2,18.3,,,,,,,,,8605381,
61171238,71936503,0,False,residential,Trull Lane,81.742,1,4.9,,25 mph,,,,,,,9429040,
61171240,61171238,0,False,secondary,Highland Avenue,76.294,2,18.3,,,,,,,,,8605381,
61171240,61173310,0,False,secondary,Highland Avenue,137.516,2,18.3,,,,,,,,,8605381,
61171240,61177514,0,True,residential,Sycamore Street,104.555,2,12.2,,25 mph,,,,,,,8605500,
61171446,61171886,0,True,residential,Sycamore Street,28.473,2,12.2,,25 mph,,,,,,,8605500,
61171446,71937376,0,False,residential,Willoughby Street,140.613,2,12.2,,25 mph,,,,,,,9429242,
61171447,61171446,0,True,residential,Sycamore Street,15.867,2,12.2,,25 mph,,,,,,,8605500,
61171886,71921689,0,False,residential,"['Jerome Court', 'Jerome Street']",94.92,1,3.7,,25 mph,,,,,,,"[9428865, 9429868]",
61173303,61173336,0,False,secondary,Highland Avenue,84.546,2,18.3,,,,,,,,,8605381,
61173303,61173310,0,False,secondary,Highland Avenue,78.195,2,18.3,,,,,,,,,8605381,
61173303,71943554,0,False,residential,Waldo Street,102.993,1,12.2,,25 mph,,,,,,,9430037,
61173310,61171240,0,False,secondary,Highland Avenue,137.516,2,18.3,,,,,,,,,8605381,
61173310,61173303,0,False,secondary,Highland Avenue,78.195,2,18.3,,,,,,,,,8605381,
61173310,71947932,0,False,tertiary,Central Street,81.677,2,12.2,,,,,,,,,9428994,
61173310,71938339,0,False,tertiary,Central Street,68.648,2,12.2,,,,,,,,,9428994,
61173323,61173331,0,False,residential,Gibbens Street,40.648,2,12.2,,25 mph,,,,,,,8605077,
61173331,61170669,0,False,residential,Benton Road,65.746,2,12.2,,25 mph,,,,,,,8605524,
61173331,61173323,0,False,residential,Gibbens Street,40.648,2,12.2,,25 mph,,,,,,,8605077,
61173331,61173336,0,False,residential,Benton Road,68.422,2,12.2,,25 mph,,,,,,,8605524,
61173331,71938339,0,True,residential,Gibbens Street,161.851,2,12.2,,25 mph,,,,,,,8609186,
61173336,61173303,0,False,secondary,Highland Avenue,84.546,2,18.3,,,,,,,,,8605381,
61173336,61170618,0,False,secondary,Highland Avenue,147.903,2,18.3,,,,,,,,,8605381,
61173336,61173331,0,False,residential,Benton Road,68.422,2,12.2,,25 mph,,,,,,,8605524,
61173336,71952818,0,True,residential,Benton Road,102.774,2,12.2,,25 mph,,,,,,,8609185,
61173631,61170617,0,False,secondary,Highland Avenue,65.994,2,18.3,,,,,,,,,8605381,
61173631,3132053498,0,False,secondary,Highland Avenue,70.446,2,18.3,,,,,,,,,8605381,
61173631,71939317,0,False,tertiary,Lowell Street,74.865,2,12.2,,,,,,,,,31120838,
61177514,61263665,0,True,residential,Sycamore Street,7.938,2,12.2,,25 mph,,,,,,,8605500,
61263665,61171447,0,True,residential,Sycamore Street,49.721,2,12.2,,25 mph,,,,,,,8605500,
71915280,71932358,0,False,residential,Crown Street,67.97,2,9.1,,25 mph,,,,,,,9429302,
71915280,61170594,0,False,residential,Crocker Street,174.833,1,12.2,,25 mph,,,,,,,9429497,
71917686,71932358,0,False,residential,Crown Street,70.69,2,9.1,,25 mph,,,,,,,9429302,
71917686,61173631,0,True,tertiary,Lowell Street,193.924,2,12.2,,,,,,,,,9428809,
71921259,71930538,0,False,residential,"['Woodbine Street', 'Centre Street']",284.657,2,"['12.2', '11.0']",,25 mph,,,,,,,"[9429632, 9430108]",
71921259,71945453,0,True,residential,Albion Street,219.318,1,12.2,,25 mph,,,,,,,31120864,
71921689,61171886,0,False,residential,"['Jerome Court', 'Jerome Street']",94.92,1,3.7,,25 mph,,,,,,,"[9428865, 9429868]",
71921689,61171447,0,True,residential,Montrose Street,54.906,2,12.2,,25 mph,,,,,,,9429334,
71924003,71930538,0,False,tertiary,Lowell Street,23.788,2,12.2,,,,,,,,,31120838,
71924003,71924684,0,False,tertiary,Lowell Street,46.803,2,12.2,,,,,,,,,31120838,
71924684,71948331,0,False,tertiary,Lowell Street,65.361,2,12.2,,,,,yes,,,,"[82329786, 82329762, 31120838]",
71924684,71924003,0,False,tertiary,Lowell Street,46.803,2,12.2,,,,,,,,,31120838,
71930538,71924003,0,False,tertiary,Lowell Street,23.788,2,12.2,,,,,,,,,31120838,
71930538,71945453,0,False,tertiary,Lowell Street,63.424,2,12.2,,,,,,,,,31120838,
71930538,71921259,0,False,residential,"['Woodbine Street', 'Centre Street']",284.657,2,"['12.2', '11.0']",,25 mph,,,,,,,"[9429632, 9430108]",
71932358,71917686,0,False,residential,Crown Street,70.69,2,9.1,,25 mph,,,,,,,9429302,
71932358,71915280,0,False,residential,Crown Street,67.97,2,9.1,,25 mph,,,,,,,9429302,
71932358,3132053498,0,False,residential,Tower Street,183.728,2,12.2,,25 mph,,,,,,,9429629,
71934533,61170617,0,True,residential,Belmont Street,177.544,1,12.2,,25 mph,,,,,,,9428837,
71934533,61170618,0,True,residential,Springhill Terrace,222.87,1,6.1,,25 mph,,,,,,,9429977,
71935240,71936645,0,False,tertiary,Central Street,59.836,2,12.2,,,,,,,,,9428994,
71935240,71947932,0,False,tertiary,Central Street,22.111,2,12.2,,,,,,,,,9428994,
71936503,5238078483,0,True,residential,Oxford Street,5.277,2,10.7,,25 mph,,,,,,,9429562,
71936503,61171238,0,False,residential,Trull Lane,81.742,1,4.9,,25 mph,,,,,,,9429040,
71936645,71935240,0,False,tertiary,Central Street,59.836,2,12.2,,,,,,,,,9428994,
71936645,71937376,0,False,tertiary,Central Street,14.5,2,12.2,,,,,,,,,9428994,
71936645,71921259,0,True,residential,Albion Street,202.893,1,12.2,,25 mph,,,,,,,31120864,
71937376,71936645,0,False,tertiary,Central Street,14.5,2,12.2,,,,,,,,,9428994,
71937376,61171446,0,False,residential,Willoughby Street,140.613,2,12.2,,25 mph,,,,,,,9429242,
71938339,4503498142,0,False,tertiary,Central Street,9.263,2,12.2,,,,,,,,,9428994,
71938339,61173310,0,False,tertiary,Central Street,68.648,2,12.2,,,,,,,,,9428994,
71939317,71945453,0,False,tertiary,Lowell Street,71.985,2,12.2,,,,,,,,,31120838,
71939317,61173631,0,False,tertiary,Lowell Street,74.865,2,12.2,,,,,,,,,31120838,
71939317,71952818,0,True,residential,Hudson Street,254.445,2,12.2,,25 mph,,,,,,,31120860,
71939388,71951488,0,False,residential,Montrose Court,25.238,1,4.6,,25 mph,,,,,,,9430044,
71940134,4503498142,0,False,tertiary,Central Street,56.128,2,12.2,,,,,,,,,9428994,
71940134,61170669,0,True,residential,Cambria Street,161.613,2,12.2,,25 mph,,,,,,,9429547,
71943554,61173303,0,False,residential,Waldo Street,102.993,1,12.2,,25 mph,,,,,,,9430037,
71943554,71935240,0,True,residential,Hudson Street,84.132,2,12.2,,25 mph,,,,,,,31120860,
71945453,71930538,0,False,tertiary,Lowell Street,63.424,2,12.2,,,,,,,,,31120838,
71945453,71939317,0,False,tertiary,Lowell Street,71.985,2,12.2,,,,,,,,,31120838,
71947932,71935240,0,False,tertiary,Central Street,22.111,2,12.2,,,,,,,,,9428994,
71947932,61263665,0,True,residential,Central Road,170.214,1,"['12.2', '9.1', '5.5']",,25 mph,,,,,,,"[8604785, 8605662, 8604870]",
71947932,61173310,0,False,tertiary,Central Street,81.677,2,12.2,,,,,,,,,9428994,
71948331,71924684,0,False,tertiary,Lowell Street,65.361,2,12.2,,,,,yes,,,,"[82329762, 82329786, 31120838]",
71951488,71939388,0,False,residential,Montrose Court,25.238,1,4.6,,25 mph,,,,,,,9430044,
71951488,71921689,0,True,residential,Montrose Street,94.61,2,12.2,,25 mph,,,,,,,9429334,
71952818,71943554,0,True,residential,Hudson Street,84.571,2,12.2,,25 mph,,,,,,,31120860,
3132053498,61173631,0,False,secondary,Highland Avenue,70.446,2,18.3,,,,,,,,,8605381,
3132053498,61170594,0,False,secondary,Highland Avenue,69.059,2,18.3,,,,,,,,,8605381,
3132053498,71932358,0,False,residential,Tower Street,183.728,2,12.2,,25 mph,,,,,,,9429629,
4503498142,71938339,0,False,tertiary,Central Street,9.263,2,12.2,,,,,,,,,9428994,
4503498142,71940134,0,False,tertiary,Central Street,56.128,2,12.2,,,,,,,,,9428994,
5238078483,4503498142,0,True,residential,Oxford Street,209.379,2,10.7,,25 mph,,,,,,,9429562,
