u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
61170342,61171841,0,False,secondary,Somerville Avenue,46.621,2,19.2; 19.8,,,,,,,,,33858910,
61170342,61171136,0,False,secondary,Somerville Avenue,56.707,"['4', '2']",19.2; 19.8,,,,,,,,,"[426492377, 33858910]",
61170349,61177979,0,False,secondary,Elm Street,53.6,2,21.3,,,,,,,,,81160754,
61170349,61170665,0,False,secondary,Elm Street,119.626,2,21.3,,,,,,,,,81160754,
61170349,61170342,0,True,tertiary,Mossland Street,136.147,1,12.2,,,,,,,,,9428786,
61170625,61170649,0,False,tertiary,Summer Street,65.371,2,13.7,,,,,,,,,8607510,
61170649,61170625,0,False,tertiary,Summer Street,65.371,2,13.7,,,,,,,,,8607510,
61170649,71916743,0,True,tertiary,Cedar Street,141.685,1,12.2,,,,,,,,,84083458,
61170649,601360158,0,False,tertiary,Summer Street,105.955,2,13.7,,,,,,,,,303049926,
61170665,71925657,0,False,residential,Linden Avenue,125.894,2,13.7,,25 mph,,,,,,,9429250,
61170665,61170349,0,False,secondary,Elm Street,119.626,2,21.3,,,,,,,,,81160754,
61170665,61170875,0,False,secondary,Elm Street,125.463,2,21.3,,,,,,,,,81160754,
61170676,71924501,0,False,residential,Carver Street,52.647,2,12.2,,25 mph,,,,,,,9428924,
61170738,61179105,0,False,tertiary,Beacon Street,71.601,2,21.3,,,,,,,,,33721065,
61170738,61173610,0,False,tertiary,Beacon Street,114.59,2,21.3,,,,,,,,,33721065,
61170835,61170944,0,False,tertiary,Beacon Street,55.665,2,21.3,,,,,,,,,33721065,
61170835,61170837,0,False,tertiary,Beacon Street,71.378,2,21.3,,,,,,,,,33721065,
61170837,61170835,0,False,tertiary,Beacon Street,71.378,2,21.3,,,,,,,,,33721065,
61170875,61170665,0,False,secondary,Elm Street,125.463,2,21.3,,,,,,,,,81160754,
61170875,270755079,0,False,secondary,Elm Street,29.756,2,21.3,,,,,,,,,81160754,
61170944,485459926,0,False,tertiary,Beacon Street,24.484,2,21.3,,,,,,,,,33721065,
61170944,61170835,0,False,tertiary,Beacon Street,55.665,2,21.3,,,,,,,,,33721065,
61170944,1685285776,0,False,unclassified,Stanford Terrace,69.217,,,,,,,,,,,156268858,
61171135,61179152,0,False,residential,Adelaide Road,48.834,2,6.1,,25 mph,,,,,,,8605084,
61171135,61171136,0,False,secondary,Somerville Avenue,47.051,3,19.2; 19.8,,,,,,,,,426492379,
61171135,945798747,0,False,secondary,Somerville Avenue,209.128,"['3', '2']",19.2; 19.8,,,,,,,,,"[426492379, 426492381]",
61171136,61171135,0,False,secondary,Somerville Avenue,47.051,3,19.2; 19.8,,,,,,,,,426492379,
61171136,1841896967,0,False,tertiary,Beacon Street,30.244,"['3', '2']",21.3,,,,,yes,,,,"[81049960, 33721104, 33721065]",
61171136,61170342,0,False,secondary,Somerville Avenue,56.707,"['4', '2']",19.2; 19.8,,,,,,,,,"[426492377, 33858910]",
61171834,61171841,0,False,secondary,Somerville Avenue,64.812,2,19.2; 19.8,,,,,,,,,33858910,
61171834,71922108,0,False,residential,Acadia Park,87.23,2,12.2,,25 mph,,,,,,,9430089,
61171841,71921325,0,False,residential,Beacon Terrace,39.179,2,6.1,,25 mph,,,,,,,9429856,
61171841,61170342,0,False,secondary,Somerville Avenue,46.621,2,19.2; 19.8,,,,,,,,,33858910,
