osmid,x,y,ref,highway
66417516,-71.238632,42.671177,,
66417623,-71.2592761,42.7106198,,
66418512,-71.279448,42.694323,,
66419369,-71.2585676,42.6949666,,
66420152,-71.250086,42.701014,,
66420510,-71.274568,42.685526,,
66421534,-71.2612918,42.6733981,,
66422427,-71.260253,42.685213,,
66422847,-71.245051,42.693548,,
66423492,-71.2691229,42.7178706,,
66424529,-71.256889,42.6688135,,
66425704,-71.2519032,42.7153705,,
66426264,-71.2639671,42.7096219,,
66426656,-71.276352,42.70201,,
66426909,-71.256993,42.668143,,
66428043,-71.2757797,42.69001,,
66428262,-71.2541441,42.690019,,
66429091,-71.253089,42.727783,,
66429760,-71.252943,42.662044,,
66431183,-71.249503,42.661994,,
66431484,-71.243868,42.684544,,
66432626,-71.253955,42.69356,,
66433302,-71.258465,42.66748,,
66433759,-71.245854,42.693109,,
66434382,-71.258919,42.712177,,
66434414,-71.259411,42.7252579,,
66435069,-71.27038,42.685181,,
66435095,-71.272064,42.714668,,
66436369,-71.2556171,42.7134686,,
66436693,-71.2704999,42.7159441,,
66437348,-71.273744,42.685661,,
66437950,-71.2646635,42.7102074,,
66439254,-71.256869,42.713844,,
66439351,-71.2716045,42.7198456,,
66439854,-71.2595978,42.7309651,,
66440558,-71.252806,42.662957,,
66440732,-71.258038,42.729127,,
66441553,-71.2757157,42.708038,,
66441569,-71.254034,42.661058,,
66441983,-71.26028,42.711434,,
66444935,-71.257912,42.710684,,
66445678,-71.252273,42.724618,,
66446019,-71.2505694,42.6881462,,
66446698,-71.256552,42.668317,,
66446816,-71.261886,42.71455,,
66447521,-71.269803,42.713541,,
66449024,-71.257416,42.687495,,
66449129,-71.258138,42.709849,,
66449434,-71.259352,42.70021,,
66449921,-71.247575,42.691987,,
66451051,-71.25657,42.713348,,
66451298,-71.2483089,42.6867894,,
66451986,-71.284786,42.697375,,
66452110,-71.260681,42.713947,,
66452481,-71.261572,42.673814,,
66452618,-71.2526501,42.6949753,,
66455300,-71.253756,42.728958,,
66456817,-71.2757052,42.7075422,,
66457737,-71.2530301,42.7156593,,
66457998,-71.2582483,42.7252199,,
66458772,-71.259132,42.711554,,
66458946,-71.253265,42.71427,,
66459465,-71.262959,42.716002,,
66459843,-71.2446908,42.6851591,,
66461170,-71.252472,42.725914,,
66462066,-71.255773,42.712922,,
66462199,-71.2487933,42.7052544,,
66463716,-71.275274,42.685492,,
66465863,-71.2749185,42.707505,,
66467013,-71.262258,42.697602,,
66468167,-71.259557,42.683731,,
66469138,-71.252243,42.708328,,
66469548,-71.274637,42.685685,,
66469774,-71.250107,42.691258,,
66470503,-71.256446,42.69903,,
66470685,-71.2579911,42.7236409,,
66471296,-71.285509,42.697501,,
66471310,-71.2830466,42.6947443,,
66471730,-71.2673393,42.7081864,,
66472179,-71.2635948,42.6962017,,
66473454,-71.254917,42.714615,,
66474788,-71.254255,42.713641,,
66475258,-71.269163,42.71351,,
66476873,-71.266744,42.713482,,
66477521,-71.258818,42.669216,,
66479002,-71.2693062,42.7180773,,
66479230,-71.2554092,42.6891705,,
66479655,-71.2811541,42.6943103,,
66479869,-71.2622956,42.6751946,,
66480178,-71.2584925,42.7282474,,turning_circle
66481317,-71.256751,42.714299,,
66481711,-71.260795,42.68968,,
66482116,-71.263403,42.712234,,
