u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
62060211,62073246,0,False,residential,Beechwood Road,383.886,2,12.2,,,,,,,,,8690881,
62060277,62074608,0,False,residential,Foster Street,59.023,2,9.1,,,,,,,,,8691079,
62060277,62067484,0,False,residential,Park Street,170.89,2,9.1,,,,,,,,,8690977,
62060277,62072065,0,False,residential,Foster Street,127.289,2,9.1,,,,,,,,,8691079,
62060437,62072090,0,False,residential,,177.16,,,,,,,,,,,8690528,
62060458,62061533,0,False,residential,Reed Street,271.481,2,9.1,,,,,,,,,8690478,
62060458,62097390,0,False,residential,Pleasant Street,278.169,2,9.1,,,,,,,,,8690780,
62060458,62063180,0,False,residential,Pleasant Street,280.448,2,9.1,,,,,,,,,8690780,
62060591,62085706,0,False,residential,Donna Drive,283.971,2,11.6,,,,,,,,,8690832,
62060787,62086266,0,False,residential,Charles Drive,238.251,1,9.1,,,,,,,,,8691083,
62060850,62068619,0,False,secondary,Whitman Street,316.626,2,12.2,,,,,,,,,8690454,
62060850,62064269,0,False,secondary,Spring Street,410.97,2,12.2,,40 mph,,,,,,,8690727,MA 58
62060850,62101786,0,False,secondary,Spring Street,81.696,2,10.7,,40 mph,,,,,,,8690897,
62060850,62077181,0,False,secondary,Whitman Street,51.639,2,12.2,,,,,,,,,8691080,MA 58
62061073,62070445,0,False,tertiary,Whitman Street,74.813,2,12.2,,,,,,,,,8690817,
62061073,62072537,0,False,secondary,Whitman Street,22.523,2,12.2,,,,,,,,,8690454,
62061073,62082741,0,False,tertiary,East Washington Street,203.511,2,12.2,,,,,,,,,8690794,
62061073,62065023,0,False,secondary,East Washington Street,23.881,2,12.2,,,,,,,,,8690928,
62061441,62101370,0,False,residential,,253.118,,,,,,,,,,,8690657,
62061441,62091128,0,False,tertiary,West Washington Street,333.987,2,12.2,,,,,,,,,8690967,
62061441,62076533,0,False,tertiary,West Washington Street,277.426,2,12.2,,,,,,,,,8690967,
62061533,5263660799,0,False,residential,Fuller Street,110.266,,,,,,,,,,,8690695,
62061533,62060458,0,False,residential,Reed Street,271.481,2,9.1,,,,,,,,,8690478,
62061533,62085110,0,False,residential,Reed Street,912.321,2,9.1,,,,,,,,,8690478,
62061562,62102289,0,False,residential,,149.324,,,,,,,,,,,8690572,
62061731,62092900,0,False,residential,Indian Path,177.873,2,12.2,,,,,,,,,"[8690617, 8690722]",
62061836,62093494,0,False,secondary,Indian Head Street,78.781,2,12.2,,,,,,,,,8690887,MA 58
62061836,62085706,0,False,residential,,331.276,,,,,,,,,,,8690604,
62061836,62067194,0,False,secondary,Indian Head Street,162.089,2,12.2,,,,,,,,,8690960,MA 58
62062387,62070878,0,False,residential,Woodbrook Lane,236.08,2,15.2,,30 mph,,,,,,,8690926,
62062387,62085884,0,False,residential,Woodbrook Lane,440.622,2,15.2,,30 mph,,,,,,,8690926,
62062387,62085884,1,False,residential,Commons Lane,91.385,2,15.2,,30 mph,,,,,,,8691058,
62062461,62091981,0,False,residential,,129.456,,,,,,,,,,,8690643,
62062526,62079389,0,False,residential,,47.148,,,,,,,,,,,8690494,
62062526,62100719,0,False,residential,,130.023,,,,,,,,,,,8690494,
62062526,62070074,0,False,residential,,34.972,,,,,,,,,,,8690644,
62062841,62091160,0,False,residential,Kings Landing Way,133.524,2,15.2,,30 mph,,,,,,,8690786,
62063143,62084633,0,False,residential,,144.21,,,,,,,,,,,8690537,
62063143,62079807,0,False,tertiary,King Street,194.249,2,10.7,,,,,,,,,8690988,
62063143,62066560,0,False,tertiary,King Street,90.798,2,10.7,,,,,,,,,8690988,
62063180,62060458,0,False,residential,Pleasant Street,280.448,2,9.1,,,,,,,,,8690780,
62063180,62085951,0,False,residential,Pleasant Street,101.534,2,9.1,,,,,,,,,8690780,
62063180,62070079,0,False,residential,Hawks Avenue,343.287,2,11.3,,,,,,,,,8690886,
62063295,62077171,0,False,residential,Sleigh Drive,109.752,2,12.2,,,,,,,,,8690736,
62063458,62063458,0,False,residential,Greengrove Lane,104.129,2,11.6,,,,,,,,,8690730,
62063458,62063458,1,False,residential,Greengrove Lane,104.129,2,11.6,,,,,,,,,8690730,
62063458,62084182,0,False,residential,Greengrove Lane,230.822,2,11.6,,,,,,,,,8690730,
62063472,62063860,0,False,residential,Orchard Avenue,252.427,2,12.2,,,,,,,,,8690456,
62063472,62100719,0,False,residential,Winslow Drive,156.687,2,12.2,,,,,,,,,"[8691035, 8690494]",
62063472,62095858,0,False,residential,Winslow Drive,351.101,2,12.2,,,,,,,,,8691035,
62063499,62067766,0,False,residential,Holly Ridge Drive,263.65,2,12.2,,,,,,,,,8690487,
62063499,62070074,0,False,residential,Holly Ridge Drive,116.204,2,12.2,,,,,,,,,8690487,
62063499,62081440,0,False,residential,Lance Lane,158.092,2,12.2,,,,,,,,,8691076,
62063610,62076067,0,True,tertiary,Elm Street,40.449,,12.2,,,,,,,,,8691003,
62063610,62097933,0,False,tertiary,Elm Street,722.442,2,12.2,,,,,,,,,8691024,
62063691,62077171,0,False,residential,Wagon Trail,217.81,2,12.2,,,,,,,,,"[8690665, 8690913]",
62063713,62101079,0,False,tertiary,West Washington Street,22.886,,12.2,,,,,,,,,8690774,
62063713,62085586,0,False,tertiary,West Washington Street,33.148,2,12.2,,,,,,,,,8690967,
62063713,62084182,0,False,tertiary,West Washington Street,457.773,2,12.2,,,,,,,,,8690967,
62063728,62080736,0,True,residential,Tavern Way,131.356,2,10.4,,,,,,,,,8690480,
62063728,62088685,0,False,residential,Partridge Way,363.916,2,10.4,,,,,,,,,8690809,
62063728,62088685,1,False,residential,Tavern Way,349.585,2,10.4,,,,,,,,,8691089,
62063860,62063472,0,False,residential,Orchard Avenue,252.427,2,12.2,,,,,,,,,8690456,
62063860,62079389,0,False,residential,Holly Ridge Drive,233.327,2,12.2,,,,,,,,,8690487,
62063860,62095858,0,False,residential,Holly Ridge Drive,133.002,2,12.2,,,,,,,,,8690487,
62063926,62097036,0,False,residential,Industrial Boulevard,271.833,2,12.2,,,,,,,,,93255518,
62064122,62090889,0,False,tertiary,East Washington Street,245.801,2,12.2,,,,,,,,,8690791,
62064122,62068709,0,False,tertiary,East Washington Street,299.745,2,12.2,,,,,,,,,8690791,
62064122,62101108,0,False,residential,Wagon Trail,233.503,2,12.2,,,,,,,,,8690913,
62064131,62094016,0,False,residential,Fairwood Drive,222.111,2,12.2,,,,,,,,,8690930,
62064131,62066802,0,False,tertiary,King Street,261.056,2,10.7,,,,,,,,,8690988,
62064131,62070878,0,False,tertiary,King Street,105.229,2,10.7,,,,,,,,,8690988,
62064269,62101313,0,False,residential,Bowker Avenue,175.401,,,,,,,,,,,8690529,
62064269,62060850,0,False,secondary,Spring Street,410.97,2,12.2,,40 mph,,,,,,,8690727,MA 58
62064269,62080736,0,False,secondary,Spring Street,132.3,2,12.2,,40 mph,,,,,,,8690727,MA 58
62064303,62067958,0,False,secondary,Franklin Street,22.769,2,12.2,,,,,,,,,8690756,MA 27
62064303,65998039,0,False,tertiary,Central Street,49.24,,9.1,,25 mph,,,,,,,441637822,
62064704,62077594,0,False,residential,Acorn Road,119.075,2,12.2,,,,,,,,,8690956,
62064734,62073246,0,False,residential,Lee Terrace,83.601,2,12.2,,,,,,,,,8691031,
62064748,62099952,0,False,residential,,111.777,,,,,,,,,,,8690703,
62065023,62072537,0,False,secondary,East Washington Street,38.447,,12.2,,,,,,,,,8690892,
62065023,62073270,0,False,secondary,East Washington Street,466.311,2,12.2,,,,,,,,,8690928,
62065023,62061073,0,False,secondary,East Washington Street,23.881,2,12.2,,,,,,,,,8690928,
62065085,62074509,0,False,residential,"['Emory Street', 'Arthur Avenue']",94.903,1,"['7.6', '9.1']",,,,,,,,,"[8690491, 8691005]",
62065085,62102520,0,False,residential,Woodbine Avenue,281.703,2,10.7,,,,,,,,,8690759,
62065085,62083635,0,False,residential,Pleasant Street,1163.882,2,9.1,,,,,,,,,8690780,
62065085,62066130,0,False,residential,Woodbine Avenue,160.914,2,10.7,,,,,,,,,8691071,
62065207,62100001,0,False,residential,County Institutional Road,109.73,1,9.1,,,,,,,,,8690489,
62065207,62099952,0,False,residential,"['Robinson Street', 'Pierce Avenue']",596.499,2,9.1,,,,,,,,,"[8690482, 8691063]",
62065207,62102353,0,False,residential,Pierce Avenue,179.06,2,9.1,,,,,,,,,8690482,
62065546,62070090,0,False,tertiary,High Street,528.32,2,12.2,,,,,,,,,8690742,
62065546,62081554,0,False,tertiary,High Street,68.682,2,12.2,,,,,,,,,8690742,
62065546,4412460532,0,False,residential,Independence Avenue,336.856,,,,,,,,,,,443686536,
62065563,62084935,0,False,tertiary,East Washington Street,24.216,,12.2,,,,,,,,,8690766,
62065563,62085665,0,False,tertiary,East Washington Street,67.353,,12.2,,,,,,,,,8690766,
62065563,62096463,0,False,tertiary,East Washington Street,219.324,2,12.2,,,,,,,,,8690794,
62065563,62081384,0,False,tertiary,East Washington Street,52.516,2,12.2,,,,,,,,,8690794,
62065620,62066084,0,False,residential,Birchbark Drive,196.044,2,11.6,,,,,,,,,8690805,
62065620,62086481,0,False,residential,Birchbark Drive,593.174,2,11.6,,,,,,,,,8690805,
62065620,62067370,0,False,residential,Birchbark Drive,28.478,2,11.6,,,,,,,,,252569706,
62065749,62086226,0,False,tertiary,High Street,47.246,2,12.2,,,,,,,,,8690742,
62065749,62102423,0,False,tertiary,High Street,266.494,2,12.2,,,,,,,,,8690742,
62065749,62080908,0,False,residential,County Institutional Road,31.276,2,9.1,,,,,,,,,8690932,
62065801,62082828,0,False,secondary,Winter Street,64.162,2,12.2,,,,,,,,,8690853,
62065801,62074613,0,False,secondary,Winter Street,721.917,2,12.2,,,,,,,,,8690853,
62065887,62093494,0,False,residential,,159.896,,,,,,,,,,,8690677,
62066084,62070083,0,False,residential,Live Oak Way,89.989,2,12.8,,,,,,,,,8690764,
62066084,62065620,0,False,residential,Birchbark Drive,196.044,2,11.6,,,,,,,,,8690805,
62066084,62093407,0,False,residential,Birchbark Drive,570.066,2,11.6,,,,,,,,,8690805,
62066130,62065085,0,False,residential,Woodbine Avenue,160.914,2,10.7,,,,,,,,,8691071,
62066173,62066173,0,False,residential,Captain Nathaniel Lane,77.785,2,15.2,,30 mph,,,,,,,8691032,
62066173,62066173,1,False,residential,Captain Nathaniel Lane,77.785,2,15.2,,30 mph,,,,,,,8691032,
62066173,62089319,0,False,residential,Captain Nathaniel Lane,472.279,2,15.2,,30 mph,,,,,,,8691032,
62066324,62072792,0,False,residential,Lexington Street,374.498,2,10.4,,,,,,,,,8691086,
62066357,62087331,0,False,residential,Phillips Street,22.688,2,9.1,,,,,,,,,8690732,
62066357,62082017,0,False,residential,Phillips Street,699.581,2,9.1,,,,,,,,,8690732,
62066357,62069116,0,False,residential,Phillips Street,24.947,,9.1,,,,,,,,,8690999,
62066560,62102416,0,False,residential,,426.225,,,,,,,,,,,8690533,
62066560,62063143,0,False,tertiary,King Street,90.798,2,10.7,,,,,,,,,8690988,
62066596,62077239,0,False,residential,,126.472,,,,,,,,,,,8690647,
62066774,5472479183,0,False,secondary,Liberty Street,14.583,2,12.2,,,,,,,,,8690948,MA 58
62066774,62100123,0,False,secondary,Liberty Street,132.907,2,12.2,,,,,,,,,8690948,MA 58
62066802,62068792,0,False,secondary,Whitman Street,95.219,2,12.2,,,,,,,,,8690454,
62066802,62096157,0,False,secondary,Whitman Street,537.669,2,12.2,,,,,,,,,8690454,
62066802,62082741,0,False,tertiary,King Street,184.274,2,10.7,,,,,,,,,8690988,
62066802,62064131,0,False,tertiary,King Street,261.056,2,10.7,,,,,,,,,8690988,
62066813,62070445,0,False,residential,,103.131,,,,,,,,,,,8690645,
62067194,62072524,0,False,secondary,Indian Head Street,80.648,,12.2,,,,,,,,,8690469,
62067194,62061836,0,False,secondary,Indian Head Street,162.089,2,12.2,,,,,,,,,8690960,MA 58
62067194,62091109,0,False,secondary,Indian Head Street,90.567,2,12.2,,,,,,,,,8690960,MA 58
62067370,62080308,0,True,residential,Birchbark Drive,133.966,,11.6,,,,,,,,,8690468,
62067370,62065620,0,False,residential,Birchbark Drive,28.478,2,11.6,,,,,,,,,252569706,
62067484,62060277,0,False,residential,Park Street,170.89,2,9.1,,,,,,,,,8690977,
62067484,62102353,0,False,tertiary,High Street,182.456,2,12.2,,,,,,,,,461724411,
62067484,62102884,0,False,tertiary,High Street,50.852,2,12.2,,,,,,,,,461724411,
62067766,62063499,0,False,residential,Holly Ridge Drive,263.65,2,12.2,,,,,,,,,8690487,
62067766,62100799,0,False,secondary,Whitman Street,71.326,2,12.2,,,,,,,,,8691080,MA 58
62067766,62091981,0,False,secondary,Whitman Street,107.256,2,12.2,,,,,,,,,8691080,MA 58
62067958,62064303,0,False,secondary,Franklin Street,22.769,2,12.2,,,,,,,,,8690756,MA 27
62067958,62090007,0,False,secondary,Franklin Street,36.725,2,12.2,,,,,,,,,8690756,MA 27
62067958,65998039,0,False,tertiary,Central Street,30.974,2,9.1,,25 mph,,,,,,,9003990,
62068118,62096247,0,False,tertiary,High Street,153.257,2,12.2,,,,,,,,,8690742,
62068118,62078247,0,False,tertiary,High Street,27.664,2,12.2,,,,,,,,,8690742,
62068118,62095264,0,False,residential,Bonny Hill Road,282.69,2,12.2,,,,,,,,,8690906,
62068145,62070445,0,False,tertiary,Whitman Street,603.092,2,12.2,,,,,,,,,8690817,
62068145,62073270,0,False,secondary,Winter Street,485.02,2,12.2,,,,,,,,,8690853,
62068145,62074613,0,False,secondary,Winter Street,369.463,2,12.2,,,,,,,,,8690853,
62068619,62089319,0,False,secondary,Whitman Street,197.694,2,12.2,,,,,,,,,8690454,
62068619,62060850,0,False,secondary,Whitman Street,316.626,2,12.2,,,,,,,,,8690454,
62068619,62089916,0,False,residential,Greenbriar Lane,192.379,2,12.2,,,,,,,,,8691042,
62068709,62064122,0,False,tertiary,East Washington Street,299.745,2,12.2,,,,,,,,,8690791,
62068709,62072595,0,False,tertiary,East Washington Street,358.5,2,12.2,,,,,,,,,8690791,
62068709,62094815,0,False,residential,Harvey Circle,117.481,2,12.2,,,,,,,,,8690963,
