osmid,x,y,ref,highway
63797059,-70.959838,41.812697,,
63798021,-70.956965,41.806447,,
63799754,-70.937219,41.823414,,
63800141,-70.960671,41.803476,,
63800850,-70.957807,41.818532,,
63801376,-70.926814,41.819457,,
63802225,-70.954412,41.798622,,
63802232,-70.956393,41.816055,,
63802469,-70.926928,41.823086,,
63802608,-70.957427,41.808651,,
63803260,-70.956442,41.819021,,
63803589,-70.959469,41.814777,,
63804658,-70.956002,41.799359,,
63805671,-70.959257,41.817736,,
63806523,-70.955145,41.799997,,
63806975,-70.933901,41.794332,,
63806992,-70.975218,41.813866,,
63807059,-70.937578,41.803391,,
63807343,-70.954443,41.821259,,
63807549,-70.939743,41.817521,,
63810271,-70.955119,41.799393,,
63810796,-70.939381,41.807711,,
63811085,-70.95592,41.813644,,
63811229,-70.951988,41.789731,,
63811549,-70.937821,41.82112,,
63811728,-70.955474,41.822062,,
63811813,-70.933719,41.82943,,
63811926,-70.955716,41.795774,,
63811953,-70.933843,41.795282,,
63812396,-70.953715,41.819796,,
63812640,-70.943112,41.835654,,
63813068,-70.952718,41.791209,,
63813149,-70.956568,41.817009,,
63814226,-70.951679,41.789576,,
63814727,-70.936985,41.826868,,
63814905,-70.991812,41.818856,,
63816138,-70.956819,41.805511,,
63816787,-70.994619,41.82075,,
63816849,-70.959369,41.818642,,
63817636,-70.986002,41.7944,,
63818825,-70.959214,41.80126,,
63819394,-70.957519,41.800192,,
63819402,-70.959693,41.817156,,
63820442,-70.932635,41.793255,,
63821296,-70.928594,41.825079,,
63821424,-70.95416,41.818838,,
63821465,-70.932918,41.79374,,
63821484,-70.971102,41.790834,,
63821864,-70.955584,41.802195,,
63822496,-70.950405,41.787817,,
63822782,-70.938181,41.821045,,
63822852,-70.975266,41.789479,,
63822926,-70.957311,41.821238,,
63823555,-70.984556,41.827874,,
63823620,-70.951493,41.789247,,
63824073,-70.955086,41.813864,,
63824252,-70.953654,41.82213,,
63824261,-70.925633,41.81979,,
63825191,-70.930788,41.793823,,
63825790,-70.937783,41.807694,,
63825824,-70.958251,41.804221,,
63825834,-70.987045,41.816604,,
63826176,-70.942884,41.835084,,
63826209,-70.954664,41.796352,,
63826601,-70.932884,41.803788,,
63826911,-70.958378,41.818784,,
63827955,-70.926478,41.821379,,
63828606,-70.976296,41.793795,,
63828724,-70.93181,41.829359,,
63829279,-70.975741,41.814152,,
63829404,-70.92285,41.814561,,
63829719,-70.933126,41.824251,,
63830233,-70.956445,41.815366,,
63830521,-70.930264,41.790629,,
63831596,-70.929544,41.826473,,
63831870,-70.95865,41.81419,,
63832007,-70.923101,41.814365,,
63832043,-70.934434,41.814837,,
63833853,-70.998333,41.834296,,
63834046,-70.953367,41.817621,,
63834443,-70.957874,41.805751,,
63834906,-70.967337,41.819251,,
63835017,-70.928049,41.824247,,
63835346,-70.956073,41.822545,,
63835533,-70.974832,41.79223,,
63835553,-70.939369,41.813,,
63837397,-70.984163,41.820657,,
63837677,-70.954321,41.814066,,
63838015,-70.930303,41.827598,,
63838129,-70.958462,41.807624,,
63838144,-70.9578,41.804484,,
63838585,-70.955837,41.820511,,
