osmid,x,y,ref,highway
182717037,-76.061782,39.36544,,
182717043,-76.061866,39.367034,,
182717046,-76.061912,39.368381,,
182717049,-76.061904,39.369361,,
182730974,-76.053634,39.369544,,
182761103,-76.069587,39.370624,,
182771917,-76.063538,39.370412,,
182771944,-76.064581,39.370013,,
182795333,-76.065689,39.367137,,
182795334,-76.064674,39.367198,,
182796598,-76.065063,39.362861,,
182796603,-76.065628,39.366275,,
182796610,-76.065185,39.369522,,
182797461,-76.062507,39.362983,,
182797463,-76.062545,39.36441,,
182797464,-76.062561,39.365371,,
182797465,-76.062614,39.366439,,
182797467,-76.062644,39.367019,,
182797468,-76.062728,39.36837,,
182797470,-76.062759,39.369346,,
182797746,-76.061775,39.369361,,
182797748,-76.061828,39.369846,,
182797972,-76.059776,39.369411,,
182797973,-76.059555,39.3694,,
182797975,-76.056976,39.369499,,
182797993,-76.069152,39.370006,,
182797994,-76.06922,39.369556,,
182799419,-76.061731,39.365441,,
182799720,-76.081886,39.357936,,
182801780,-76.059654,39.368373,,
182801955,-76.056968,39.369979,,
182802052,-76.059844,39.369895,,
182804044,-76.06076,39.370475,,
182804215,-76.060173,39.364368,,
