osmid,x,y,ref,highway
182450502,-75.862388,39.403622,,
182457455,-75.872205,39.403236,,
182457458,-75.873042,39.403517,,
182457472,-75.874617,39.405242,,
182474229,-75.869957,39.402459,,
182474232,-75.869699,39.404336,,
182482157,-75.867737,39.404246,,
182499394,-75.873648,39.402136,,
182505541,-75.868404,39.401777,,
182505568,-75.872016,39.403814,,
182506817,-75.86853,39.40153,,
182512397,-75.871783,39.404431,,
182512413,-75.875863,39.405708,,
182561016,-75.872477,39.40277,,
182608988,-75.867479,39.40091,,
182623565,-75.866589,39.400599,,
1188274148,-75.8638779,39.4074242,,
1188274154,-75.8648553,39.4059502,,
1188274167,-75.863246,39.4084785,,
1188274170,-75.8645656,39.4086443,,
1188274171,-75.866622,39.4064355,,
1188274172,-75.8631709,39.4071605,,
1188274179,-75.8616474,39.4053947,,
1188274183,-75.8647373,39.40566,,
4040786710,-75.8643639,39.4037465,,
4040786711,-75.8642177,39.4037327,,
4119654489,-75.8642955,39.40374,,
