u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
182716989,182717029,0,False,residential,Radcliffe Drive,349.662,,,,,,,,,,,"[17642913, 17642914, 17642910]",
182717029,182796057,0,False,residential,South Kent Street,112.651,,,,,,,,,,,17649614,
182717029,182768537,0,False,residential,Cannon Street,201.471,,,,,,,,,,,17650384,
182717029,182798150,0,False,residential,Cannon Street,175.579,,,,,,,,,,,17650384,
182717029,182716989,0,False,residential,Radcliffe Drive,349.662,,,,,,,,,,,"[17642913, 17642914, 17642910]",
182717060,182803386,0,False,residential,Court Street,75.645,,,,,,,,,,,17650566,
182717405,182717417,0,False,residential,Devon Drive,319.438,,,,,,,,,,,17642943,
182717405,182800247,0,False,secondary,Flatland Road,401.133,,,,,,,,,,,17650116,MD 514
182717417,182717451,0,False,residential,Devon Drive,755.379,,,,,,,,,,,"[17642944, 17642943]",
182717417,182717405,0,False,residential,Devon Drive,319.438,,,,,,,,,,,17642943,
182717417,182799429,0,False,residential,Mayfair Drive,108.13,,,,,,,,,,,17650127,
182717451,1997790043,0,False,residential,Devon Drive,117.419,,,,,,,,,,,"[17642944, 189130421]",
182717451,182717417,0,False,residential,Devon Drive,755.379,,,,,,,,,,,"[17642944, 17642943]",
182717451,182799429,0,False,residential,Mayfair Drive,154.604,,,,,,,,,,,17650127,
182717534,182717535,0,False,residential,Birch Run Road,182.381,,,,,,,,,,,17642951,
182717534,182798496,0,False,residential,Barrol Drive,160.094,,,,,,,,,,,17649809,
182717534,182798494,0,False,residential,Barrol Drive,121.699,,,,,,,,,,,17649809,
182717535,182717534,0,False,residential,Birch Run Road,182.381,,,,,,,,,,,17642951,
182717535,182717565,0,False,residential,Birch Run Road,338.567,,,,,,,,,,,17642951,
182717535,182796319,0,False,residential,Ceder Chase Court,107.542,,,,,,,,,,,17649636,
182717565,182717535,0,False,residential,Birch Run Road,338.567,,,,,,,,,,,17642951,
182717782,182717809,0,False,residential,South Lynchburg Street,250.537,,,,,,,,,,,17642969,
182717782,182802453,0,False,residential,Dixon Drive,306.253,,,,,,,,,,,17650397,
182717782,182800356,0,False,residential,Dixon Drive,364.614,,,,,,,,,,,17650397,
182717809,182717817,0,False,residential,South Lynchburg Street,54.522,,,,,,,,,,,17642969,
182717809,182717782,0,False,residential,South Lynchburg Street,250.537,,,,,,,,,,,17642969,
