osmid,x,y,ref,highway
182871740,-75.8385935,37.9947414,,
182872105,-75.8505764,37.9866408,,
182872130,-75.85201,37.98717,,
182872137,-75.8527957,37.987151,,
182872569,-75.8447969,37.9796477,,
182872594,-75.8452657,37.9773229,,
182872603,-75.84717,37.9777122,,turning_circle
182872771,-75.839175,37.993324,,
182872784,-75.8390825,37.9944017,,
182872841,-75.8391,37.992525,,
182872874,-75.8404703,37.9934585,,
182878657,-75.8546952,37.9831449,,
182878667,-75.8547392,37.9826288,,
182881335,-75.8438496,37.9901331,,
182893519,-75.838948,37.997442,,
182904919,-75.8486077,37.9825695,,
182904947,-75.8479367,37.9831328,,
182913090,-75.8550176,37.9828814,,
182921692,-75.857999,37.980801,,
182937720,-75.855466,37.987169,,
182937781,-75.856534,37.987312,,
182951060,-75.8592112,37.9822508,,
182961646,-75.8591519,37.9728475,,turning_circle
182963455,-75.8481116,37.9739607,,
182965731,-75.8444557,37.9840565,,
182976590,-75.8442329,37.9906195,,
182976613,-75.8438245,37.9904148,,
183008965,-75.850506,37.979658,,
183008977,-75.850649,37.978678,,
183016747,-75.8444673,37.9907065,,
183016777,-75.8471587,37.9924287,,
183016783,-75.848133,37.9929524,,
183017119,-75.8442543,37.9861672,,
183018034,-75.8488719,37.9832573,,
183018035,-75.8488448,37.9846432,,
183018037,-75.8488439,37.9847396,,
183018039,-75.8488367,37.986254,,
183018047,-75.848745,37.986715,,
183018057,-75.8484882,37.9818725,,
183018061,-75.8487113,37.9832355,,
183018470,-75.8471603,37.9889154,,
183018474,-75.8489003,37.9904924,,
183019467,-75.8536254,37.9840298,,
183019469,-75.8524366,37.9851275,,
183019471,-75.8496411,37.9870124,,
183019479,-75.8478331,37.9882174,,
183019481,-75.84628,37.9892533,,
183019488,-75.8437127,37.9909626,,
183019496,-75.8425101,37.9918315,,
183019913,-75.8428715,37.9828074,,
183020875,-75.8601063,37.9742992,,
183020884,-75.8601407,37.9727616,,
183023010,-75.838417,37.993056,,
183025593,-75.8542514,37.9831871,,
183025605,-75.8546816,37.9819475,,
183025608,-75.8547296,37.9825669,,
183025879,-75.8379948,37.9951549,,
183026687,-75.8622992,37.9759499,,
183028541,-75.8479884,37.9883631,,
183029106,-75.8443182,37.9855177,,
183029110,-75.8472819,37.9859906,,
183029122,-75.8542652,37.9785439,,
183029124,-75.8543527,37.9793435,,
183029126,-75.8545294,37.9807972,,
183031032,-75.8524415,37.9743748,,
183031044,-75.8523053,37.9770186,,
183031051,-75.852342,37.979447,,
183031336,-75.8604226,37.9836952,,
183031347,-75.8565693,37.9813735,,
183031370,-75.849455,37.981867,,
183031382,-75.8446329,37.9815776,,
183031526,-75.8515879,37.9795394,,
183031530,-75.851289,37.9795684,,
183031533,-75.850593,37.979647,,
183031536,-75.849246,37.979811,,
183031551,-75.8446956,37.9803415,,
183032749,-75.845995,37.980978,,
183032753,-75.8484113,37.9810626,,
183032768,-75.848407,37.980545,,
183033386,-75.8627902,37.9778522,,
183035082,-75.844133,37.977364,,
183035088,-75.843221,37.978946,,
183035946,-75.8626759,37.9782836,,
183035954,-75.862054,37.978617,,
183035962,-75.8605924,37.9794057,,
183035978,-75.8567546,37.9816185,,
183035997,-75.8532255,37.9847021,,
183036003,-75.852652,37.9852321,,
183036030,-75.84359,37.9912971,,
183036051,-75.8418573,37.9924728,,
183036058,-75.83968,37.9939947,,
183036780,-75.8566858,37.9815275,,
183039591,-75.8540344,37.9743423,,
183040545,-75.8624815,37.9782824,,
183040552,-75.8619914,37.9785447,,
183040561,-75.8611077,37.9790102,,
183040565,-75.8605113,37.979317,,
183040576,-75.8591983,37.9800178,,
