u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
31471468,616773821,0,True,motorway_link,,354.555,3,,,,,,,,,,"[5966465, 48555007]",
31471468,290052811,0,True,motorway,Eisenhower Memorial Highway,287.131,4,,,55 mph,,,,,,,487235845,I 270
49129174,3009355044,0,False,unclassified,Wells Avenue,144.091,,,,,,,,,,,5963779,
49129174,49218161,0,False,tertiary,South Summit Avenue,93.366,,,,,,,,,,,5990510,
49129174,49329610,0,False,tertiary,South Summit Avenue,87.152,,,,,,,,,,,5990510,
49130193,1650976140,0,False,tertiary,Watkins Mill Road,202.453,,,,,,,,,,,76699837,
49130193,903709953,0,True,tertiary,Watkins Mill Road,163.594,,,,,,,,,,,76699838,
49130221,49172814,0,False,residential,Travis Lane,39.55,,,,,,,,,,,152264538,
49130221,1650891804,0,False,residential,Travis Lane,10.043,,,,,,,,,,,152264538,
49130221,903709651,0,True,tertiary,Watkins Mill Road,61.313,,,,,,,,,,,76699838,
49130227,903709638,0,True,tertiary,Russell Avenue,15.373,,,,,,,,,,,5974845,
49130227,1650891906,0,True,tertiary,Watkins Mill Road,135.453,,,,,,,,,,,76699838,
49130259,2052595084,0,True,residential,Watkins Station Circle,49.393,,,,,,,,,,,5963859,
49130259,2052595072,0,True,primary,North Frederick Avenue,29.101,3,,,,,,,,,,313179188,MD 355
49130781,49159606,0,False,residential,Beckwith Street,80.613,2,,,25 mph,,,,,,,5983538,
49130781,49303910,0,False,residential,Thrift Street,155.706,2,,,25 mph,,,,,,,5963903,
49130781,49246385,0,False,residential,Beckwith Street,79.031,2,,,25 mph,,,,,,,5983538,
49131688,49131703,0,True,motorway_link,,386.872,,,,35 mph,,,,,,,448235258,
49131703,1934205806,0,True,motorway,,152.663,2,,,55 mph,,,,,,,382296939,I 270
49134299,341532148,0,True,motorway_link,,1368.464,,,,40 mph,,,yes,,,,"[30809941, 30809942, 5965180, 30810046, 30810047]",
49134299,49137876,0,True,motorway_link,,286.649,,,,40 mph,,,,,,,292953124,
49135983,849193245,0,True,primary,Quince Orchard Road,14.181,2,,,,,,,,,,144681525,MD 124
49135983,49135985,0,True,tertiary,Longdraft Road,69.019,,,,,,,,,,,176887823,
49135985,49194359,0,False,residential,Longpoint Way,25.024,,,,,,,,,,,5987652,
49135985,49338923,0,False,tertiary,Longdraft Road,280.616,,,,,,,,,,,191655014,
49135985,849193245,0,True,tertiary,Longdraft Road,70.519,,,,,,,,,,,194713924,
49137823,429848202,0,False,primary,West Diamond Avenue,84.689,4,,,,,,,,,,151174001,MD 117
49137823,49304500,0,False,primary,West Diamond Avenue,205.74,4,,,,,,,,,,436484128,MD 117
49137876,341553079,0,True,motorway_link,,174.37,3,,,40 mph,,,,,,,351297211,
49137945,49137876,0,True,motorway_link,,707.89,2,,,45 mph,,,yes,,,,"[30809952, 30809954, 5964807, 30810037, 30810039]",
49137945,341531632,0,True,motorway_link,,421.494,,,,45 mph,,,,,,,292927057,
49140829,49148963,0,True,motorway,,464.004,2,,,55 mph,,,yes,,,,"[124369873, 30810050, 30810051]",I 270
49142117,49178065,0,False,residential,Industrial Drive,545.584,,,,,,,yes,,,,"[30809898, 5965195, 5969204]",
49142813,49142816,0,False,residential,Graceland Street,24.315,,,,,,,,,,,5965271,
49142813,49269574,0,False,residential,Graceland Street,61.863,,,,,,,,,,,5965271,
