osmid,x,y,ref,highway
49158430,-77.1395311,38.9689044,,
49158434,-77.1399865,38.9690919,,
49158438,-77.140655,38.969364,,
49185929,-77.140625,38.968303,,
49185931,-77.141189,38.968528,,
49185933,-77.141754,38.968757,,
49185941,-77.14241,38.969215,,
49185943,-77.142852,38.969722,,
49185945,-77.1432044,38.9701329,,
49185947,-77.1435318,38.970513,,
49203718,-77.141662,38.967815,,
49258826,-77.144798,38.970203,,
49258828,-77.1445382,38.9703359,,
49258830,-77.1434215,38.9709137,,
49258832,-77.1429307,38.9711767,,
49261814,-77.1440298,38.9705869,,
49305304,-77.141052,38.967674,,
292435853,-77.1450428,38.9699904,,
292443131,-77.1428258,38.970509,,
292443142,-77.1430964,38.9713251,,
292443157,-77.1444048,38.9719533,,
292443158,-77.1433829,38.9695188,,
647269352,-77.1384448,38.964685,,
647269353,-77.1383084,38.964535,,
647269356,-77.1379127,38.9642394,,
1279445357,-77.1391525,38.968626,,
1279445409,-77.1390814,38.9687997,,
1279902416,-77.140052,38.96912,,
2189161179,-77.1388242,38.9684976,,
