u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
103013902,103047567,0,False,secondary,West Main Street,139.186,,,,25 mph,,,yes,,,,"[169382292, 169382293, 11558406]",MD 144
103013902,103054117,0,False,secondary,West Main Street,117.089,,,,25 mph,,,,,,,11558406,MD 144
103013902,1342614685,0,False,secondary,Limestone Road,89.77,,,,25 mph,,,,,,,119507948,
103014665,632088076,0,True,motorway_link,,379.067,"['1', '2']",,,35 mph,,,,,,,"[295828049, 295828054]",
103014690,103032409,0,False,unclassified,"['Smith Circle', 'Landfill Road']",388.975,,,,,,,,,,,"[11553220, 11555404]",
103014690,103032409,1,False,residential,South Street,73.654,,,,,,,,,,,11556047,
103014690,1342658336,0,False,residential,South Street,47.359,,,,,,,,,,,11556047,
103022383,103032211,0,False,residential,Virginia Avenue,68.976,,,,,,,,,,,11554269,
103029038,103053733,0,False,secondary,West Main Street,44.991,,,,30 mph,,,,,,,11557745,MD 144
103029038,1342658311,0,False,unclassified,Park Road,28.075,,,,,,,,,,,11554974,
103029038,1342658408,0,False,secondary,West Main Street,68.467,,,,30 mph,,,,,,,11557745,MD 144
103029038,1342658413,0,False,secondary,Blue Hill,70.077,,,,,,,,,,,119512968,
103029042,103047552,0,False,unclassified,Tonoloway Street,99.933,,,,,,,,,,,11558242,
103029042,1342658311,0,False,unclassified,Park Road,112.733,,,,,,,,,,,11554974,
103029042,103053733,0,False,unclassified,Tonoloway Street,125.0,,,,,,,,,,,11558242,
103032211,103022383,0,False,residential,Virginia Avenue,68.976,,,,,,,,,,,11554269,
103032211,1810357318,0,False,residential,Douglas Street,41.783,,,,,,,,,,,11557618,
103032211,103052508,0,False,residential,Douglas Street,92.586,,,,,,,,,,,11557618,
103032211,103061553,0,False,residential,"['Cover Street', 'Virginia Avenue']",330.956,,,,,,,,,,,"[11554269, 11558581]",
103032409,103014690,0,False,unclassified,"['Landfill Road', 'Smith Circle']",388.975,,,,,,,,,,,"[11553220, 11555404]",
103032409,103014690,1,False,residential,South Street,73.654,,,,,,,,,,,11556047,
103032409,103036420,0,False,residential,South Street,158.802,,,,,,,,,,,11556047,
103033302,1781136394,0,False,tertiary,Tollgate Ridge Road,378.552,,,,,,,,,,,11557641,
103033302,103043935,0,False,residential,Center Street,155.274,,,,,,,,,,,11561001,
103036202,103036203,0,False,tertiary,Resley Street,99.683,,,,,,,,,,,11556027,
103036202,1342730102,0,False,secondary,North Pennsylvania Avenue,37.522,,,,,,,,,,,11556844,
103036202,103044121,0,False,secondary,North Pennsylvania Avenue,30.698,,,,,,,,,,,11556844,
103036203,103036202,0,False,tertiary,Resley Street,99.683,,,,,,,,,,,11556027,
103036203,632088287,0,False,residential,Maryland Avenue,72.24,,,,,,,,,,,11560315,
103036203,103076534,0,False,residential,Maryland Avenue,252.727,,,,,,,,,,,11560315,
103036420,103032409,0,False,residential,South Street,158.802,,,,,,,,,,,11556047,
103036420,103053731,0,False,secondary,West Main Street,131.339,,,,30 mph,,,,,,,11557745,MD 144
103036420,103045396,0,False,secondary,West Main Street,62.434,,,,30 mph,,,,,,,11557745,MD 144
103036523,103036524,0,False,residential,Fulton Street,115.232,,,,,,,,,,,11556054,
103036523,103059721,0,False,secondary,West Main Street,38.915,,,,25 mph,,,,,,,11558406,MD 144
103036523,103051995,0,False,secondary,West Main Street,58.682,,,,25 mph,,,,,,,11558406,MD 144
103036524,103036523,0,False,residential,Fulton Street,115.232,,,,,,,,,,,11556054,
103036524,103051246,0,False,residential,West High Street,110.589,,,,,,,,,,,11560668,
103036524,840388579,0,False,residential,Fulton Street,104.925,,,,,,,,,,,11556054,
103036524,103067802,0,False,residential,West High Street,129.719,,,,,,,,,,,11560668,
103036528,103036529,0,False,residential,Fulton Street,146.965,,,,,,,,,,,11556054,
103036528,840388579,0,False,residential,Fulton Street,69.321,,,,,,,,,,,11556054,
103036528,103062077,0,False,residential,Hillside Road,130.739,,,,,,,,,,,11558679,
103036529,103061548,0,False,residential,Roger Street,71.172,,,,,,,,,,,11559978,
103036529,103036534,0,False,residential,Fulton Street,212.719,,,,,,,,,,,11556054,
103036529,103036528,0,False,residential,Fulton Street,146.965,,,,,,,,,,,11556054,
103036534,103052505,0,False,secondary,South Pennsylvania Avenue,74.905,,,,25 mph,,,,,,,65976707,
103036534,103036529,0,False,residential,Fulton Street,212.719,,,,,,,,,,,11556054,
103036534,103061548,0,False,secondary,South Pennsylvania Avenue,168.181,,,,25 mph,,,,,,,65976707,
103040704,103040707,0,False,tertiary,Creek Road,93.078,,,,,,,,,,,11556461,
103040704,1810357116,0,False,tertiary,Creek Road,137.037,,,,,,,,,,,11556461,
103040707,103040704,0,False,tertiary,Creek Road,93.078,,,,,,,,,,,11556461,
103040707,103056592,0,False,residential,Myers Street,206.409,,,,,,,,,,,11558054,
103041674,103041679,0,False,unclassified,Canal Street,96.209,,,,,,,,,,,11556555,
103041674,103059722,0,False,unclassified,South Pennsylvania Avenue,112.711,,,,,,,,,,,169876810,
103041679,103041684,0,False,unclassified,Canal Street,95.239,,,,,,,,,,,11556555,
103041679,103041674,0,False,unclassified,Canal Street,96.209,,,,,,,,,,,11556555,
103041679,103059721,0,False,unclassified,Williams Street,106.334,,,,,,,,,,,11560800,
103041684,103043955,0,False,"['unclassified', 'residential']","['Canal Street', 'North Church Street']",227.958,,,,,,,,,,,"[11556555, 11559875]",
103041684,103041679,0,False,unclassified,Canal Street,95.239,,,,,,,,,,,11556555,
103041684,103051995,0,False,unclassified,Taney Street South,93.175,,,,,,,,,,,11557590,
103042579,1810357502,0,False,residential,Sensel Road,536.505,,,,,,,,,,,11559823,
103043935,103033302,0,False,residential,Center Street,155.274,,,,,,,,,,,11561001,
103043935,103043939,0,False,secondary,East Main Street,358.343,,,,"['30 mph', '35 mph']",,,,,,,"[131924586, 166665758]",MD 144
103043939,103043942,0,False,secondary,East Main Street,59.941,,,,30 mph,,,,,,,131924586,MD 144
103043939,1781136394,0,False,tertiary,Tollgate Ridge Road,26.281,,,,,,,,,,,11557641,
103043939,103043935,0,False,secondary,East Main Street,358.343,,,,"['30 mph', '35 mph']",,,,,,,"[131924586, 166665758]",MD 144
103043942,103043939,0,False,secondary,East Main Street,59.941,,,,30 mph,,,,,,,131924586,MD 144
103043942,103043955,0,False,secondary,East Main Street,996.615,,,,30 mph,,,,,,,131924586,MD 144
103043955,1342730041,0,False,secondary,West Main Street,163.993,,,,25 mph,,,,,,,11558406,MD 144
103043955,103073156,0,False,residential,North Church Street,112.896,,,,,,,,,,,11559875,
103043955,103041684,0,False,"['unclassified', 'residential']","['Canal Street', 'North Church Street']",227.958,,,,,,,,,,,"[11559875, 11556555]",
103043955,103043942,0,False,secondary,East Main Street,996.615,,,,30 mph,,,,,,,131924586,MD 144
103044121,103036202,0,False,secondary,North Pennsylvania Avenue,30.698,,,,,,,,,,,11556844,
103044121,1342730052,0,False,unclassified,Graves Drive,21.701,,,,,,,,,,,11557151,
103044121,103067814,0,False,secondary,"['South Pennsylvania Avenue', 'North Pennsylvania Avenue']",167.046,,,,25 mph,,,,,,,"[65976707, 11556844]",
103044125,1342730102,0,False,secondary,North Pennsylvania Avenue,85.306,,,,,,,,,,,11556844,
103044125,1342730016,0,False,residential,Grove Circle,43.745,,,,,,,,,,,11557539,
103044125,1810357633,0,False,secondary,North Pennsylvania Avenue,149.023,,,,,,,,,,,11556844,
103044133,1024350482,0,False,secondary,North Pennsylvania Avenue,438.488,,,,,,,,,,,11556844,
103044133,1810357633,0,False,secondary,North Pennsylvania Avenue,322.478,,,,,,,,,,,11556844,
103045396,103045403,0,False,residential,Brent Street,327.016,,,,,,,,,,,11556975,
103045396,103036420,0,False,secondary,West Main Street,62.434,,,,30 mph,,,,,,,11557745,MD 144
103045396,103053724,0,False,secondary,West Main Street,57.085,,,,30 mph,,,,,,,11557745,MD 144
103045403,103045396,0,False,residential,Brent Street,327.016,,,,,,,,,,,11556975,
103047356,1342730052,0,False,unclassified,Graves Drive,72.345,,,,,,,,,,,11557151,
103047547,103047552,0,False,unclassified,Park Circle,54.251,,,,,,,,,,,11557167,
103047547,1342658381,0,False,residential,Funk Avenue,57.806,,,,,,,,,,,11558657,
103047547,103053731,0,False,residential,Funk Avenue,241.538,,,,,,,,,,,11558657,
103047552,103029042,0,False,unclassified,Tonoloway Street,99.933,,,,,,,,,,,11558242,
103047552,103047556,0,False,unclassified,Park Circle,127.859,,,,,,,,,,,11557167,
103047552,103047547,0,False,unclassified,Park Circle,54.251,,,,,,,,,,,11557167,
103047556,103047567,0,False,unclassified,Park Circle,206.31,,,,,,,,,,,11557167,
103047556,103047552,0,False,unclassified,Park Circle,127.859,,,,,,,,,,,11557167,
103047556,1810357116,0,False,unclassified,Park Road,200.49,,,,,,,yes,,,,"[11559512, 119512971, 119512966]",
103047567,1342658320,0,False,secondary,West Main Street,23.626,,,,30 mph,,,,,,,11557745,MD 144
103047567,103047556,0,False,unclassified,Park Circle,206.31,,,,,,,,,,,11557167,
103047567,103013902,0,False,secondary,West Main Street,139.186,,,,25 mph,,,yes,,,,"[169382292, 169382293, 11558406]",MD 144
103051049,103051055,0,False,residential,Terrace Heights Drive,126.712,,,,,,,,,,,11557493,
103051049,103077877,0,False,residential,McKinley Drive,158.604,,,,,,,,,,,11560509,
103051055,103051049,0,False,residential,Terrace Heights Drive,126.712,,,,,,,,,,,11557493,
103051246,103036524,0,False,residential,West High Street,110.589,,,,,,,,,,,11560668,
103051246,103076564,0,False,residential,West High Street,27.745,,,,,,,,,,,11560668,
103051246,1342730041,0,False,residential,Taney Street North,147.575,,,,,,,,,,,11557516,
103051397,1342730016,0,False,residential,Grove Circle,32.451,,,,,,,,,,,11557539,
103051397,1342730016,1,False,residential,Grove Circle,152.098,,,,,,,,,,,11557539,
103051397,103058123,0,False,residential,Fleming Drive,104.078,,,,,,,,,,,11558209,
103051683,103073156,0,False,residential,East High Street,93.163,,,,,,,,,,,11560957,
103051995,103036523,0,False,secondary,West Main Street,58.682,,,,25 mph,,,,,,,11558406,MD 144
103051995,1342730041,0,False,secondary,West Main Street,10.803,,,,25 mph,,,,,,,11558406,MD 144
103051995,103041684,0,False,unclassified,Taney Street South,93.175,,,,,,,,,,,11557590,
103052505,103052508,0,False,residential,Douglas Street,99.322,,,,,,,,,,,11557618,
103052505,103067814,0,False,secondary,South Pennsylvania Avenue,46.272,,,,25 mph,,,,,,,65976707,
103052505,103036534,0,False,secondary,South Pennsylvania Avenue,74.905,,,,25 mph,,,,,,,65976707,
103052508,103032211,0,False,residential,Douglas Street,92.586,,,,,,,,,,,11557618,
103052508,103052505,0,False,residential,Douglas Street,99.322,,,,,,,,,,,11557618,
103052508,103076514,0,False,residential,Maryland Avenue,87.867,,,,,,,,,,,11560308,
103052508,103061553,0,False,residential,Maryland Avenue,245.363,,,,,,,,,,,11560308,
103053142,103073394,0,False,residential,Taliaferro Street,71.202,,,,,,,,,,,11559904,
103053142,103073391,0,False,residential,"['Kirk Drive', 'Cleveland Street']",325.5,,,,,,,,,,,"[11561011, 11557685]",
103053142,103073391,1,False,residential,Taliaferro Street,67.697,,,,,,,,,,,11559904,
103053719,103053724,0,False,secondary,West Main Street,52.705,,,,30 mph,,,,,,,11557745,MD 144
103053719,103073391,0,False,residential,Taliaferro Street,115.48,,,,,,,,,,,11559904,
103053724,103053719,0,False,secondary,West Main Street,52.705,,,,30 mph,,,,,,,11557745,MD 144
103053724,103045396,0,False,secondary,West Main Street,57.085,,,,30 mph,,,,,,,11557745,MD 144
103053724,103062538,0,False,residential,Parrell Street,303.206,,,,,,,,,,,11558744,
103053731,103053733,0,False,secondary,West Main Street,55.045,,,,30 mph,,,,,,,11557745,MD 144
103053731,103036420,0,False,secondary,West Main Street,131.339,,,,30 mph,,,,,,,11557745,MD 144
103053731,103047547,0,False,residential,Funk Avenue,241.538,,,,,,,,,,,11558657,
103053733,103029038,0,False,secondary,West Main Street,44.991,,,,30 mph,,,,,,,11557745,MD 144
103053733,103053731,0,False,secondary,West Main Street,55.045,,,,30 mph,,,,,,,11557745,MD 144
103053733,103029042,0,False,unclassified,Tonoloway Street,125.0,,,,,,,,,,,11558242,
103054117,103013902,0,False,secondary,West Main Street,117.089,,,,25 mph,,,,,,,11558406,MD 144
103054117,103059724,0,False,secondary,West Main Street,133.428,,,,25 mph,,,,,,,11558406,MD 144
103054117,103054120,0,False,secondary,Virginia Avenue,113.396,,,,,,,,,,,119522584,
103054120,632088026,0,False,tertiary,West High Street,121.231,,,,25 mph,,,,,,,121648649,
103054120,103054121,0,False,residential,Virginia Avenue,53.356,,,,,,,,,,,49736912,
103054120,103074552,0,False,tertiary,West High Street,133.862,,,,25 mph,,,,,,,"[49736913, 119522582]",
103054120,103054117,0,False,secondary,Virginia Avenue,113.396,,,,,,,,,,,119522584,
103054121,632088258,0,False,residential,Jackson Street,180.369,,,,,,,,,,,11558934,
103054121,103074554,0,False,residential,"['Virginia Avenue', 'Washington Street']",221.865,,,,,,,,,,,"[49736912, 11561201]",
103054121,103054120,0,False,residential,Virginia Avenue,53.356,,,,,,,,,,,49736912,
103056592,103040707,0,False,residential,Myers Street,206.409,,,,,,,,,,,11558054,
103057106,103014665,0,True,motorway_link,,553.806,1,,,35 mph,,,,,,,49736922,
103058123,103051397,0,False,residential,Fleming Drive,104.078,,,,,,,,,,,11558209,
103058666,840388579,0,False,residential,Wabash Street,126.73,,,,,,,,,,,11558274,
103058666,103067805,0,False,secondary,South Pennsylvania Avenue,46.72,,,,25 mph,,,,,,,65976707,
103058666,103067802,0,False,secondary,South Pennsylvania Avenue,100.814,,,,25 mph,,,,,,,65976707,
103059721,103036523,0,False,secondary,West Main Street,38.915,,,,25 mph,,,,,,,11558406,MD 144
103059721,103059722,0,False,secondary,West Main Street,92.801,,,,25 mph,,,,,,,11558406,MD 144
103059721,103041679,0,False,unclassified,Williams Street,106.334,,,,,,,,,,,11560800,
103059722,103059724,0,False,secondary,West Main Street,128.595,,,,25 mph,,,,,,,11558406,MD 144
103059722,103059721,0,False,secondary,West Main Street,92.801,,,,25 mph,,,,,,,11558406,MD 144
103059722,103067802,0,False,secondary,South Pennsylvania Avenue,115.798,,,,25 mph,,,,,,,65976707,
103059722,103041674,0,False,unclassified,South Pennsylvania Avenue,112.711,,,,,,,,,,,169876810,
103059724,103074552,0,False,residential,Methodist Avenue,116.282,,,,,,,,,,,11560110,
103059724,103054117,0,False,secondary,West Main Street,133.428,,,,25 mph,,,,,,,11558406,MD 144
103059724,103059722,0,False,secondary,West Main Street,128.595,,,,25 mph,,,,,,,11558406,MD 144
103061548,103036529,0,False,residential,Roger Street,71.172,,,,,,,,,,,11559978,
103061548,1342730038,0,False,secondary,South Pennsylvania Avenue,15.117,,,,25 mph,,,,,,,65976707,
103061548,103036534,0,False,secondary,South Pennsylvania Avenue,168.181,,,,25 mph,,,,,,,65976707,
103061553,103032211,0,False,residential,"['Cover Street', 'Virginia Avenue']",330.956,,,,,,,,,,,"[11554269, 11558581]",
103061553,1342730038,0,False,residential,Cover Street,114.61,,,,,,,,,,,11558581,
103061553,103052508,0,False,residential,Maryland Avenue,245.363,,,,,,,,,,,11560308,
103062077,103063575,0,False,residential,Baptist Road,43.75,,,,,,,,,,,11560322,
103062077,103076566,0,False,residential,Baptist Road,76.891,,,,,,,,,,,11560322,
103062077,103036528,0,False,residential,Hillside Road,130.739,,,,,,,,,,,11558679,
103062538,103053724,0,False,residential,Parrell Street,303.206,,,,,,,,,,,11558744,
103063575,103062077,0,False,residential,Baptist Road,43.75,,,,,,,,,,,11560322,
103063575,103063578,0,False,residential,Clay Street,87.259,,,,,,,,,,,11558913,
103063575,103076572,0,False,residential,Baptist Road,123.747,,,,,,,,,,,11560322,
103063578,103063575,0,False,residential,Clay Street,87.259,,,,,,,,,,,11558913,
103063578,103079028,0,False,residential,Fairview Drive,106.577,,,,,,,,,,,11560675,
103063578,103076566,0,False,residential,"['Fairview Drive', 'Grand Street']",202.208,,,,,,,,,,,"[11560675, 11561236]",
103067802,103036524,0,False,residential,West High Street,129.719,,,,,,,,,,,11560668,
103067802,103058666,0,False,secondary,South Pennsylvania Avenue,100.814,,,,25 mph,,,,,,,65976707,
103067802,103059722,0,False,secondary,South Pennsylvania Avenue,115.798,,,,25 mph,,,,,,,65976707,
103067802,103074552,0,False,tertiary,West High Street,128.978,,,,,,,,,,,119522582,
103067805,103058666,0,False,secondary,South Pennsylvania Avenue,46.72,,,,25 mph,,,,,,,65976707,
103067805,103074554,0,False,residential,Washington Street,129.189,,,,,,,,,,,11561201,
103067805,103067810,0,False,secondary,South Pennsylvania Avenue,93.781,,,,25 mph,,,,,,,65976707,
103067810,103071902,0,False,residential,Franklin Street,114.958,,,,,,,,,,,11559756,
103067810,1342730038,0,False,secondary,South Pennsylvania Avenue,53.047,,,,25 mph,,,,,,,65976707,
103067810,103067805,0,False,secondary,South Pennsylvania Avenue,93.781,,,,25 mph,,,,,,,65976707,
103067814,103052505,0,False,secondary,South Pennsylvania Avenue,46.272,,,,25 mph,,,,,,,65976707,
103067814,103076574,0,False,residential,Baptist Road,138.867,,,,,,,,,,,11560322,
103067814,103044121,0,False,secondary,"['South Pennsylvania Avenue', 'North Pennsylvania Avenue']",167.046,,,,25 mph,,,,,,,"[65976707, 11556844]",
103071902,103067810,0,False,residential,Franklin Street,114.958,,,,,,,,,,,11559756,
103073156,103043955,0,False,residential,North Church Street,112.896,,,,,,,,,,,11559875,
103073156,103076564,0,False,residential,East High Street,96.118,,,,,,,,,,,11560957,
103073156,103051683,0,False,residential,East High Street,93.163,,,,,,,,,,,11560957,
103073391,103053719,0,False,residential,Taliaferro Street,115.48,,,,,,,,,,,11559904,
103073391,103053142,0,False,residential,Taliaferro Street,67.697,,,,,,,,,,,11559904,
103073391,103053142,1,False,residential,"['Cleveland Street', 'Kirk Drive']",325.5,,,,,,,,,,,"[11561011, 11557685]",
103073394,103053142,0,False,residential,Taliaferro Street,71.202,,,,,,,,,,,11559904,
103074552,103059724,0,False,residential,Methodist Avenue,116.282,,,,,,,,,,,11560110,
103074552,103074554,0,False,residential,Methodist Avenue,146.796,,,,,,,,,,,11560110,
103074552,103054120,0,False,tertiary,West High Street,133.862,,,,25 mph,,,,,,,"[49736913, 119522582]",
103074552,103067802,0,False,tertiary,West High Street,128.978,,,,,,,,,,,119522582,
103074554,103074552,0,False,residential,Methodist Avenue,146.796,,,,,,,,,,,11560110,
103074554,103054121,0,False,residential,"['Virginia Avenue', 'Washington Street']",221.865,,,,,,,,,,,"[49736912, 11561201]",
103074554,103067805,0,False,residential,Washington Street,129.189,,,,,,,,,,,11561201,
103076514,103052508,0,False,residential,Maryland Avenue,87.867,,,,,,,,,,,11560308,
103076534,103036203,0,False,residential,Maryland Avenue,252.727,,,,,,,,,,,11560315,
103076564,103051246,0,False,residential,West High Street,27.745,,,,,,,,,,,11560668,
103076564,103073156,0,False,residential,East High Street,96.118,,,,,,,,,,,11560957,
103076564,103076566,0,False,residential,Baptist Road,188.279,,,,,,,,,,,11560322,
103076566,103062077,0,False,residential,Baptist Road,76.891,,,,,,,,,,,11560322,
103076566,103076564,0,False,residential,Baptist Road,188.279,,,,,,,,,,,11560322,
103076566,103063578,0,False,residential,"['Fairview Drive', 'Grand Street']",202.208,,,,,,,,,,,"[11560675, 11561236]",
103076572,103076574,0,False,residential,Baptist Road,102.117,,,,,,,,,,,11560322,
103076572,103063575,0,False,residential,Baptist Road,123.747,,,,,,,,,,,11560322,
103076572,103079028,0,False,residential,Wine Street,87.319,,,,,,,,,,,11561182,
103076574,103076572,0,False,residential,Baptist Road,102.117,,,,,,,,,,,11560322,
103076574,103067814,0,False,residential,Baptist Road,138.867,,,,,,,,,,,11560322,
103076574,364256147,0,False,residential,Baptist Road,106.058,,,,,,,,,,,11560323,
103077877,103077880,0,False,residential,McKinley Drive,140.32,,,,,,,,,,,11560509,
103077877,103077880,1,False,residential,Vista Village,151.906,,,,,,,,,,,11561080,
103077877,103051049,0,False,residential,McKinley Drive,158.604,,,,,,,,,,,11560509,
103077880,1810356963,0,False,residential,McKinley Drive,53.095,,,,,,,,,,,11560509,
103077880,103077877,0,False,residential,McKinley Drive,140.32,,,,,,,,,,,11560509,
103077880,103077877,1,False,residential,Vista Village,151.906,,,,,,,,,,,11561080,
103079028,103063578,0,False,residential,Fairview Drive,106.577,,,,,,,,,,,11560675,
103079028,103076572,0,False,residential,Wine Street,87.319,,,,,,,,,,,11561182,
103079028,1342730097,0,False,residential,Wine Street,41.918,,,,,,,,,,,11561182,
364256147,103076574,0,False,residential,Baptist Road,106.058,,,,,,,,,,,11560323,
632088013,1342614721,0,False,tertiary,Limestone Road,3.254,,,,25 mph,,,,,,,11553110,
632088013,1342614535,0,True,tertiary,Limestone Road,40.797,,,,25 mph,,,,,,,49736919,
632088026,103054120,0,False,tertiary,West High Street,121.231,,,,25 mph,,,,,,,121648649,
632088026,2995878479,0,True,motorway_link,,253.584,1,,,25 mph,,,,,,,49736911,
632088076,1342614442,0,False,motorway,Warfordsburg Road,25.806,1,,,35 mph,,,,,,,49736914,US 522
632088076,632088089,0,False,motorway,Warfordsburg Road,597.501,1,,,35 mph,,,yes,,,,"[49736914, 49736915]",US 522
632088089,632088076,0,False,motorway,Warfordsburg Road,597.501,1,,,35 mph,,,yes,,,,"[49736914, 49736915]",US 522
632088121,2995878449,0,False,trunk,Warfordsburg Road,231.542,2,,,35 mph,,,yes,,,,"[66146088, 66146097, 49736917]",US 522
632088121,1342658413,0,False,secondary,Blue Hill,165.06,,,,,,,,,,,119512968,
632088227,2995878479,0,False,motorway,Warfordsburg Road,215.107,1,,,35 mph,,,,,,,38343419,US 522
632088227,632088233,0,True,motorway_link,,514.388,1,,,,,,,,,,49736921,
632088227,632088246,0,False,motorway,Warfordsburg Road,339.253,1,,,35 mph,,,,,,,444216793,US 522
632088246,632088227,0,False,motorway,Warfordsburg Road,339.253,1,,,35 mph,,,,,,,444216793,US 522
632088258,103054121,0,False,residential,Jackson Street,180.369,,,,,,,,,,,11558934,
632088287,103036203,0,False,residential,Maryland Avenue,72.24,,,,,,,,,,,11560315,
840388579,103058666,0,False,residential,Wabash Street,126.73,,,,,,,,,,,11558274,
840388579,103036528,0,False,residential,Fulton Street,69.321,,,,,,,,,,,11556054,
840388579,103036524,0,False,residential,Fulton Street,104.925,,,,,,,,,,,11556054,
1024350472,1024350482,0,False,residential,Quaker Creek Drive,122.506,,,,,permissive,,,,,,88157032,
1024350482,1024350472,0,False,residential,Quaker Creek Drive,122.506,,,,,permissive,,,,,,88157032,
1024350482,1342730137,0,False,secondary,North Pennsylvania Avenue,161.65,,,,,,,,,,,11556844,
1024350482,103044133,0,False,secondary,North Pennsylvania Avenue,438.488,,,,,,,,,,,11556844,
1342614442,632088076,0,False,motorway,Warfordsburg Road,25.806,1,,,35 mph,,,,,,,49736914,US 522
1342614442,1342614541,0,False,motorway,Warfordsburg Road,216.061,1,,,35 mph,,,,,,,49736914,US 522
1342614442,1342614699,0,True,motorway_link,,167.03,1,,,25 mph,,,,,,,172879215,
1342614495,632088013,0,True,tertiary,Limestone Road,18.931,,,,25 mph,,,,,,,119507947,
1342614495,1342614535,0,True,secondary_link,,24.505,1,,,25 mph,,,,,,,295828056,
1342614535,1342614685,0,True,secondary,Limestone Road,59.472,,,,25 mph,,,,,,,182392249,
1342614541,2995878449,0,False,trunk,Warfordsburg Road,17.808,2,,,35 mph,,,,,,,49736917,US 522
1342614541,2995878479,0,False,motorway,Warfordsburg Road,216.523,1,,,35 mph,,,,,,,38343419,US 522
1342614541,1342614442,0,False,motorway,Warfordsburg Road,216.061,1,,,35 mph,,,,,,,49736914,US 522
1342614668,1342614721,0,False,tertiary,Limestone Road,176.152,,,,25 mph,,,,,,,11553110,
1342614668,1810357116,0,False,tertiary,Creek Road,22.963,,,,,,,,,,,11556461,
