osmid,x,y,ref,highway
182524564,-75.867675,38.637847,,
182524580,-75.865455,38.63832,,
182524591,-75.864349,38.638553,,
182524607,-75.8632372,38.6387657,,
182524610,-75.862625,38.638885,,
182524613,-75.8621357,38.638973,,
182524622,-75.849052,38.636142,,
182524626,-75.849632,38.63623,,
182534262,-75.853897,38.627723,,
182534274,-75.852203,38.627693,,
182534308,-75.851524,38.630516,,
182542084,-75.88816,38.625568,,
182542254,-75.843711,38.617656,,
182573563,-75.8675863,38.6347399,,
182579245,-75.870498,38.635662,,
182617882,-75.879531,38.622993,,
182665572,-75.851013,38.63282,,
182677798,-75.864646,38.632789,,
182678307,-75.860382,38.636646,,
182713631,-75.8567436,38.6240052,,
182713658,-75.860786,38.623718,,
182715410,-75.8637,38.633998,,
182715423,-75.8643748,38.6350337,,
182717065,-75.854804,38.630638,,
182717094,-75.8546148,38.6303444,,
182717160,-75.857543,38.630649,,
182717261,-75.860656,38.62907,,stop
182717264,-75.859176,38.62981,,
182717608,-75.8613611,38.6350523,,
182717629,-75.8635824,38.6338011,,
182717777,-75.86491,38.6331752,,
182717788,-75.865554,38.633914,,
182717815,-75.865951,38.634777,,
182717826,-75.866622,38.635395,,
182717836,-75.867767,38.636379,,
182717850,-75.868408,38.636905,,
182719257,-75.870132,38.635662,,
182719262,-75.8693273,38.6362559,,
182719271,-75.867408,38.637619,,
182720800,-75.861747,38.63087,,
182720814,-75.859916,38.631557,,
182721098,-75.862854,38.632659,,
182721114,-75.86074,38.633499,,
182721142,-75.859222,38.634098,,
182721180,-75.862289,38.635868,,
182721186,-75.8626693,38.6365928,,
182721197,-75.8630456,38.6374116,,
182721660,-75.850555,38.635284,,
182721733,-75.848556,38.632812,,
182721756,-75.849082,38.632522,,
182723484,-75.86325,38.635475,,
182723487,-75.8615894,38.6361523,,
182728758,-75.858749,38.618385,,
182728829,-75.860748,38.6222291,,
182731436,-75.86338,38.63348,,
182731498,-75.8611379,38.6344308,,
182738225,-75.8649068,38.636006,,
182738236,-75.8637269,38.6363205,,
182738257,-75.871094,38.633918,,
182738265,-75.86972,38.634155,,
182738274,-75.8686531,38.6343389,,
182738957,-75.8686955,38.6357247,,
182740430,-75.858734,38.628761,,
182740433,-75.859252,38.628742,,
182740437,-75.860656,38.628696,,
182740655,-75.857864,38.626689,,
182740662,-75.859298,38.626697,,
182740674,-75.860702,38.626712,,
182742290,-75.8615795,38.6355389,,
182755054,-75.864646,38.640743,,
182755077,-75.86457,38.640045,,
182755082,-75.864387,38.639347,,
182755735,-75.866386,38.632137,,
182755739,-75.867141,38.63282,,
182755747,-75.867706,38.633563,,
182756071,-75.869544,38.635135,,
182761911,-75.8653769,38.6373044,,
182761932,-75.864166,38.637348,,
182761945,-75.862426,38.637458,,
182761948,-75.8619345,38.6374941,,
182765763,-75.865669,38.633861,,
182769889,-75.871673,38.628475,,
182769938,-75.867347,38.631458,,
182771911,-75.851165,38.634742,,
182771950,-75.849868,38.63665,,
182773538,-75.8644353,38.6350916,,
182780293,-75.865623,38.636096,,
182780299,-75.86679,38.637092,,
182780303,-75.866889,38.637176,,
182782096,-75.863258,38.640678,,
182782098,-75.863029,38.640895,,
182783406,-75.85704,38.629753,,
182783561,-75.858337,38.614742,,
182785658,-75.865676,38.64067,,
182785732,-75.86309,38.639682,,
182785763,-75.865524,38.639228,,
182786124,-75.862274,38.628883,,
182786142,-75.858985,38.629375,,
182786164,-75.855163,38.630195,,
182786662,-75.860755,38.625228,,
182786665,-75.860679,38.627788,,
182786746,-75.862007,38.631275,,
182786747,-75.862251,38.631687,,
182786760,-75.86325,38.633285,,
182789295,-75.8653983,38.6374574,,
182811188,-75.855026,38.627716,,
182811650,-75.862022,38.62379,,
182816010,-75.860282,38.632442,,
182817766,-75.8634126,38.6307245,,
182818687,-75.863975,38.640102,,
182819772,-75.857231,38.625175,,
182823714,-75.883056,38.622898,,
182825855,-75.859275,38.627769,,
182827064,-75.848129,38.632675,,
182834736,-75.860794,38.62268,,
182837275,-75.8583362,38.6277602,,
1468826339,-75.8579039,38.6239129,,
1468826340,-75.8590135,38.624138,,
1468826341,-75.860656,38.6287566,,
1468826346,-75.8596371,38.6237927,,
1468826360,-75.8577954,38.6228766,,
1468826362,-75.8581186,38.6211721,,
1468826365,-75.8590169,38.6242208,,
1468826366,-75.8583067,38.6228354,,
1468826367,-75.8609893,38.6290097,,
1468826376,-75.8590202,38.6243022,,
1468826378,-75.8673431,38.6345498,,
1468826381,-75.8543261,38.6306143,,
4414363597,-75.8696677,38.6321395,,
