osmid,x,y,ref,highway
49152060,-77.142608,39.212078,,traffic_signals
49214528,-77.140848,39.2053827,,
49220561,-77.14083,39.210166,,
49220565,-77.140373,39.210174,,
49233810,-77.139344,39.2040645,,
49280115,-77.139312,39.212505,,
49280235,-77.141738,39.208541,,
49280236,-77.139816,39.208724,,
49287455,-77.140754,39.21231,,
49299706,-77.141769,39.215995,,turning_circle
49335344,-77.139999,39.209598,,
49335345,-77.139442,39.206974,,
760463105,-77.131835,39.2070055,,
1313518046,-77.147974,39.2131777,,turning_circle
1313518050,-77.1477955,39.2116849,,
1779173270,-77.1391515,39.2058819,,
1779173272,-77.1408594,39.2054223,,
2060782809,-77.1520158,39.211168,,
4837014579,-77.1418829,39.2061557,,
4837014583,-77.1406437,39.2046056,,
