osmid,x,y,ref,highway
182571343,-79.4039397,39.4053481,,
182571347,-79.403712,39.405775,,
182571393,-79.4032421,39.4066557,,
182571399,-79.4027972,39.4074895,,
182571406,-79.4023432,39.4083403,,
182571755,-79.4154248,39.4142118,,
182571787,-79.4172715,39.4187466,,
182571790,-79.4166989,39.4193465,,
182571793,-79.4158526,39.4202282,,
182571807,-79.4099766,39.4113712,,
182571823,-79.4137806,39.412642,,
182630226,-79.3966629,39.415618,,
182630678,-79.4119924,39.4000144,,
182633520,-79.3808708,39.4194716,,
182633526,-79.3829615,39.417642,,
182633578,-79.3905663,39.4168292,,
182633603,-79.3961701,39.4132666,,
182633612,-79.3964926,39.4131308,,
182633616,-79.3973938,39.4129117,,
182633623,-79.398348,39.4127247,,
182633643,-79.4028868,39.4130677,,
182633652,-79.4039344,39.4134215,,traffic_signals
182635307,-79.40181,39.4026155,,
182636491,-79.4080522,39.4123183,,
182636519,-79.4076236,39.4145164,,
182636532,-79.4092021,39.4127114,,
182636638,-79.3882938,39.4072256,,
182637192,-79.3909037,39.4044774,,
182637201,-79.3976562,39.4057916,,
182637203,-79.3997465,39.4064951,,
182637206,-79.4015316,39.4070816,,
182637209,-79.4040653,39.4078831,,
182637212,-79.4053114,39.4082851,,
182637219,-79.4078462,39.4091439,,traffic_signals
182637228,-79.4065643,39.408728,,
182638563,-79.4166787,39.4222183,,
182638569,-79.4206377,39.4235091,,
182639258,-79.4007608,39.4156805,,
182639259,-79.4022831,39.4161738,,
182639261,-79.4034833,39.4166368,,
182640633,-79.4035965,39.4140163,,
182640637,-79.4048733,39.4144409,,
182642120,-79.4164608,39.4229689,,
182642124,-79.4164259,39.4238173,,
182642247,-79.4124637,39.4234012,,
182642253,-79.413341,39.4237423,,
182642269,-79.4144942,39.4241022,,
182642387,-79.3985205,39.4031734,,
182642390,-79.3984521,39.4035516,,traffic_signals
182642395,-79.3971929,39.4066832,,
182642614,-79.4052109,39.4057624,,
182642616,-79.4049776,39.4061947,,
182642621,-79.4045058,39.4070685,,
182645423,-79.4010899,39.4039336,,
182645427,-79.4028621,39.4045275,,
182647144,-79.4143104,39.4251661,,
182648122,-79.4102556,39.4180406,,
182648440,-79.4001008,39.4031466,,
182649008,-79.4097426,39.4082935,,
182649595,-79.4127298,39.4138635,,
182649747,-79.4102137,39.4251009,,
182650329,-79.4030934,39.4149022,,
182650337,-79.4043707,39.4153328,,
182651790,-79.4088353,39.4104749,,
182653467,-79.3784441,39.4420485,,
182654435,-79.4092109,39.4065917,,
182654442,-79.4087681,39.4074443,,traffic_signals
182654449,-79.4083138,39.4083035,,
182654461,-79.4069259,39.4107979,,
182656446,-79.4113524,39.4162993,,
182658575,-79.3840714,39.4332798,,
182660295,-79.382914,39.4347869,,
182661239,-79.3927558,39.4050123,,
182661245,-79.3946775,39.4047667,,
182661361,-79.4012188,39.4176734,,
182663956,-79.4064468,39.4061653,,
182663959,-79.40771,39.406577,,
182664077,-79.3976473,39.4105094,,
182669082,-79.4012696,39.403602,,
182669090,-79.400867,39.4043465,,
182669093,-79.4006407,39.4047806,,
182669098,-79.4001787,39.4056548,,
182669107,-79.3993002,39.4073641,,
182669143,-79.4066705,39.4057479,,
182669147,-79.4062144,39.4065993,,
182669154,-79.405746,39.4074737,,
182669162,-79.4044186,39.4099518,,
