u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
182151522,182151527,0,False,residential,Lednum Avenue,132.505,,,,,,,,,,,17596267,
182151527,182151533,0,False,residential,Lednum Avenue,110.78,,,,,,,,,,,17596267,
182151527,182151522,0,False,residential,Lednum Avenue,132.505,,,,,,,,,,,17596267,
182151527,182209868,0,False,residential,Mill Street,172.82,,,,,,,,,,,17604002,
182151533,182151538,0,False,residential,Lednum Avenue,148.588,,,,,,,,,,,17596267,
182151533,182205127,0,False,residential,Wright Street,188.926,,,,,,,,,,,17602762,
182151533,182151527,0,False,residential,Lednum Avenue,110.78,,,,,,,,,,,17596267,
182151538,182151533,0,False,residential,Lednum Avenue,148.588,,,,,,,,,,,17596267,
182151538,182160193,0,False,primary,Main Street,59.965,2,,,30 mph,,,,,,,45780013,MD 331
182151538,182209606,0,False,primary,Main Street,146.921,2,,,30 mph,,,,,,,45780013,MD 331
182160193,182151538,0,False,primary,Main Street,59.965,2,,,30 mph,,,,,,,45780013,MD 331
182160193,182206579,0,False,residential,Sunset Boulevard,275.116,,,,,,,,,,,17603289,
182160193,182206582,0,False,primary,Main Street,494.198,2,,,30 mph,,,,,,,45780013,MD 331
182161544,182213282,0,False,residential,Apple Lane,389.837,,,,,,,,,,,17605537,
182184097,582973298,0,False,tertiary,Linchester Road,67.716,,,,30 mph,,,,,,,17605462,MD 817
182188763,4637808108,0,False,unclassified,Back Landing Road,54.359,,,,,,,,,,,91905908,
182188763,182213715,0,False,unclassified,Railroad Avenue,458.345,,,,,,,,,,,17605266,
182188763,182213282,0,False,unclassified,Back Landing Road,265.694,,,,,,,,,,,91905908,
182190233,182209597,0,False,residential,Noble Avenue,256.729,,,,,,,,,,,17604979,
182191104,182209593,0,False,unclassified,Back Landing Road,17.827,,,,,,,,,,,91905908,
182191104,182213294,0,False,unclassified,Back Landing Road,83.067,,,,,,,,,,,91905908,
182191109,182209593,0,False,primary,Main Street,69.499,2,,,25 mph,,,,,,,17603262,MD 16;MD 331
182191109,182191104,0,True,residential,,76.82,,,,,,,,,,,17600887,
182191109,182209597,0,False,primary,Main Street,253.631,2,,,"['25 mph', '30 mph']",,,,,,,"[315498872, 17603262]",MD 16;MD 331
182205127,182151533,0,False,residential,Wright Street,188.926,,,,,,,,,,,17602762,
