u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
183088128,183340467,0,False,residential,North Street,96.019,,,,,,,,,,,17694596,
183088128,183088149,0,False,residential,Griffin Drive,125.311,,,,,,,,,,,17673716,
183088128,183218202,0,False,residential,North Street,341.543,,,,,,,,,,,17694596,
183088149,183296402,0,False,residential,South Fremont Street,58.549,,,,,,,,,,,17694578,
183088149,183340467,0,False,residential,South Fremont Street,46.648,,,,,,,,,,,17694578,
183088149,183088128,0,False,residential,Griffin Drive,125.311,,,,,,,,,,,17673716,
183088718,183088726,0,False,secondary,St Michaels Road,393.359,,,,,,,,,,,17673756,MD 33
183088718,183272507,0,False,residential,Perry Cabin Drive,421.409,,,,,,,,,,,17699158,
183088718,183340252,0,False,secondary,North Talbot Road,199.595,,,,,,,,,,,17703432,MD 33
183088726,183088728,0,False,secondary,St Michaels Road,38.064,,,,,,,,,,,17673756,MD 33
183088726,183088718,0,False,secondary,St Michaels Road,393.359,,,,,,,,,,,17673756,MD 33
183088728,183088726,0,False,secondary,St Michaels Road,38.064,,,,,,,,,,,17673756,MD 33
183088728,183088766,0,False,secondary,St Michaels Road,352.43,,,,,,,,,,,17673756,MD 33
183088766,183088774,0,False,secondary,St Michaels Road,299.231,,,,,,,,,,,17673756,MD 33
183088766,183088728,0,False,secondary,St Michaels Road,352.43,,,,,,,,,,,17673756,MD 33
183088774,183088766,0,False,secondary,St Michaels Road,299.231,,,,,,,,,,,17673756,MD 33
183138441,183138443,0,False,residential,,62.362,,,,,,,,,,,17677348,
183138443,183138441,0,False,residential,,62.362,,,,,,,,,,,17677348,
183138443,183138455,0,False,residential,,41.12,,,,,,,,,,,17677348,
183138443,1793902438,0,False,residential,,80.761,,,,,,,,,,,17679790,
183138455,183138771,0,False,residential,,41.969,,,,,,,,,,,17677361,
183138455,1793902462,0,False,residential,,156.047,,,,,,,,,,,17677348,
183138455,183138443,0,False,residential,,41.12,,,,,,,,,,,17677348,
183138455,1793902440,0,False,residential,,58.083,,,,,,,,,,,17677361,
183138748,1793902440,0,False,residential,,16.436,,,,,,,,,,,17677361,
183138771,183138455,0,False,residential,,41.969,,,,,,,,,,,17677361,
183138771,1793902462,0,False,residential,Perry Cabin Drive,118.106,,,,,,,,,,,17699158,
