osmid,x,y,ref,highway
103024904,-77.7502542,39.4550091,,
103033436,-77.7520164,39.4587886,,
103033444,-77.7523242,39.4593534,,
103037528,-77.7493194,39.4595062,,
103037530,-77.7466372,39.4602548,,
103041759,-77.7543928,39.456698,,
103043906,-77.7487414,39.4582419,,
103043912,-77.7460619,39.4589646,,
103043916,-77.7426595,39.4599825,,
103050834,-77.7447959,39.4565903,,
103053749,-77.7514129,39.4575181,,
103058587,-77.7549614,39.457955,,
103063733,-77.744411,39.4579954,,
103068032,-77.7476531,39.4557241,,
103068035,-77.7481641,39.456975,,
103069079,-77.7454946,39.4576983,,
103081354,-77.7508282,39.456231,,
