u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49384888,49456951,0,True,secondary,Edison Highway,116.622,2,,,30 mph,,,,,,,192464197,
49384888,49474993,0,False,residential,East Oliver Street,77.435,2,,,25 mph,,,,,,,279675879,
49386030,49498920,0,False,tertiary,East Preston Street,40.566,2,,,25 mph,,,,,,,202760732,
49386030,49501835,0,False,tertiary,East Preston Street,37.534,2,,,25 mph,,,,,,,202760732,
49391349,49467087,0,False,residential,North Potomac Street,45.045,,,,,,,,,,,98289496,
49454220,49474991,0,False,tertiary,East Preston Street,70.451,2,,,25 mph,,,,,,,202760732,
49456924,49456927,0,False,residential,East Hoffman Street,120.385,2,,,25 mph,,,,,,,71698835,
49456924,49528061,0,False,tertiary,North Milton Avenue,59.813,2,,,25 mph,,,,,,,192574238,
49456924,49501827,0,False,tertiary,North Milton Avenue,119.516,2,,,25 mph,,,,,,,192574238,
49456927,49559906,0,False,residential,North Luzerne Avenue,58.032,2,,,25 mph,,,,,,,84601236,
49456927,49456928,0,False,residential,East Hoffman Street,121.186,2,,,25 mph,,,,,,,71698835,
49456927,49456924,0,False,residential,East Hoffman Street,120.385,2,,,25 mph,,,,,,,71698835,
49456927,49535939,0,False,residential,North Luzerne Avenue,59.971,2,,,25 mph,,,,,,,84601236,
49456928,49456927,0,False,residential,East Hoffman Street,121.186,2,,,25 mph,,,,,,,71698835,
49456928,49456934,0,False,residential,East Hoffman Street,118.565,2,,,25 mph,,,,,,,76518429,
49456928,49521808,0,False,residential,North Lakewood Avenue,60.119,2,,,25 mph,,,,,,,540022798,
49456928,49521805,0,False,residential,North Lakewood Avenue,58.509,2,,,25 mph,,,,,,,540022798,
49456934,49456935,0,False,residential,East Hoffman Street,84.698,2,,,25 mph,,,,,,,76518429,
49456934,49456928,0,False,residential,East Hoffman Street,118.565,2,,,25 mph,,,,,,,76518429,
49456934,49501833,0,True,residential,North Kenwood Avenue,119.985,1,,,25 mph,,,,,,,113924561,
49456935,49482789,0,False,residential,Kenhill Avenue,117.332,2,,,25 mph,,,,,,,6007958,
49456935,49498920,0,False,residential,Kenhill Avenue,120.163,2,,,25 mph,,,,,,,6007958,
