osmid,x,y,ref,highway
49391490,-76.5992442,39.3283491,,
49458480,-76.6080141,39.3243146,,
49458484,-76.6073219,39.3259693,,
49458485,-76.6072,39.3261802,,
49458488,-76.6069393,39.3265979,,
49458490,-76.606525,39.327229,,
49459949,-76.6078564,39.3208779,,
49459950,-76.6078465,39.3221137,,
49459955,-76.607749,39.322945,,
49459960,-76.6073854,39.3235634,,
49459961,-76.607233,39.3241254,,
49459965,-76.606666,39.325724,,
49461708,-76.6037175,39.3237952,,
49461709,-76.6033152,39.3244261,,
49461710,-76.6029152,39.3250414,,
49461711,-76.6025195,39.3256636,,
49461713,-76.6020759,39.3263207,,
49461717,-76.6040785,39.3232393,,
49468541,-76.604718,39.3257283,,
49468547,-76.6009424,39.3242579,,
49490887,-76.5979116,39.3283211,,traffic_signals
49500790,-76.605245,39.323612,,
49500803,-76.6083715,39.3243946,,
49503323,-76.6050295,39.3283223,,
49503332,-76.6053118,39.3275164,,
49503333,-76.6053053,39.3283181,,
49508058,-76.6050924,39.3251165,,
49516027,-76.60146,39.323701,,
49516031,-76.6088522,39.3264502,,
49531271,-76.6070392,39.3274254,,
49541546,-76.6086392,39.3208982,,
49541547,-76.6086369,39.3215057,,
49542246,-76.6090367,39.3259194,,
49542249,-76.6085229,39.3279197,,
49542250,-76.6084464,39.3283259,,
49542252,-76.6084372,39.3284952,,
49547426,-76.6046535,39.3272541,,
49547430,-76.6038971,39.3269547,,
49554954,-76.6085523,39.3238164,,
49556367,-76.6056829,39.3220428,,
49556369,-76.6055717,39.3223163,,
49556702,-76.6082055,39.319048,,
49559880,-76.6045003,39.3220223,,
49561756,-76.6035742,39.3215697,,traffic_signals
49564624,-76.6045109,39.3283167,,
49564626,-76.603616,39.3283182,,traffic_signals
49569900,-76.6043049,39.3263461,,
683673450,-76.6078435,39.3196828,,
683673470,-76.6086347,39.3196807,,
860788248,-76.6086452,39.3272156,,
1266246749,-76.6063326,39.3283255,,traffic_signals
1266246758,-76.6062383,39.3278205,,
1266246780,-76.6079397,39.3269902,,
1266246798,-76.6062482,39.3283209,,traffic_signals
1266246815,-76.6062914,39.327651,,
1323164041,-76.6076395,39.3257191,,
1928068527,-76.6036368,39.3268901,,
1928068531,-76.6017867,39.3261169,,
1928068536,-76.602123,39.3262611,,
