u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49412766,49481778,0,True,residential,Arabia Avenue,93.411,,,,,,,,,,,6006000,
49412766,49484820,0,False,residential,Grindon Avenue,203.107,1,,,25 mph,,,,,,,6006416,
49476428,49555391,0,False,residential,Montebello Terrace,297.942,2,,,25 mph,,,,,,,51964896,
49481759,49484824,0,False,residential,"['Grindon Avenue', 'Arabia Avenue']",386.607,2,,,25 mph,,,,,,,"[6005993, 6006417]",
49481759,1393198946,0,False,residential,Arabia Avenue,99.278,2,,,25 mph,,,,,,,6005993,
49481778,49523368,0,False,primary,Moravia Road,199.332,2,,,25 mph,,,,,,,51061134,
49481778,49523341,0,False,primary,Moravia Road,138.527,2,,,25 mph,,,,,,,"[548174750, 51061134]",
49484820,49547287,0,True,secondary,Walther Avenue,25.971,1,,,30 mph,,,,,,,135129317,
49484820,49412766,0,False,residential,Grindon Avenue,203.107,1,,,25 mph,,,,,,,6006416,
49484824,49481759,0,False,residential,"['Grindon Avenue', 'Arabia Avenue']",386.607,2,,,25 mph,,,,,,,"[6006417, 6005993]",
49515720,49523368,0,False,primary,Moravia Road,84.287,"['4', '2']",,,25 mph,,,,,,,"[51061134, 424993022]",
49523337,49523341,0,False,primary,Moravia Road,13.633,2,,,25 mph,,,,,,,548174751,
49523341,49523337,0,False,primary,Moravia Road,13.633,2,,,25 mph,,,,,,,548174751,
49523341,49484820,0,True,secondary,Walther Avenue,115.06,1,,,30 mph,,,,,,,135129317,
49523341,49481778,0,False,primary,Moravia Road,138.527,2,,,25 mph,,,,,,,"[51061134, 548174750]",
49523368,49515720,0,False,primary,Moravia Road,84.287,"['4', '2']",,,25 mph,,,,,,,"[51061134, 424993022]",
49523368,49481778,0,False,primary,Moravia Road,199.332,2,,,25 mph,,,,,,,51061134,
49547287,49555575,0,True,secondary,Walther Avenue,107.431,1,,,30 mph,,,,,,,135129317,
49547287,49481759,0,True,residential,Beverly Road,131.293,1,,,25 mph,,,,,,,6014875,
49547287,49547293,0,False,residential,Beverly Road,13.482,2,,,25 mph,,,,,,,51964897,
49547293,49523337,0,True,secondary,Walther Avenue,129.347,1,,,30 mph,,,,,,,"[6017106, 424993023]",
49547293,49547287,0,False,residential,Beverly Road,13.482,2,,,25 mph,,,,,,,51964897,
49555391,49555575,0,False,residential,Montebello Terrace,16.261,2,,,25 mph,,,,,,,51964896,
49555391,49547293,0,True,secondary,Walther Avenue,105.323,1,,,30 mph,,,,,,,6017106,
49555391,49476428,0,False,residential,Montebello Terrace,297.942,2,,,25 mph,,,,,,,51964896,
49555575,49555391,0,False,residential,Montebello Terrace,16.261,2,,,25 mph,,,,,,,51964896,
49555575,1393198946,0,True,residential,Montebello Terrace,109.533,1,,,25 mph,,,,,,,51964895,
1393198946,49481759,0,False,residential,Arabia Avenue,99.278,2,,,25 mph,,,,,,,6005993,
