osmid,x,y,ref,highway
49475024,-76.5742085,39.3050998,,
49482495,-76.5729789,39.3051484,,
49491622,-76.5853955,39.303021,,
49491624,-76.5854342,39.3035834,,
49491628,-76.5854929,39.3046478,,traffic_signals
49494811,-76.5840244,39.303637,,
49494815,-76.5825772,39.3036925,,
49494817,-76.5811781,39.3037462,,
49494819,-76.5797669,39.3038003,,
49494821,-76.5783825,39.3038533,,
49494825,-76.577426,39.30389,,
49496424,-76.576305,39.3050168,,
49503461,-76.5783394,39.3032037,,
49503463,-76.5784541,39.3049317,,
49514305,-76.5749124,39.3050719,,
49514307,-76.5756112,39.3050442,,
49514310,-76.577016,39.3049886,,
49514311,-76.5798357,39.304877,,
49514313,-76.5812453,39.3048212,,
49514315,-76.5826437,39.3047658,,traffic_signals
49514319,-76.5840903,39.3047085,,
49521799,-76.579725,39.3031449,,
49528645,-76.576933,39.303293,,
49573642,-76.5811367,39.3030849,,
684013523,-76.5840087,39.3033813,,
