osmid,x,y,ref,highway
49396680,-76.6681102,39.2827918,,
49419681,-76.668115,39.283262,,
49429869,-76.672146,39.2924774,,
49444562,-76.6713302,39.2941196,,
49448263,-76.6722414,39.2913855,,
49448272,-76.6724686,39.2916474,,
49462180,-76.6681564,39.2859427,,
49462189,-76.6690433,39.2872183,,
49462192,-76.6699092,39.2882283,,
49469928,-76.6704185,39.2858754,,
49469929,-76.6703702,39.2849029,,
49469933,-76.6703788,39.2839176,,
49469954,-76.6700522,39.2815728,,
49474104,-76.6697905,39.2871889,,
49474105,-76.6704824,39.2871615,,
49474107,-76.6711721,39.2871342,,
49503715,-76.6689787,39.2859182,,
49503717,-76.6689288,39.2849142,,
49510561,-76.6697263,39.285896,,
49510563,-76.6711086,39.2858548,,
49512647,-76.663076,39.2809056,,
49528084,-76.6710713,39.2830445,,
49550243,-76.6710599,39.2848758,,
49566966,-76.6696773,39.2849092,,
49569864,-76.669188,39.2887746,,
610317995,-76.6722807,39.2937342,,
631312300,-76.6721443,39.2940845,,
683703980,-76.6709876,39.2817445,,
842871923,-76.6721628,39.2929121,,motorway_junction
891280597,-76.6712831,39.2871876,,
2669039229,-76.669056,39.2836399,,
5241936868,-76.672567,39.2940693,,
