u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49386640,49398555,0,True,motorway,Jones Falls Expressway,842.034,3,,,50 mph,,,,,,,70517947,I 83
49396186,49469403,0,False,residential,Brand Avenue,101.72,,,,,,,,,,,6004429,
49407474,49540624,0,True,motorway_link,,725.021,1,,,25 mph,,,yes,,,,"[5994954, 10889194, 10889196]",
49407474,780943875,0,True,primary,West Northern Parkway,151.13,3,,,35 mph,,,yes,,,,"[425000648, 188165141]",
49430148,49430162,0,True,motorway_link,,155.131,1,,,30 mph,,,yes,,,,"[11958673, 407590635]",
49431776,4890621372,0,True,primary,West Northern Parkway,11.907,3,,,35 mph,,,yes,,,,10813374,
49444146,49468710,0,False,residential,Yellowwood Avenue,18.681,,,,25 mph,,,,,,,501850752,
49444146,49489043,0,True,residential,Springarden Drive,147.899,1,,,25 mph,,,,,,,6001270,
49444146,49468674,0,False,residential,Yellowwood Avenue,576.961,2,,,25 mph,,,,,,,401700516,
49461620,49407474,0,True,primary,West Northern Parkway,387.995,3,,,35 mph,,,,,,,188165141,
49468674,49444146,0,False,residential,Yellowwood Avenue,576.961,2,,,25 mph,,,,,,,401700516,
49468674,49468756,0,False,residential,"['Tamarind Road', 'Springarden Drive']",354.283,2,,,25 mph,,,,,,,"[207528666, 501850751]",
49468710,49444146,0,False,residential,Yellowwood Avenue,18.681,,,,25 mph,,,,,,,501850752,
49468710,49468711,0,False,residential,Yellowwood Avenue,37.139,2,,,25 mph,,,,,,,6004362,
49468711,49468712,0,False,residential,Yellowwood Avenue,18.792,2,,,25 mph,,,,,,,6004362,
49468711,49468712,1,False,residential,Catalpa Court,126.582,,,,,,,,,,,6010280,
49468711,49468710,0,False,residential,Yellowwood Avenue,37.139,2,,,25 mph,,,,,,,6004362,
49468712,49468711,0,False,residential,Yellowwood Avenue,18.792,2,,,25 mph,,,,,,,6004362,
49468712,49468711,1,False,residential,Catalpa Court,126.582,,,,,,,,,,,6010280,
49468712,49468725,0,False,residential,Yellowwood Avenue,177.352,2,,,25 mph,,,,,,,6004362,
49468725,49468726,0,False,residential,Yellowwood Avenue,15.462,2,,,25 mph,,,,,,,6004362,
49468725,49468712,0,False,residential,Yellowwood Avenue,177.352,2,,,25 mph,,,,,,,6004362,
49468725,49468727,0,False,residential,Coralberry Court,110.549,,,,,,,,,,,6010970,
49468726,49468725,0,False,residential,Yellowwood Avenue,15.462,2,,,25 mph,,,,,,,6004362,
49468726,49468727,0,False,residential,Yellowwood Avenue,14.869,2,,,25 mph,,,,,,,6004362,
49468726,49484408,0,False,residential,Woodland Glen Road,129.071,,,,,,,,,,,6006360,
49468727,49468726,0,False,residential,Yellowwood Avenue,14.869,2,,,25 mph,,,,,,,6004362,
49468727,49468756,0,False,residential,Yellowwood Avenue,263.191,2,,,25 mph,,,,,,,6004362,
49468727,49468725,0,False,residential,Coralberry Court,110.549,,,,,,,,,,,6010970,
49468756,49468727,0,False,residential,Yellowwood Avenue,263.191,2,,,25 mph,,,,,,,6004362,
49468756,49468674,0,False,residential,"['Tamarind Road', 'Springarden Drive']",354.283,2,,,25 mph,,,,,,,"[207528666, 501850751]",
49468756,49484408,0,False,residential,Springarden Drive,62.858,2,,,,,,,,,,207528666,
49469403,49396186,0,False,residential,Brand Avenue,101.72,,,,,,,,,,,6004429,
49469403,49469412,0,False,residential,West Old Cold Spring Lane,103.879,,,,,,,yes,,,,"[83128402, 6014307]",
49469412,49469403,0,False,residential,West Old Cold Spring Lane,103.879,,,,,,,yes,,,,"[83128402, 6014307]",
49484408,49489043,0,False,residential,Springarden Drive,17.912,2,,,,,,,,,,207528666,
49484408,49468726,0,False,residential,Woodland Glen Road,129.071,,,,,,,,,,,6006360,
49484408,1399418992,0,False,residential,Strawflower Lane,132.07,,,,,,,,,,,6023353,
49484408,49468756,0,False,residential,Springarden Drive,62.858,2,,,,,,,,,,207528666,
49489043,49484408,0,False,residential,Springarden Drive,17.912,2,,,,,,,,,,207528666,
49489043,49468710,0,True,residential,Springarden Drive,149.535,1,,,25 mph,,,,,,,6007000,
49498326,49498672,0,False,secondary,Greenspring Avenue,15.211,3,,,25 mph,,,,,,,188165134,
49498326,2177846037,0,False,secondary,Greenspring Avenue,61.419,3,,,25 mph,,,,,,,451736777,
49498326,974324451,0,True,primary,West Northern Parkway,112.044,3,,,35 mph,,,,,,,422394272,
49498672,49498326,0,False,secondary,Greenspring Avenue,15.211,3,,,25 mph,,,,,,,188165134,
49540624,49540659,0,True,motorway,Jones Falls Expressway,693.61,3,,,50 mph,,,,,,,83204404,I 83
49540659,49430148,0,True,motorway_link,,362.897,1,,,30 mph,,,yes,,,,"[83194530, 404934219, 404934220, 5999184, 83194525]",
96109511,49540624,0,True,motorway,Jones Falls Expressway,553.047,3,,,50 mph,,,,,,,83204404,I 83
780943874,49431776,0,True,primary,West Northern Parkway,50.217,3,,,35 mph,,,yes,,,,10813374,
780943874,780943875,0,True,motorway_link,,18.605,2,,,25 mph,,,yes,,,,10813375,
974324440,974324451,0,True,primary_link,,169.878,3,,,,,,,,,,5999946,
974324440,2177846037,0,False,secondary,Greenspring Avenue,30.933,4,,,25 mph,,,,,,,"[544900513, 425193724]",
974324451,49461620,0,True,primary,West Northern Parkway,437.819,3,,,35 mph,,,,,,,422394272,
1399418992,49484408,0,False,residential,Strawflower Lane,132.07,,,,,,,,,,,6023353,
2177846034,2177846037,0,True,primary_link,,86.01,1,,,,,,,,,,207528665,
2177846034,49498326,0,True,primary,West Northern Parkway,51.273,3,,,35 mph,,,,,,,425000651,
2177846037,49498326,0,False,secondary,Greenspring Avenue,61.419,3,,,25 mph,,,,,,,451736777,
2177846037,974324440,0,False,secondary,Greenspring Avenue,30.933,4,,,25 mph,,,,,,,"[544900513, 425193724]",
4890621372,49445141,0,True,primary,West Northern Parkway,74.295,3,,,35 mph,,,,,,,"[10813368, 544569164]",
