u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49379060,49525251,0,False,primary,West North Avenue,123.307,4,,,30 mph,,,,,,,192463114,US 1;US 40 Truck
49379060,49379146,0,True,primary,Druid Hill Avenue,45.694,2,,,25 mph,,,,,,,423609256,MD 129
49379060,49525487,0,False,primary,West North Avenue,116.028,4,,,30 mph,,,,,,,"[548247332, 47984767]",US 1;US 40 Truck
49379139,49379138,0,True,primary,Druid Hill Avenue,120.556,2,,,25 mph,,,,,,,423609256,MD 129
49379139,49497569,0,False,residential,Robert Street,64.805,2,,,25 mph,,,,,,,257769016,
49379139,49497565,0,False,residential,Robert Street,90.418,2,,,25 mph,,,,,,,257769016,
49379140,49379139,0,True,primary,Druid Hill Avenue,120.714,2,,,25 mph,,,,,,,423609256,MD 129
49379140,49529322,0,False,secondary,Presstman Street,89.893,2,,,30 mph,,,,,,,73532459,
49379140,49525249,0,False,secondary,Presstman Street,65.202,2,,,30 mph,,,,,,,73532459,
49379142,49379140,0,True,primary,Druid Hill Avenue,120.836,2,,,25 mph,,,,,,,423609256,MD 129
49379142,49463801,0,False,residential,Bloom Street,90.48,2,,,25 mph,,,,,,,257769008,
49379142,49463807,0,False,residential,Bloom Street,64.467,2,,,25 mph,,,,,,,257769008,
49379144,49379142,0,True,primary,Druid Hill Avenue,120.729,2,,,25 mph,,,,,,,423609256,MD 129
49379144,49456611,0,False,residential,Gold Street,65.417,2,,,25 mph,,,,,,,6002882,
49379144,49456608,0,False,residential,Gold Street,90.583,2,,,25 mph,,,,,,,6002882,
49379146,49506723,0,False,residential,Baker Street,64.875,2,,,25 mph,,,,,,,6009288,
49379146,49379144,0,True,primary,Druid Hill Avenue,120.434,2,,,25 mph,,,,,,,423609256,MD 129
49451045,49451050,0,True,residential,Sanford Place,37.308,2,,,25 mph,,,,,,,6002192,
49451045,49506724,0,False,residential,Division Street,122.572,2,,,25 mph,,,,,,,138423561,
49451050,49525251,0,False,primary,West North Avenue,54.196,4,,,30 mph,,,,,,,192463114,US 1;US 40 Truck
49451050,49523005,0,False,primary,West North Avenue,67.314,4,,,30 mph,,,,,,,423401793,US 1;US 40 Truck
49456598,49456599,0,True,residential,Madison Avenue,8.599,2,,,25 mph,,,,,,,395191589,
49456599,49456608,0,False,residential,Gold Street,95.586,2,,,25 mph,,,,,,,6002882,
49456608,49379144,0,False,residential,Gold Street,90.583,2,,,25 mph,,,,,,,6002882,
49456608,49456599,0,False,residential,Gold Street,95.586,2,,,25 mph,,,,,,,6002882,
49456608,49525487,0,True,primary,McCulloh Street,88.593,2,,,25 mph,,,,,,,"[548247333, 11586797]",MD 129
49456611,49456613,0,False,residential,Gold Street,64.595,2,,,25 mph,,,,,,,6002882,
49456611,49379144,0,False,residential,Gold Street,65.417,2,,,25 mph,,,,,,,6002882,
49456611,49506723,0,True,residential,Etting Street,120.382,2,,,25 mph,,,,,,,391697295,
49456613,49456615,0,False,residential,Gold Street,63.607,2,,,25 mph,,,,,,,6002882,
49456613,49506724,0,False,residential,Division Street,120.511,2,,,25 mph,,,,,,,138423561,
49456613,49456611,0,False,residential,Gold Street,64.595,2,,,25 mph,,,,,,,6002882,
49456615,49456613,0,False,residential,Gold Street,63.607,2,,,25 mph,,,,,,,6002882,
49456615,49506729,0,True,residential,Brunt Street,120.553,1,,,25 mph,,,,,,,257846568,
49463801,49456608,0,True,primary,McCulloh Street,120.737,2,,,25 mph,,,,,,,11586797,MD 129
49463801,49379142,0,False,residential,Bloom Street,90.48,2,,,25 mph,,,,,,,257769008,
49463807,49456611,0,True,residential,Etting Street,120.875,2,,,25 mph,,,,,,,391697295,
49463807,49379142,0,False,residential,Bloom Street,64.467,2,,,25 mph,,,,,,,257769008,
49463811,49456615,0,True,residential,Brunt Street,120.697,1,,,25 mph,,,,,,,257846568,
49497565,49529322,0,True,primary,McCulloh Street,120.353,2,,,25 mph,,,,,,,11586797,MD 129
49497565,49379139,0,False,residential,Robert Street,90.418,2,,,25 mph,,,,,,,257769016,
49497569,49525249,0,True,residential,Etting Street,121.232,1,,,25 mph,,,,,,,257846571,
49497569,49379139,0,False,residential,Robert Street,64.805,2,,,25 mph,,,,,,,257769016,
49506723,49506724,0,False,residential,Baker Street,66.038,2,,,25 mph,,,,,,,6009288,
49506723,49525251,0,True,residential,Etting Street,115.685,2,,,25 mph,,,,,,,391697295,
49506723,49379146,0,False,residential,Baker Street,64.875,2,,,25 mph,,,,,,,6009288,
49506724,49506729,0,False,residential,Baker Street,63.281,2,,,25 mph,,,,,,,6009288,
49506724,49506723,0,False,residential,Baker Street,66.038,2,,,25 mph,,,,,,,6009288,
