u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49456649,49456650,0,False,primary,West Lombard Street,25.598,5,,,30 mph,,,,,,,130576348,
49456650,49456649,0,False,primary,West Lombard Street,25.598,5,,,30 mph,,,,,,,130576348,
49456655,49456660,0,False,primary,West Lombard Street,129.209,2,,,30 mph,,,,,,,127010720,
49456660,49456664,0,False,primary,West Lombard Street,126.045,2,,,30 mph,,,,,,,127010720,
49456660,49456655,0,False,primary,West Lombard Street,129.209,2,,,30 mph,,,,,,,127010720,
49456660,49536130,0,False,residential,Parkin Street,112.216,2,,,,,,,,,,"[331602568, 6013121]",
49456664,49456668,0,False,primary,West Lombard Street,69.929,2,,,30 mph,,,,,,,127010720,
49456664,49560527,0,False,residential,South Poppleton Street,111.667,2,,,25 mph,,,,,,,6020597,
49456664,49456660,0,False,primary,West Lombard Street,126.045,2,,,30 mph,,,,,,,127010720,
49456668,49528005,0,False,residential,South Amity Street,30.973,1,,,,,,,,,,126141419,
49456668,49456670,0,False,primary,West Lombard Street,70.99,2,,,30 mph,,,,,,,127010720,
49456668,49456664,0,False,primary,West Lombard Street,69.929,2,,,30 mph,,,,,,,127010720,
49456670,49456668,0,False,primary,West Lombard Street,70.99,2,,,30 mph,,,,,,,127010720,
49456670,49482675,0,False,residential,South Schroeder Street,111.548,2,,,25 mph,,,,,,,6006087,
49456670,49456674,0,False,primary,West Lombard Street,130.779,2,,,30 mph,,,,,,,127010720,
49456674,49527988,0,False,residential,South Arlington Avenue,80.08,2,,,25 mph,,,,,,,6017340,
49456674,49456678,0,False,primary,West Lombard Street,124.761,2,,,30 mph,,,,,,,127010720,
49456674,49456670,0,False,primary,West Lombard Street,130.779,2,,,30 mph,,,,,,,127010720,
49456678,49466106,0,True,residential,South Carrollton Avenue,69.847,2,,,25 mph,,,,,,,6004027,
49456678,49456674,0,False,primary,West Lombard Street,124.761,2,,,30 mph,,,,,,,127010720,
49463717,49483301,0,False,residential,"['South Fremont Avenue', 'Booth Street']",161.046,2,,,,,,,,,,"[6003757, 6006157]",
49463717,49510592,0,False,secondary,West Baltimore Street,279.53,2,,,30 mph,,,,,,,49664168,
49463717,49502062,0,False,secondary,West Baltimore Street,75.204,2,,,30 mph,,,,,,,49664168,
49466101,49466103,0,True,residential,South Carrollton Avenue,110.648,2,,,25 mph,,,,,,,6004027,
49466101,49510598,0,False,secondary,West Baltimore Street,124.265,2,,,30 mph,,,,,,,188783438,
49466103,49466105,0,True,residential,South Carrollton Avenue,29.814,2,,,25 mph,,,,,,,6004027,
49466105,49456678,0,True,residential,South Carrollton Avenue,80.002,2,,,25 mph,,,,,,,6004027,
49466105,49527988,0,True,residential,Boyd Street,124.29,,,,,,,,,,,6011879,
49482670,49510598,0,False,secondary,West Baltimore Street,130.468,2,,,30 mph,,,,,,,498401534,
49482670,49482675,0,False,residential,South Schroeder Street,111.057,2,,,25 mph,,,,,,,6006087,
49482670,49510594,0,False,secondary,West Baltimore Street,71.405,2,,,30 mph,,,,,,,188783440,
49482675,49456670,0,False,residential,South Schroeder Street,111.548,2,,,25 mph,,,,,,,6006087,
49482675,49482670,0,False,residential,South Schroeder Street,111.057,2,,,25 mph,,,,,,,6006087,
49482675,49556436,0,False,residential,Hollins Street,130.705,,,,,,,,,,,495066062,
49483301,49463717,0,False,residential,"['South Fremont Avenue', 'Booth Street']",161.046,2,,,,,,,,,,"[6003757, 6006157]",
49483307,49510594,0,False,residential,South Amity Street,55.122,1,,,,,,,,,,6017491,
49502062,49463717,0,False,secondary,West Baltimore Street,75.204,2,,,30 mph,,,,,,,49664168,
49502062,49456650,0,True,trunk,South Martin Luther King Jr. Boulevard,218.856,4,,,35 mph,,,,,,,"[425002427, 6008443]",
49510592,49510594,0,False,secondary,West Baltimore Street,69.565,2,,,30 mph,,,,,,,188783440,
49510592,49560527,0,False,residential,South Poppleton Street,109.762,2,,,25 mph,,,,,,,6020597,
