u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49390297,49529771,0,False,residential,Churchwarden's Road,42.147,,,,,,,,,,,6021884,
49390297,5007221248,0,False,residential,Churchwarden's Road,255.738,,,,,,,,,,,6021884,
49390297,49390312,0,False,residential,Saint Albans Way,297.263,,,,,,,,,,,6022695,
49390297,1291306736,0,False,residential,Saint Albans Way,63.053,,,,,,,,,,,6022695,
49390312,49529780,0,False,residential,East Melrose Avenue,118.67,,,,,,,,,,,6018589,
49390312,49559996,0,False,residential,East Melrose Avenue,70.094,,,,,,,,,,,6018589,
49390312,49390297,0,False,residential,Saint Albans Way,297.263,,,,,,,,,,,6022695,
49404454,49404459,0,True,residential,,58.987,,,,,,,,,,,5994552,
49404454,49549664,0,True,residential,Springlake Way,37.089,,,,,,,,,,,290679606,
49404459,49474301,0,False,residential,Saint Dunstans Road,44.981,,,,,,,,,,,6023081,
49404459,49549664,0,True,residential,Saint Dunstans Road,44.202,,,,,,,,,,,290679607,
49418547,49474290,0,False,residential,Purlington Way,98.55,,,,,,,,,,,6005162,
49418547,49474290,1,False,residential,"['Purlington Way', 'Upnor Road']",113.947,,,,,,,,,,,"[6005152, 6013514]",
49418547,49538201,0,False,residential,Upnor Road,206.277,,,,,,,,,,,6013514,
49421769,49474917,0,True,primary,East Northern Parkway,74.913,2,,,,,,,,,,"[424995261, 6020327]",
49421769,49549702,0,False,primary,East Northern Parkway,103.524,4,,,30 mph,,,,,,,546701462,
49432396,49474932,0,False,residential,East Melrose Avenue,169.673,,,,,,,,,,,6018589,
49432396,49474360,0,False,residential,East Melrose Avenue,17.287,,,,,,,,,,,6018589,
49453853,49404454,0,True,residential,Springlake Way,19.077,,,,,,,,,,,290679606,
49453854,49453853,0,True,residential,,24.201,,,,,,,,,,,6002558,
49453854,49549677,0,True,residential,Springlake Way,42.138,,,,,,,,,,,6015673,
49459641,49459657,0,False,residential,Croydon Road,382.722,,,,,,,,,,,6003213,
49459641,49522388,0,False,primary,East Northern Parkway,119.208,"['5', '6']",,,30 mph,,,,,,,"[424989377, 425167827]",
49459641,49567628,0,False,primary,East Northern Parkway,289.997,"['4', '5']",,,30 mph,,,,,,,"[89183688, 548452919]",
49459657,49459641,0,False,residential,Croydon Road,382.722,,,,,,,,,,,6003213,
49459657,49567628,0,False,residential,Saint Albans Way,122.962,,,,,,,,,,,6022695,
49459657,49488877,0,False,residential,Saint Albans Way,128.971,,,,,,,,,,,6022695,
49459658,49474912,0,False,tertiary,Bellona Avenue,158.312,2,,,,,,,,,,513592827,
49459658,49474903,0,False,tertiary,Bellona Avenue,61.468,2,,,,,,,,,,513592827,
49460539,49488847,0,False,residential,Cotswold Road,226.328,,,,,,,,,,,6017878,
49460539,49526177,0,False,residential,Cotswold Road,257.298,,,,,,,,,,,6017886,
49462138,49462365,0,False,primary,York Road,41.135,4,,,30 mph,,,,,,,424995303,MD 45
