u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49382449,49456470,0,False,unclassified,Mason Lord Drive,419.871,,,,,,,,,,,197879531,
49382449,49546755,0,False,unclassified,Mason Lord Drive,60.415,,,,,,,,,,,197879533,
49384771,49384831,0,True,secondary,Kane Street,38.954,2,,,25 mph,,,,,,,6005836,
49384787,49384838,0,True,secondary,East Lombard Street,58.89,2,,,40 mph,,,,,,,49667337,
49384831,49402644,0,True,secondary,Kane Street,243.862,2,,,25 mph,,,,,,,"[6005836, 547945309]",
49384838,49384831,0,True,secondary_link,,38.542,1,,,,,,,,,,5992466,
49384838,49384771,0,True,secondary,East Lombard Street,38.078,2,,,40 mph,,,,,,,49667337,
49386884,49546767,0,True,primary,Eastern Avenue,21.311,3,,,35 mph,,,,,,,197879523,MD 150
49386884,49546762,0,True,secondary,Bayview Boulevard,35.401,2,,,25 mph,,,,,,,197879507,
49400459,49402644,0,False,secondary,Kane Street,368.883,"['2', '3']",,,25 mph,,,,,,,"[75889163, 547945306, 547945307]",
49402644,49400459,0,False,secondary,Kane Street,368.883,"['3', '2']",,,25 mph,,,,,,,"[547945307, 547945306, 75889163]",
49416314,49456470,0,False,unclassified,,79.978,,,,,,,,,,,5996397,
49430645,49570187,0,True,primary,East Lombard Street,15.014,3,,,40 mph,,,,,,,202622183,
49430645,49456105,0,True,secondary,Bayview Boulevard,271.408,2,,,25 mph,,,,,,,"[197879504, 197879508, 202622181]",
49438672,1284970624,0,True,unclassified,Hopkins Bayview Circle,12.001,,,,,,,,,,,113272707,
49438672,631263284,0,True,secondary,Bayview Boulevard,191.84,2,,,25 mph,,,,,,,197879504,
49447731,49436112,0,True,primary,Eastern Avenue,15.261,3,,,25 mph,,,,,,,197879522,MD 150
49447731,1284970653,0,True,unclassified,Cassell Drive,78.109,2,,,,,,,,,,197879514,
49456105,49438672,0,True,secondary,Bayview Boulevard,13.236,2,,,25 mph,,,,,,,197879504,
49456470,49416314,0,False,unclassified,,79.978,,,,,,,,,,,5996397,
49456470,49382449,0,False,unclassified,Mason Lord Drive,419.871,,,,,,,,,,,197879531,
49456470,631263638,0,False,residential,Nathan Shock Drive,121.931,2,,,25 mph,,,,,,,340548947,
49546755,631263284,0,False,unclassified,Mason Lord Drive,19.401,,,,,,,,,,,197879532,
49546755,1284970624,0,True,secondary,Bayview Boulevard,190.808,2,,,25 mph,,,,,,,197879503,
49546755,49382449,0,False,unclassified,Mason Lord Drive,60.415,,,,,,,,,,,197879533,
49546762,631263421,0,True,secondary,Bayview Boulevard,58.331,3,,,25 mph,,,,,,,"[197879505, 424994503]",
49546767,49558756,0,True,primary,Eastern Avenue,151.375,3,,,35 mph,,,,,,,197879526,MD 150
49557024,4243472295,0,True,primary,Eastern Avenue,107.524,3,,,35 mph,,,,,,,"[202622184, 548247387]",MD 150
49557024,5563631508,0,False,residential,Anglesea Street,100.566,2,,,40,,,,,,,581483164,
49558754,49447731,0,True,primary,Eastern Avenue,55.85,3,,,35 mph,,,,,,,197879526,MD 150
49558756,49558754,0,True,primary,Eastern Avenue,84.72,3,,,35 mph,,,,,,,197879526,MD 150
631239338,49430645,0,True,primary,East Lombard Street,114.773,"['4', '3']",,,40 mph,,,,,,,"[88778585, 547776306]",
631263284,49546755,0,False,unclassified,Mason Lord Drive,19.401,,,,,,,,,,,197879532,
631263284,1284970653,0,False,unclassified,Mason Lord Drive,308.087,,,,,,,,,,,49652631,
631263284,49546767,0,True,secondary,Bayview Boulevard,125.084,3,,,25 mph,,,,,,,197879512,
631263421,49382449,0,True,secondary_link,,75.524,1,,,,,,,,,,49652642,
631263421,49546755,0,True,secondary,Bayview Boulevard,38.909,3,,,25 mph,,,,,,,197879510,
631263638,49456470,0,False,residential,Nathan Shock Drive,121.931,2,,,25 mph,,,,,,,340548947,
