osmid,x,y,ref,highway
49386371,-76.5731974,39.2995076,,
49386374,-76.5745428,39.2994528,,
49453121,-76.576404,39.301204,,
49453123,-76.576456,39.302061,,
49475010,-76.5739079,39.3002407,,
49481078,-76.5802425,39.2999947,,
49481080,-76.5803145,39.3010523,,
49481082,-76.5803726,39.3019161,,
49482482,-76.572858,39.3002811,,traffic_signals
49488628,-76.5788341,39.3000517,,
49488630,-76.5789049,39.3011039,,
49488631,-76.5789597,39.3019691,,
49496420,-76.5760262,39.3001636,,
49496421,-76.5760706,39.3009081,,
49497004,-76.5809475,39.2999648,,
49497006,-76.5795363,39.3000211,,traffic_signals
49497009,-76.578135,39.3000821,,
49497010,-76.5774369,39.3001122,,
49497012,-76.5767165,39.3001385,,traffic_signals
49503458,-76.578202,39.3011343,,
49503459,-76.5782591,39.3019943,,
49507643,-76.5774993,39.3011615,,
49507644,-76.5775582,39.3020202,,
49521796,-76.579593,39.3010802,,
49521797,-76.5796482,39.3019429,,
49528639,-76.5767886,39.3011891,,
49528641,-76.5768475,39.3020465,,
49544215,-76.575262,39.299426,,
