u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49460466,49460475,0,False,residential,Southern Avenue,102.804,,,,25 mph,,,,,,,390932396,
49460475,49460466,0,False,residential,Southern Avenue,102.804,,,,25 mph,,,,,,,390932396,
49460475,49460487,0,True,residential,Southern Avenue,99.911,,,,25 mph,,,,,,,390932397,
49525904,49560562,0,False,residential,"['Prospect Avenue', 'College Avenue']",259.252,,,,,,,,,,,"[6011533, 6023199]",
49525904,49560561,0,False,residential,Montebello Terrace,177.492,,,,25 mph,,,,,,,6022601,
49525904,49560561,1,False,residential,"['Ivy Avenue', 'Montebello Terrace', 'Overland Avenue']",712.342,,,,25 mph,,,,,,,"[6022601, 6018412, 6010125]",
49560561,49560562,0,False,residential,Overland Avenue,65.675,,,,,,,,,,,6018412,
49560561,49525904,0,False,residential,"['Ivy Avenue', 'Montebello Terrace', 'Overland Avenue']",712.342,,,,25 mph,,,,,,,"[6022601, 6018412, 6010125]",
49560561,49525904,1,False,residential,Montebello Terrace,177.492,,,,25 mph,,,,,,,6022601,
49560562,49560561,0,False,residential,Overland Avenue,65.675,,,,,,,,,,,6018412,
49560562,49525904,0,False,residential,"['Prospect Avenue', 'College Avenue']",259.252,,,,,,,,,,,"[6011533, 6023199]",
