u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49436190,49464670,0,True,residential,Sayer Avenue,120.059,1,,,,,,,,,,6013623,
49464667,49464670,0,False,tertiary,North Beechfield Avenue,79.869,2,,,25 mph,,,,,,,6003924,
49464667,49493909,0,False,tertiary,South Beechfield Avenue,78.183,2,,,25 mph,,,,,,,6011362,
49464667,49525629,0,True,residential,Dunkirk Avenue,143.803,1,,,,,,,,,,6023189,
49464670,49464690,0,False,tertiary,North Beechfield Avenue,169.567,2,,,25 mph,,,,,,,6003924,
49464670,49464667,0,False,tertiary,North Beechfield Avenue,79.869,2,,,25 mph,,,,,,,6003924,
49464690,49464670,0,False,tertiary,North Beechfield Avenue,169.567,2,,,25 mph,,,,,,,6003924,
49493909,49515735,0,False,tertiary,South Beechfield Avenue,75.467,2,,,25 mph,,,,,,,6011362,
49493909,49464667,0,False,tertiary,South Beechfield Avenue,78.183,2,,,25 mph,,,,,,,6011362,
49493910,49525629,0,True,residential,South Tremont Road,76.392,2,,,,,,,,,,6022916,
49493910,49493909,0,True,residential,Dartford Avenue,154.991,1,,,,,,,,,,6007563,
49515735,49515736,0,True,residential,Amberley Avenue,160.368,1,,,,,,,,,,6010430,
49515735,49493909,0,False,tertiary,South Beechfield Avenue,75.467,2,,,25 mph,,,,,,,6011362,
49515736,49493910,0,True,residential,South Tremont Road,76.471,2,,,,,,,,,,6022916,
49525629,49436190,0,True,residential,North Tremont Road,78.106,2,,,,,,,,,,6011497,
