u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49456009,49508441,0,True,residential,Stoneyford Road,72.65,,,,25 mph,,,,,,,6021755,
49456009,5243585183,0,False,residential,Stoney Run Lane,163.645,,,,,,,,,,,6002808,
49458230,49458231,0,True,residential,Cloverhill Road,314.797,,,,,,,,,,,6003047,
49458230,1323154080,0,False,tertiary,West 39th Street,29.495,2,,,25 mph,,,,,,,6007006,
49458230,49489117,0,False,tertiary,West 39th Street,136.873,2,,,25 mph,,,,,,,6007006,
49458231,49495164,0,False,residential,"['Canterbury Road', 'West Highfield Road']",145.636,,,,,,,,,,,"[6007760, 6023107]",
49458231,49496689,0,False,residential,West Highfield Road,135.537,,,,,,,,,,,6007760,
49463353,49522303,0,False,residential,"['East Bishops Road', 'Saint Martins Road']",545.186,2,,,25 mph,,,,,,,"[117438314, 6003670]",
49463353,49522303,1,False,primary,North Charles Street,122.456,4,,,25 mph,,,,,,,47991184,MD 139
49463353,49489117,0,False,primary,North Charles Street,110.351,4,,,25 mph,,,,,,,47991184,MD 139
49475347,49496689,0,False,primary,North Charles Street,42.743,4,,,25 mph,,,,,,,47991184,MD 139
49485508,49485513,0,False,residential,Ridgemede Road,30.3,,,,,,,,,,,541825898,
49485508,49485513,1,False,residential,Ridgemede Road,41.631,,,,,,,,,,,542655241,
49485508,5238995218,0,False,residential,Ridgemede Road,47.139,,,,,,,,,,,541825898,
49485513,49485522,0,False,residential,Ridgemede Road,83.72,,,,,,,,,,,541825898,
49485513,49485508,0,False,residential,Ridgemede Road,30.3,,,,,,,,,,,541825898,
49485513,49485508,1,False,residential,Ridgemede Road,41.631,,,,,,,,,,,542655241,
49485522,49495212,0,False,residential,Linkwood Road,126.482,2,,,25 mph,,,,,,,117440763,
49485522,49508441,0,False,residential,Linkwood Road,317.676,2,,,25 mph,,,,,,,117440763,
49485522,49485513,0,False,residential,Ridgemede Road,83.72,,,,,,,,,,,541825898,
49489114,1323073930,0,True,secondary,West University Parkway,30.562,3,,,30 mph,,,,,,,132609924,
49489117,49458230,0,False,tertiary,West 39th Street,136.873,2,,,25 mph,,,,,,,6007006,
49489117,49522308,0,False,primary,North Charles Street,201.235,4,,,25 mph,,,,,,,47991184,MD 139
49489117,49463353,0,False,primary,North Charles Street,110.351,4,,,25 mph,,,,,,,47991184,MD 139
49495164,49458231,0,False,residential,"['Canterbury Road', 'West Highfield Road']",145.636,,,,,,,,,,,"[6007760, 6023107]",
49495164,4957472160,0,False,residential,Canterbury Road,222.241,,,,,,,,,,,6023107,
49495164,49495172,0,False,residential,Tuscany Road,194.203,,,,,,,,,,,541825899,
49495172,5243585182,0,True,residential,Stoneyford Road,112.049,,,,25 mph,,,,,,,6021755,
49495172,49495194,0,False,residential,Tuscany Road,130.901,,,,,,,,,,,541825899,
49495172,49495164,0,False,residential,Tuscany Road,194.203,,,,,,,,,,,541825899,
49495194,5238995219,0,False,residential,Tuscany Road,30.075,,,,,,,,,,,541825899,
49495194,49495172,0,False,residential,Tuscany Road,130.901,,,,,,,,,,,541825899,
49495212,1323033870,0,False,residential,Tuscany Road,95.342,,,,,,,,,,,541825899,
49495212,49485522,0,False,residential,Linkwood Road,126.482,2,,,25 mph,,,,,,,117440763,
49496689,49475347,0,False,primary,North Charles Street,42.743,4,,,25 mph,,,,,,,47991184,MD 139
49496689,49522310,0,False,primary,North Charles Street,11.035,4,,,25 mph,,,,,,,47991184,MD 139
49496689,49458231,0,False,residential,West Highfield Road,135.537,,,,,,,,,,,6007760,
49508441,49485522,0,False,residential,Linkwood Road,317.676,2,,,25 mph,,,,,,,117440763,
49508441,1323073930,0,False,residential,Linkwood Road,131.948,2,,,25 mph,,,,,,,117440763,
49514859,49522303,0,False,residential,West Bishops Road,93.908,2,,,25 mph,yes,,,,,,6017473,
49522303,49514859,0,False,residential,West Bishops Road,93.908,2,,,25 mph,yes,,,,,,6017473,
49522303,49463353,0,False,primary,North Charles Street,122.456,4,,,25 mph,,,,,,,47991184,MD 139
49522303,49463353,1,False,residential,"['East Bishops Road', 'Saint Martins Road']",545.186,2,,,25 mph,,,,,,,"[117438314, 6003670]",
49522308,49522310,0,False,primary,North Charles Street,105.783,4,,,25 mph,,,,,,,47991184,MD 139
49522308,49489117,0,False,primary,North Charles Street,201.235,4,,,25 mph,,,,,,,47991184,MD 139
49522310,49496689,0,False,primary,North Charles Street,11.035,4,,,25 mph,,,,,,,47991184,MD 139
49522310,49522308,0,False,primary,North Charles Street,105.783,4,,,25 mph,,,,,,,47991184,MD 139
49522311,49475347,0,True,secondary,North Charles Street,76.341,1,,,25 mph,,,,,,,47991183,
49522316,49522311,0,True,secondary,North Charles Street,100.898,1,,,25 mph,,,,,,,47991183,
49522324,49537799,0,False,residential,Warrenton Road,77.118,,,,,,,,,,,6020565,
