osmid,x,y,ref,highway
49378369,-76.6831035,39.3412033,,traffic_signals
49378379,-76.6850538,39.3416577,,traffic_signals
49378385,-76.6870597,39.3421164,,
49378395,-76.6893603,39.342713,,traffic_signals
49378401,-76.691686,39.34273,,
49378405,-76.6921635,39.3427443,,
49378538,-76.683009,39.3413016,,traffic_signals
49437147,-76.6939604,39.3376435,,
49449260,-76.6840974,39.3407615,,
49449266,-76.6836553,39.3405688,,traffic_signals
49451246,-76.6930908,39.3366306,,
49452242,-76.6854467,39.339744,,
49454580,-76.6964092,39.3397089,,
49460382,-76.6951976,39.3386792,,
49469769,-76.6893603,39.3366336,,
49469771,-76.6893559,39.3376683,,
49469773,-76.6893621,39.3386948,,
49469774,-76.6893621,39.339724,,
49469779,-76.6893665,39.3407532,,
49469780,-76.6893665,39.3417728,,
49488804,-76.6870492,39.3397268,,
49488809,-76.6916751,39.3397141,,
49488814,-76.6930899,39.3397141,,
49488816,-76.6939751,39.3397089,,
49488819,-76.6960831,39.339712,,
49488844,-76.6843859,39.3397306,,
49490456,-76.6833047,39.3409704,,
49490482,-76.6939815,39.3417603,,
49490485,-76.6916802,39.3417583,,
49490488,-76.6870518,39.3417748,,
49491981,-76.6960894,39.340746,,
49506011,-76.6834751,39.3407792,,
49506029,-76.6846877,39.3393582,,
49506277,-76.6847453,39.3366354,,
49506283,-76.6847344,39.3376824,,
49506286,-76.6847319,39.3387224,,
49509171,-76.6870357,39.3376658,,
49509174,-76.6916697,39.3376541,,
49509176,-76.6930819,39.3376531,,
49522188,-76.6939759,39.3386844,,
49522191,-76.6939813,39.340748,,
49522196,-76.693976,39.3427571,,
49526456,-76.6854561,39.3407563,,
49538670,-76.6930819,39.3386903,,
49546621,-76.6870377,39.3366343,,
49548683,-76.6870439,39.3387051,,
49548693,-76.6870483,39.340758,,
49554884,-76.6916778,39.3407502,,
49560404,-76.6947235,39.3427567,,
49561911,-76.6916737,39.3386872,,
860728037,-76.6851879,39.3415467,,
2136825597,-76.6940958,39.3376438,,
