u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49379984,49379989,0,False,residential,Willow Avenue,67.57,,,,,,,,,,,5991999,
49379984,49456490,0,False,residential,Willow Avenue,53.497,,,,,,,,,,,6003142,
49379987,49379989,0,False,residential,Willow Avenue,36.294,,,,,,,,,,,5991999,
49379989,49379987,0,False,residential,Willow Avenue,36.294,,,,,,,,,,,5991999,
49379989,49379984,0,False,residential,Willow Avenue,67.57,,,,,,,,,,,5991999,
49379989,49462681,0,False,residential,Ivanhoe Avenue,108.427,2,,,,,,,,,,6003517,
49412732,49412733,0,False,residential,East 43rd Street,17.911,,,,25 mph,,,,,,,6007777,
49412732,49515577,0,False,residential,Saint Georges Avenue,288.107,2,,,,,,,,,,6012178,
49412733,49496876,0,False,residential,East 43rd Street,75.843,,,,,,,,,,,6007773,
49412733,49412732,0,False,residential,East 43rd Street,17.911,,,,25 mph,,,,,,,6007777,
49456485,49456489,0,False,residential,Willow Avenue,63.353,,,,,,,,,,,6003142,
49456485,49515552,0,True,residential,Old York Road,144.835,2,,,25 mph,,,,,,,6014140,
49456489,49492501,0,True,residential,Alhambra Avenue,168.789,1,,,,,,,,,,6007402,
49456489,49456490,0,False,residential,Willow Avenue,69.692,,,,,,,,,,,6003142,
49456489,49456485,0,False,residential,Willow Avenue,63.353,,,,,,,,,,,6003142,
49456490,49379984,0,False,residential,Willow Avenue,53.497,,,,,,,,,,,6003142,
49456490,49456489,0,False,residential,Willow Avenue,69.692,,,,,,,,,,,6003142,
49456490,49459183,0,False,residential,Wrenwood Avenue,193.926,2,,,,,,,,,,6003144,
49459183,49492501,0,False,primary,East Cold Spring Lane,67.735,4,,,25 mph,,,,,,,66418406,
49459183,49459202,0,False,primary,East Cold Spring Lane,30.518,4,,,25 mph,,,,,,,66418406,
49459183,49456490,0,False,residential,Wrenwood Avenue,193.926,2,,,,,,,,,,6003144,
49459202,49459183,0,False,primary,East Cold Spring Lane,30.518,4,,,25 mph,,,,,,,66418406,
49459202,49462682,0,False,primary,East Cold Spring Lane,90.411,4,,,25 mph,,,,,,,66418406,
49462681,49462682,0,False,residential,Ivanhoe Avenue,78.663,2,,,,,,,,,,6003517,
49462681,49379989,0,False,residential,Ivanhoe Avenue,108.427,2,,,,,,,,,,6003517,
49462681,49531324,0,False,residential,Wilbert Avenue,95.937,,,,,,,,,,,6012325,
49462682,49462681,0,False,residential,Ivanhoe Avenue,78.663,2,,,,,,,,,,6003517,
49462682,49459202,0,False,primary,East Cold Spring Lane,90.411,4,,,25 mph,,,,,,,66418406,
49462682,49513282,0,False,primary,East Cold Spring Lane,66.171,4,,,25 mph,,,,,,,66418406,
49490369,49456485,0,True,residential,Old York Road,85.896,2,,,25 mph,,,,,,,6014140,
49492501,49459183,0,False,primary,East Cold Spring Lane,67.735,4,,,25 mph,,,,,,,66418406,
49492501,49515552,0,False,primary,East Cold Spring Lane,61.406,4,,,25 mph,,,,,,,66418406,
49496876,49496879,0,False,residential,East 43rd Street,86.022,,,,,,,,,,,6007773,
49496876,49412733,0,False,residential,East 43rd Street,75.843,,,,,,,,,,,6007773,
49496879,49496876,0,False,residential,East 43rd Street,86.022,,,,,,,,,,,6007773,
49496879,804636217,0,False,residential,East 43rd Street,95.864,,,,,,,,,,,6007773,
49513282,49462682,0,False,primary,East Cold Spring Lane,66.171,4,,,25 mph,,,,,,,66418406,
49513282,49515577,0,False,primary,East Cold Spring Lane,137.551,4,,,25 mph,,,,,,,66418406,
49515552,49492501,0,False,primary,East Cold Spring Lane,61.406,4,,,25 mph,,,,,,,66418406,
49515577,49515580,0,False,primary,East Cold Spring Lane,82.35,4,,,25 mph,,,,,,,66418406,
49515577,49412732,0,False,residential,Saint Georges Avenue,288.107,2,,,,,,,,,,6012178,
49515577,49513282,0,False,primary,East Cold Spring Lane,137.551,4,,,25 mph,,,,,,,66418406,
49515580,49496876,0,True,residential,Craddock Avenue,244.647,2,,,25 mph,,,,,,,6020895,
49515580,49515577,0,False,primary,East Cold Spring Lane,82.35,4,,,25 mph,,,,,,,66418406,
49515580,49515584,0,False,primary,East Cold Spring Lane,168.338,"['4', '5']",,,25 mph,,,,,,,"[424993732, 66418406]",
49515584,49515580,0,False,primary,East Cold Spring Lane,168.338,"['4', '5']",,,25 mph,,,,,,,"[424993732, 66418406]",
49515584,804636214,0,False,secondary,The Alameda,97.536,"['4', '5']",,,30 mph,,,,,,,"[66418401, 424993735]",
49526510,5280783609,0,True,residential,Old York Road,6.165,2,,,25 mph,,,,,,,6014140,
49526513,5280783609,0,False,residential,Oakland Avenue,63.393,,,,,,,,,,,540216265,
49531324,49462681,0,False,residential,Wilbert Avenue,95.937,,,,,,,,,,,6012325,
804636214,804636217,0,True,secondary,The Alameda,62.431,2,,,30 mph,,,,,,,6013722,
804636214,49515584,0,False,secondary,The Alameda,97.536,"['4', '5']",,,30 mph,,,,,,,"[66418401, 424993735]",
804636217,49496879,0,False,residential,East 43rd Street,95.864,,,,,,,,,,,6007773,
5280783609,49490369,0,True,residential,Old York Road,60.877,2,,,25 mph,,,,,,,6014140,
5280783609,49526513,0,False,residential,Oakland Avenue,63.393,,,,,,,,,,,540216265,
