osmid,x,y,ref,highway
49475938,-76.6918965,39.2779053,,
49475942,-76.692685,39.2766544,,
49478178,-76.6876344,39.2758633,,
49478191,-76.6899224,39.2766076,,
49478213,-76.6909966,39.2775492,,
49504743,-76.6914512,39.2760709,,
49504757,-76.6920952,39.2739115,,
49504769,-76.6919421,39.2726937,,
49524671,-76.6937915,39.2787566,,
49524694,-76.6944902,39.2777278,,
49525931,-76.6894527,39.2753416,,
49525938,-76.6908571,39.2740185,,
49525959,-76.6909161,39.2730249,,
49536970,-76.6886832,39.2748594,,
49536977,-76.6902831,39.2757709,,
49546345,-76.6910776,39.2743386,,
49560738,-76.6862477,39.2775814,,
