osmid,x,y,ref,highway
182138456,-78.7516342,39.6574495,,
182138457,-78.751551,39.6574505,,
182138461,-78.7514813,39.6564851,,
182138463,-78.7514451,39.6559482,,
182138465,-78.7514116,39.6555022,,
182138468,-78.7513552,39.6548032,,
182145804,-78.7575901,39.649531,43C,motorway_junction
182157095,-78.7585822,39.6557768,,
182157765,-78.7517308,39.6535446,44,motorway_junction
182157770,-78.7486127,39.6560216,,
182174427,-78.7616903,39.6561832,,
182176247,-78.7596853,39.6585862,,
182177887,-78.7592481,39.6580081,,
182180683,-78.7598259,39.6565853,,
182180693,-78.7602065,39.6561114,,
182180696,-78.7608052,39.6550459,,
182198808,-78.7613604,39.656687,,
182209462,-78.7523141,39.6555363,,
182209465,-78.7523329,39.6558409,,
182214013,-78.752585,39.6549384,,
182215876,-78.7509347,39.654485,,
182215879,-78.7490607,39.6567392,,
182220403,-78.7495676,39.6574475,,
182223355,-78.7583531,39.6524917,,
182229776,-78.7555755,39.6503687,,
182234584,-78.7605576,39.6569507,,
182236630,-78.7522953,39.6548476,,
182236638,-78.7519815,39.6574464,,
182236648,-78.7523745,39.6565708,,
182236855,-78.7593353,39.6540014,,
182236858,-78.7583453,39.6548995,,
182236862,-78.7579205,39.6552848,,
182237400,-78.7637702,39.656447,,
182240819,-78.7584456,39.6523499,,
182240823,-78.758164,39.6524108,,
182240824,-78.7569289,39.6527071,,
182240825,-78.7566003,39.6527856,,
182240826,-78.7564273,39.6528331,,
182240832,-78.7551653,39.6534155,,
182242432,-78.756666,39.6544687,,
182248356,-78.7599893,39.6544965,,
182248361,-78.7590518,39.6553659,,
182249194,-78.7575059,39.6516175,,
182249197,-78.7566118,39.6518382,,
182249199,-78.7562386,39.6519307,,
182249421,-78.7554952,39.6544449,,
182251280,-78.7504379,39.6565295,,
182251285,-78.7495903,39.6565058,,
182252635,-78.7605919,39.6559493,,
182252643,-78.7599388,39.6564614,,
182267046,-78.755223,39.6551708,,
182271268,-78.7605552,39.6548765,,
182271272,-78.7596076,39.6557397,,
182271274,-78.7591552,39.6561493,,
182271277,-78.75865,39.656609,,
182271734,-78.7587857,39.6534256,,
182271738,-78.7576793,39.654453,,
182272834,-78.7579843,39.652957,,
182272840,-78.7589767,39.6535456,,
182272851,-78.7613794,39.6553869,,
182272854,-78.7619705,39.6556468,,
182281833,-78.7579012,39.6507205,,
182281842,-78.7582752,39.651899,,
182283254,-78.7558372,39.6509198,,
182295950,-78.7568524,39.6522621,,
182295958,-78.7563468,39.6511191,,
182298245,-78.7581659,39.6563654,,
182298251,-78.7578802,39.6566989,,
182305824,-78.7578247,39.6520184,,
182305827,-78.7571931,39.6509105,,
182305830,-78.7569436,39.6501825,,
182311976,-78.7556663,39.6504995,,
182312009,-78.7537303,39.6511449,,
182312827,-78.755854,39.6498933,,
182316677,-78.760828,39.6564562,,
182326048,-78.7570536,39.654035,,
182336195,-78.7610412,39.6560319,,
182343269,-78.7559566,39.6511697,,
182350624,-78.7543741,39.6543881,,
182352261,-78.7585596,39.652609,,
182366292,-78.7557876,39.6512172,,
182373068,-78.7531184,39.6564016,,
700561969,-78.7606617,39.6563922,,
700562304,-78.7582646,39.6526462,,
1364117092,-78.758054,39.6531429,,
1364117093,-78.7577912,39.6531769,,
1364117094,-78.758616,39.6533318,,
1438243328,-78.7588238,39.6532451,,
1906101039,-78.7558037,39.6498189,43D,motorway_junction
1906101042,-78.7551173,39.6501453,,
1906101044,-78.7547853,39.6504575,43D,motorway_junction
4311518429,-78.7570063,39.649538,,
4311518471,-78.7539757,39.6538512,,
4311518480,-78.7529096,39.6540795,,
4311518481,-78.753898,39.6541651,,
4311518485,-78.7532158,39.6543177,,
4311520501,-78.7529839,39.6548811,,
4311776074,-78.7609889,39.6574015,,
4396845609,-78.7589159,39.6534262,,
4610498759,-78.7566805,39.655058,,
5236800270,-78.7600961,39.6569124,,
