u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
49168815,49255808,0,False,tertiary,Barbara Road,78.193,,,,,,,,,,,5982184,
49168815,49297609,0,False,tertiary,Barbara Road,78.834,,,,,,,,,,,5982184,
49168815,49168827,0,False,residential,Conger Street,236.624,,,,,,,,,,,5968272,
49168827,49232927,0,False,residential,Weller Road,79.108,,,,,,,,,,,370526810,
49168827,49232924,0,False,residential,Weller Road,78.034,,,,,,,,,,,370526810,
49168827,49168815,0,False,residential,Conger Street,236.624,,,,,,,,,,,5968272,
49174988,49174992,0,False,residential,Foley Street,76.257,,,,,,,,,,,5968874,
49174988,49326443,0,False,residential,Brightview Street,90.909,,,,,,,,,,,5991117,
49174988,49257939,0,False,residential,Brightview Street,196.928,,,,,,,,,,,5991117,
49174992,49174996,0,False,residential,Foley Street,144.147,,,,,,,,,,,5968874,
49174992,49174988,0,False,residential,Foley Street,76.257,,,,,,,,,,,5968874,
49174992,49257940,0,False,residential,Carey Street,109.517,,,,,,,,,,,554248650,
49174996,49174992,0,False,residential,Foley Street,144.147,,,,,,,,,,,5968874,
49174996,49196060,0,False,residential,Delano Street,220.139,,,,,,,,,,,5970834,
49174996,49196045,0,False,residential,Delano Street,95.946,,,,,,,,,,,5970834,
49176064,582374725,0,False,residential,Kelsey Street,11.208,,,,,,,,,,,5968998,
49176064,49246587,0,True,primary,Connecticut Avenue,79.089,3,,,,,,,,,,535535193,MD 185
49176066,582374725,0,False,residential,Kelsey Street,221.248,,,,,,,,,,,5968998,
49176066,49211248,0,False,residential,Neola Road,81.66,,,,,,,,,,,5972324,
49176066,49211257,0,False,residential,Neola Road,111.35,,,,,,,,,,,5972324,
49181992,49181994,0,False,residential,Downer Drive,77.415,,,,,,,,,,,5969574,
49181992,49273865,0,False,tertiary,Colie Drive,83.689,,,,,,,,,,,5979186,
49181992,1193761479,0,False,tertiary,Colie Drive,122.398,,,,,,,,,,,5979186,
49181994,49181995,0,False,residential,Downer Drive,79.272,,,,,,,,,,,5969574,
49181994,49181992,0,False,residential,Downer Drive,77.415,,,,,,,,,,,5969574,
49181994,49222111,0,False,residential,Ilford Road,309.677,,,,,,,,,,,5973541,
49181995,49181997,0,False,residential,Downer Drive,79.155,,,,,,,,,,,5969574,
49181995,49181994,0,False,residential,Downer Drive,79.272,,,,,,,,,,,5969574,
49181995,49223735,0,False,residential,Minden Road,311.572,,,,,,,,,,,5973691,
49181997,49181995,0,False,residential,Downer Drive,79.155,,,,,,,,,,,5969574,
49181997,49255803,0,False,residential,Elby Street,72.061,,,,,,,,,,,5977286,
49181997,49255808,0,False,residential,Elby Street,81.601,,,,,,,,,,,5977286,
49185196,49185211,0,False,residential,Joliet Street,354.281,,,,,,,,,,,5969814,
49185196,49221389,0,False,residential,Atherton Drive,96.455,,,,,,,,,,,535467115,
49185196,49221379,0,False,residential,Atherton Drive,166.986,,,,,,,,,,,535467115,
49185211,49185196,0,False,residential,Joliet Street,354.281,,,,,,,,,,,5969814,
49185211,49186760,0,False,residential,Bushey Drive,97.657,,,,,,,,,,,5991262,
49185211,49317542,0,False,residential,Bushey Drive,94.559,,,,,,,,,,,5991262,
49186760,49186762,0,False,residential,Fogel Lane,92.071,,,,,,,,,,,5969965,
49186760,49313249,0,False,residential,Bushey Drive,95.461,,,,,,,,,,,5991262,
49186760,49185211,0,False,residential,Bushey Drive,97.657,,,,,,,,,,,5991262,
49186762,49186768,0,False,residential,Fogel Lane,129.505,,,,,,,,,,,5969965,
49186762,49186760,0,False,residential,Fogel Lane,92.071,,,,,,,,,,,5969965,
49186762,49314433,0,False,residential,Laclede Street,111.84,,,,,,,,,,,5984328,
49186768,49186762,0,False,residential,Fogel Lane,129.505,,,,,,,,,,,5969965,
49186768,49313249,0,False,residential,Littleton Street,179.755,,,,,,,,,,,5984192,
49186768,49257321,0,False,residential,Littleton Street,144.974,,,,,,,,,,,5984192,
49191504,49191507,0,False,residential,Gannon Road,156.938,,,,,,,,,,,5970464,
49191504,49221351,0,False,residential,Atherton Drive,120.628,,,,,,,,,,,76381061,
49191504,900915290,0,False,residential,Atherton Drive,98.867,,,,,,,,,,,76381061,
49191507,49191511,0,False,residential,Gannon Road,53.662,,,,,,,,,,,5970464,
49191507,49191504,0,False,residential,Gannon Road,156.938,,,,,,,,,,,5970464,
49191507,49358098,0,False,residential,Bushey Drive,253.967,,,,,,,,,,,5991262,
49191507,900915449,0,False,residential,Bushey Drive,93.299,,,,,,,,,,,5991262,
49191511,49191507,0,False,residential,Gannon Road,53.662,,,,,,,,,,,5970464,
49196045,49257940,0,True,primary,Connecticut Avenue,169.933,3,,,,,,,,,,535535193,MD 185
49196045,49174996,0,False,residential,Delano Street,95.946,,,,,,,,,,,5970834,
49196060,49174996,0,False,residential,Delano Street,220.139,,,,,,,,,,,5970834,
49196060,49221356,0,False,residential,Atherton Drive,137.263,,,,,,,,,,,76381061,
49196060,49221351,0,False,residential,Atherton Drive,59.527,,,,,,,,,,,76381061,
49206517,49221366,0,False,residential,Atherton Drive,131.495,,,,,,,,,,,535467115,
49206517,49221364,0,False,residential,Atherton Drive,82.121,,,,,,,,,,,535467115,
49206517,49206527,0,False,residential,Elby Court,104.972,,,,,,,,,,,5971818,
49206527,49206517,0,False,residential,Elby Court,104.972,,,,,,,,,,,5971818,
49211240,49226435,0,False,residential,Jeffry Street,83.824,,,,,,,,,,,5983332,
49211240,49211248,0,False,residential,Neola Road,96.066,,,,,,,,,,,5972324,
49211240,49221389,0,False,residential,Jeffry Street,98.417,,,,,,,,,,,5983332,
49211248,49176066,0,False,residential,Neola Road,81.66,,,,,,,,,,,5972324,
49211248,49211240,0,False,residential,Neola Road,96.066,,,,,,,,,,,5972324,
49211248,49246587,0,False,residential,Kayson Street,210.877,,,,,,,,,,,535535194,
49211257,49226442,0,False,residential,Littleton Street,103.188,,,,,,,,,,,5984192,
49211257,49176066,0,False,residential,Neola Road,111.35,,,,,,,,,,,5972324,
49211257,582374725,0,False,residential,Littleton Street,313.77,,,,,,,,,,,5984192,
49221351,49233861,0,False,residential,Atherton Court,40.962,,,,,,,,,,,5974683,
49221351,49326443,0,False,residential,Brightview Street,81.117,,,,,,,,,,,5991117,
49221351,49196060,0,False,residential,Atherton Drive,59.527,,,,,,,,,,,76381061,
49221351,49191504,0,False,residential,Atherton Drive,120.628,,,,,,,,,,,76381061,
49221356,1193761440,0,False,residential,Atherton Drive,14.033,,,,,,,,,,,535576203,
49221356,49196060,0,False,residential,Atherton Drive,137.263,,,,,,,,,,,76381061,
49221356,49257941,0,True,secondary,Randolph Road,278.877,,,,,,,,,,,535576194,
49221361,49255225,0,False,residential,Everton Street,86.715,,,,,,,,,,,103375936,
49221361,49221364,0,False,residential,Atherton Drive,153.839,,,,,,,,,,,535467115,
49221361,1193761440,0,False,residential,Atherton Drive,109.086,,,,,,,,,,,535467115,
49221364,49255792,0,False,residential,Elby Street,81.398,,,,,,,,,,,5977286,
49221364,49206517,0,False,residential,Atherton Drive,82.121,,,,,,,,,,,535467115,
49221364,49221361,0,False,residential,Atherton Drive,153.839,,,,,,,,,,,535467115,
49221364,49255796,0,False,residential,Elby Street,96.0,,,,,,,,,,,5977286,
49221366,49279997,0,False,residential,Greenly Drive,80.977,,,,,,,,,,,5979965,
49221366,49206517,0,False,residential,Atherton Drive,131.495,,,,,,,,,,,535467115,
49221366,49279990,0,False,residential,Greenly Drive,221.068,,,,,,,,,,,5979965,
49221366,49221372,0,False,residential,Atherton Drive,106.277,,,,,,,,,,,535467115,
49221372,49232888,0,False,residential,Weller Road,84.454,,,,,,,,,,,370526810,
49221372,49232906,0,False,residential,Weller Road,299.842,,,,,,,,,,,370526810,
49221372,49221376,0,False,residential,Atherton Drive,92.454,,,,,,,,,,,535467115,
49221372,49221366,0,False,residential,Atherton Drive,106.277,,,,,,,,,,,535467115,
49221376,49221379,0,False,residential,Atherton Drive,82.828,,,,,,,,,,,535467115,
49221376,49283117,0,False,tertiary,Havard Street,244.235,,,,25 mph,,,,,,,5982041,
49221376,49221372,0,False,residential,Atherton Drive,92.454,,,,,,,,,,,535467115,
49221379,49317520,0,False,residential,Isbell Street,80.891,,,,,,,,,,,5984842,
49221379,49221376,0,False,residential,Atherton Drive,82.828,,,,,,,,,,,535467115,
49221379,49283130,0,False,residential,Isbell Street,347.045,,,,,,,,,,,5984842,
49221379,49185196,0,False,residential,Atherton Drive,166.986,,,,,,,,,,,535467115,
49221389,49211240,0,False,residential,Jeffry Street,98.417,,,,,,,,,,,5983332,
49221389,49305759,0,False,residential,Jeffry Street,89.366,,,,,,,,,,,5983332,
49221389,49221399,0,False,residential,Atherton Drive,170.787,,,,,,,,,,,535467115,
49221389,49185196,0,False,residential,Atherton Drive,96.455,,,,,,,,,,,535467115,
49221399,49257965,0,True,primary,Connecticut Avenue,156.828,3,,,,,,,,,,535535193,MD 185
49221399,49221389,0,False,residential,Atherton Drive,170.787,,,,,,,,,,,535467115,
49222111,49181994,0,False,residential,Ilford Road,309.677,,,,,,,,,,,5973541,
49222111,49223735,0,False,residential,Bushey Drive,80.019,,,,,,,,,,,5991262,
49222111,1193761429,0,False,residential,Bushey Drive,94.902,,,,,,,,,,,5991262,
49223735,49181995,0,False,residential,Minden Road,311.572,,,,,,,,,,,5973691,
49223735,49255796,0,False,residential,Bushey Drive,83.95,,,,,,,,,,,5991262,
49223735,49222111,0,False,residential,Bushey Drive,80.019,,,,,,,,,,,5991262,
49226435,49211240,0,False,residential,Jeffry Street,83.824,,,,,,,,,,,5983332,
49226435,49226442,0,False,residential,Moray Road,255.788,,,,,,,,,,,5973924,
