osmid,x,y,ref,highway
183096615,-76.059395,38.712342,,
183105353,-76.026138,38.750464,,
183107530,-76.0519931,38.7494957,,
183123374,-76.035336,38.732736,,
183128580,-76.065909,38.7482128,,
183131560,-76.0597589,38.7723018,,
183152668,-76.008434,38.749339,,
183164516,-76.053372,38.753007,,
183178622,-76.064198,38.728836,,
183183291,-76.048563,38.741021,,
183188695,-76.0568406,38.752276,,turning_circle
183197397,-76.0523364,38.751188,,turning_circle
183213305,-76.017386,38.744622,,
183258227,-76.0690954,38.7369227,,
183273339,-76.0601702,38.772031,,
183275997,-76.061051,38.762293,,
183276014,-76.0608507,38.7620393,,
183276036,-76.059501,38.7617705,,turning_circle
183284371,-76.060318,38.772102,,
183292385,-76.0611653,38.7619315,,
183296650,-76.066047,38.722024,,
183340082,-76.026411,38.750267,,
183340781,-76.0532764,38.754052,,
183340902,-76.056762,38.756482,,
183342690,-76.0559464,38.7488418,,
183342965,-76.0562941,38.753121,,
183352645,-76.053195,38.7497619,,
183352767,-76.062217,38.744269,,
183352813,-76.064234,38.743132,,
183355784,-76.060789,38.763671,,traffic_signals
183356411,-76.064253,38.712489,,
183356416,-76.064435,38.713458,,
183356444,-76.065743,38.719698,,
183356454,-76.066219,38.721994,,
183356478,-76.06733,38.727383,,traffic_signals
183356548,-76.068894,38.735,,
183356729,-76.066677,38.746027,,
183356797,-76.0651566,38.7504094,,
183356850,-76.0638344,38.7542356,,
183356910,-76.0620083,38.7595596,,traffic_signals
183356991,-76.0601974,38.7671224,,
183357001,-76.0602084,38.767954,,
183357025,-76.060189,38.7690504,,
183357040,-76.060183,38.770083,,
183358459,-76.065951,38.719862,,
183358484,-76.067537,38.727467,,traffic_signals
183358511,-76.069173,38.734968,,
183358581,-76.066847,38.746062,,
183361200,-76.0602577,38.7519664,,
183361208,-76.0590655,38.7517936,,
183361237,-76.0578075,38.7510839,,turning_circle
183361859,-76.063201,38.744772,,
183362765,-76.037705,38.733528,,
183362768,-76.036866,38.733483,,
183362778,-76.037576,38.732628,,
183365072,-76.064445,38.721663,,
183365085,-76.065007,38.722342,,
183365591,-76.0577288,38.7719165,,
183365609,-76.0532317,38.7710686,,traffic_signals
183365951,-76.029077,38.757505,,
183365959,-76.0294096,38.757454,,
183365978,-76.0495439,38.7507037,,
183371730,-76.032492,38.75459,,
183373546,-76.0533702,38.7521837,,
183373553,-76.0542526,38.7514955,,
183373608,-76.0567635,38.7497625,,
183373644,-76.0559211,38.7507758,,turning_circle
183374415,-76.0576011,38.7494231,,
183374557,-76.040528,38.702869,,
183374594,-76.049747,38.710166,,
183374658,-76.05682,38.717746,,
183374672,-76.05798,38.718838,,
183374804,-76.066541,38.72702,,
183376423,-76.0512178,38.7524645,,
183376454,-76.0526373,38.7517129,,
183376914,-76.038552,38.7405,,
183376930,-76.041369,38.742134,,
183377068,-76.052662,38.75364,,
183377121,-76.058501,38.75773,,
183377746,-76.041658,38.719385,,
183377787,-76.036792,38.726546,,
183381871,-76.028574,38.758918,,
183381884,-76.028937,38.75711,,
183383157,-76.0546822,38.7526637,,
183383197,-76.0565484,38.7514771,,turning_circle
183383726,-76.034334,38.711645,,
183386340,-76.055556,38.719709,,
183388276,-76.0553931,38.7652128,,
183388283,-76.0562072,38.7653853,,
183388346,-76.0592908,38.7669055,,
183391290,-76.063379,38.712459,,
183401860,-76.030508,38.759332,,
183405600,-76.052509,38.7662,,
183405711,-76.056763,38.7667528,,
183406274,-76.028549,38.762894,,
183406953,-76.054357,38.719873,,
183408153,-76.058409,38.752433,,turning_circle
183411898,-76.0605001,38.7511623,,
183411956,-76.0568913,38.748353,,
183420202,-76.0595912,38.7529488,,
183420204,-76.0598744,38.7531637,,turning_circle
183423534,-76.030964,38.764159,,
183424171,-76.062625,38.742046,,
183424181,-76.061575,38.743732,,
183426018,-76.0594895,38.7569359,,turning_circle
