u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
182147417,182147443,0,False,residential,Manoe Court,500.038,,,,,,,,,,,17595945,
182147417,182368977,0,False,residential,Park Chesapeake Drive,582.649,,,,,,,,,,,17618031,
182147417,182394028,0,False,residential,Park Chesapeake Drive,411.607,,,,,,,,,,,17618031,
182147443,182147417,0,False,residential,Manoe Court,500.038,,,,,,,,,,,17595945,
182147452,182147470,0,False,residential,Hatteras Lane,145.054,,,,,,,,,,,17595949,
182147452,182467919,0,False,residential,Cove Lake Road,69.435,,,,,,,,,,,17622844,
182147452,182467813,0,False,residential,Cove Lake Road,692.166,,,,,,,,,,,17622844,
182147470,182147481,0,False,residential,Hatteras Lane,132.431,,,,,,,,,,,17595949,
182147470,182147452,0,False,residential,Hatteras Lane,145.054,,,,,,,,,,,17595949,
182147470,182415107,0,False,residential,Hatteras Court,252.077,,,,,,,,,,,17619432,
182147481,182147470,0,False,residential,Hatteras Lane,132.431,,,,,,,,,,,17595949,
182147487,182147490,0,False,residential,Cascade Lane,28.335,,,,,,,,,,,17595951,
182147487,182444497,0,False,residential,Cascade Trail,24.768,,,,,,,,,,,17621581,
182147487,182415559,0,False,residential,Cascade Trail,54.328,,,,,,,,,,,17621581,
182147490,182147487,0,False,residential,Cascade Lane,28.335,,,,,,,,,,,17595951,
182147747,182147762,0,False,residential,Leason Cove Drive,198.59,,,,,,,,,,,17595978,
182147762,182286611,0,False,residential,,33.621,,,,,,,,,,,17609926,
182147762,182147794,0,False,residential,Leason Cove Drive,343.621,,,,,,,,,,,17595978,
182147762,182147747,0,False,residential,Leason Cove Drive,198.59,,,,,,,,,,,17595978,
182147762,182147818,0,False,residential,Mill Creek Drive,546.868,,,,,,,,,,,17619491,
182147794,182347840,0,False,residential,Cove Drive,48.899,,,,,,,,,,,17614951,
182147794,182147818,0,False,residential,Leason Cove Drive,201.436,,,,,,,,,,,17595978,
182147794,182147762,0,False,residential,Leason Cove Drive,343.621,,,,,,,,,,,17595978,
182147818,182147794,0,False,residential,Leason Cove Drive,201.436,,,,,,,,,,,17595978,
182147818,182412562,0,False,residential,Mill Creek Drive,340.091,,,,,,,,,,,17619491,
182147818,182147762,0,False,residential,Mill Creek Drive,546.868,,,,,,,,,,,17619491,
182148115,182148129,0,False,residential,Tamarac Trail,119.058,,,,,,,,,,,17596006,
182148115,182318226,0,False,residential,Brians Way,437.732,,,,,,,,,,,17624958,
182148115,182200231,0,False,residential,Brians Way,415.182,,,,,,,,,,,17624958,
182148129,182148115,0,False,residential,Tamarac Trail,119.058,,,,,,,,,,,17596006,
182148140,182148143,0,False,residential,Coronado Court,70.289,,,,,,,,,,,17596007,
182148140,182365010,0,False,residential,Running Fox Road,115.213,,,,,,,,,,,17618853,
182148140,182406135,0,False,residential,Running Fox Road,56.727,,,,,,,,,,,17618853,
182148140,182359272,0,False,residential,Ventura Trail,181.63,,,,,,,,,,,17615649,
182148143,182148140,0,False,residential,Coronado Court,70.289,,,,,,,,,,,17596007,
182153292,182153294,0,False,residential,Bowie Trail,170.228,,,,,,,,,,,17596432,
182153292,182355684,0,False,tertiary,Thunderbird Drive,63.351,,,,,,,,,,,17623817,
182153292,182465472,0,False,tertiary,Thunderbird Drive,295.21,,,,,,,,,,,17623817,
182153294,182153295,0,False,residential,Bowie Trail,33.222,,,,,,,,,,,17596432,
182153294,182153292,0,False,residential,Bowie Trail,170.228,,,,,,,,,,,17596432,
182153294,182412670,0,False,residential,Bowie Court,88.059,,,,,,,,,,,17619303,
182153295,182153294,0,False,residential,Bowie Trail,33.222,,,,,,,,,,,17596432,
182154101,182249854,0,False,residential,,29.028,,,,,,,,,,,17607112,
182154101,182154110,0,False,residential,,60.169,,,,,,,,,,,17596520,
182154101,182364928,0,False,residential,Three Houses Road,214.167,,,,,,,,,,,17616079,
182154101,182375627,0,False,residential,Store Road,129.312,,,,,,,,,,,17616856,
182154110,182154101,0,False,residential,,60.169,,,,,,,,,,,17596520,
182154110,182364928,0,False,residential,Church Road,85.977,,,,,,,,,,,17619463,
182154110,182332768,0,False,tertiary,Olivet Road,96.052,2,,,,,,,,,,17620637,
182154110,182249854,0,False,tertiary,Olivet Road,66.515,2,,,,,,,,,,17620637,
182154476,182154525,0,False,residential,,298.064,,,,,,,,,,,17596561,
182154476,182368977,0,False,residential,Park Chesapeake Drive,743.938,,,,,,,,,,,17618031,
182154476,182479865,0,False,residential,Little Neck Lane,204.961,,,,,,,,,,,17623517,
