osmid,x,y,ref,highway
50159721,-76.993589,38.679964,,
50159723,-76.9942534,38.6799155,,turning_circle
50165232,-76.998242,38.682005,,
50165251,-76.9966306,38.6833199,,
50184611,-77.02057,38.67748,,
50184612,-77.02044,38.677479,,
50184616,-77.019225,38.677454,,
50189896,-76.979426,38.68422,,
50193760,-77.006856,38.675351,,
50193790,-77.0042219,38.6772311,,
50197914,-76.9990608,38.655276,,traffic_signals
50197915,-76.999229,38.655148,,traffic_signals
50200513,-77.014203,38.671608,,
50200544,-77.013939,38.67379,,
50200549,-77.013966,38.674156,,
50200559,-77.014036,38.675463,,
50200573,-77.014015,38.676347,,
50200580,-77.013874,38.676597,,
50200590,-77.013537,38.677278,,
50200595,-77.013135,38.67815,,
50200603,-77.012916,38.678617,,
50201141,-76.996197,38.685759,,
50204486,-77.023338,38.647577,,
50204496,-77.024507,38.647436,,
50204511,-77.025238,38.647289,,
50204528,-77.025928,38.647648,,
50206349,-77.02332,38.647196,,
50206367,-77.02615,38.6471,,
50206416,-77.023369,38.648346,,
50206419,-77.022117,38.648334,,
50206437,-77.021733,38.648889,,
50206499,-77.022167,38.648755,,
50206551,-77.028174,38.657226,,
50206553,-77.028492,38.657179,,
50206557,-77.029057,38.657083,,
50207690,-77.028508,38.65698,,
50207703,-77.015948,38.675988,,turning_circle
50220299,-77.051094,38.632376,,
50220310,-77.050728,38.632091,,
50220407,-77.04527,38.636379,,
50220417,-77.046161,38.635744,,
50220444,-77.048177,38.63414,,
50220565,-77.042125,38.643951,,
50220585,-77.041643,38.642856,,
50220592,-77.041953,38.642739,,
50227838,-77.030827,38.66796,,
50227887,-77.031488,38.66755,,
50231401,-77.018574,38.680045,,
50231420,-77.017631,38.679291,,
50231425,-77.017277,38.679007,,
50231437,-77.016166,38.678866,,
50232935,-77.0063576,38.6613993,,
50238937,-77.05483,38.635009,,
50238938,-77.054616,38.635169,,
50239011,-77.041008,38.642493,,
50239013,-77.041199,38.642301,,
50239017,-77.053898,38.635685,,
50239018,-77.053934,38.635785,,
50239020,-77.053986,38.635933,,
50239023,-77.053259,38.635997,,
50239029,-77.050984,38.637207,,
50239097,-77.054879,38.63542,,
50239099,-77.055206,38.635308,,
50241814,-77.013256,38.6764,,
50244022,-77.010896,38.670135,,
50244035,-77.010914,38.6707857,,
50254307,-77.022809,38.651633,,
50254372,-77.022674,38.65098,,
50254384,-77.022593,38.65123,,
50255983,-77.020583,38.672201,,
50265280,-77.04463,38.635575,,
50269672,-77.005382,38.680516,,
50269689,-77.005214,38.680825,,
50269706,-77.005681,38.680671,,
50269721,-77.005031,38.68058,,
50269784,-77.005533,38.677896,,
50269794,-77.005805,38.678149,,
50269798,-77.005259,38.678089,,
50269805,-77.005509,38.677923,,
50272656,-77.021363,38.669235,,
50272668,-77.021309,38.669071,,
50272775,-77.0237123,38.6705707,,
50272782,-77.0232076,38.6688914,,
50272783,-77.0229453,38.667622,,
50274874,-77.022276,38.676557,,
50274887,-77.022126,38.676465,,
50277262,-77.015027,38.674177,,
50277263,-77.015124,38.67418,,
50284363,-77.0057721,38.66956,,
50284366,-77.0057459,38.6701962,,
50286395,-77.0136045,38.6706858,,
50286401,-77.013407,38.6712937,,
50286420,-77.014151,38.677588,,
50286612,-77.012691,38.675129,,
50286662,-77.012556,38.673444,,
