osmid,x,y,ref,highway
212379640,-76.021923,43.810305,,
212379654,-76.020681,43.810947,,
212381482,-76.024451,43.803934,,
212381502,-76.025837,43.804701,,
212385817,-76.032176,43.810586,,
212385863,-76.0342945,43.8114641,41,motorway_junction
212394468,-76.032149,43.816907,,
212394498,-76.032071,43.810572,,
212395544,-76.033538,43.808133,,
212395548,-76.033689,43.808533,,
212410430,-76.0129932,43.8158094,,
212410434,-76.0139213,43.8135033,,
212414996,-76.024193,43.805572,,
212415002,-76.0241397,43.8048148,,
212422598,-76.0366205,43.8117231,,
212422675,-76.034391,43.812259,,
212425334,-76.036717,43.811753,,
212427547,-76.028155,43.809541,,
212427549,-76.028203,43.80933,,
212434926,-76.020671,43.810581,,
212434927,-76.019288,43.810597,,
212436304,-76.01941,43.817236,,
212440314,-76.019751,43.806565,,
212440319,-76.020854,43.806869,,
212440344,-76.024538,43.807768,,
212470151,-76.021116,43.805241,,
212472810,-76.011391,43.810383,,
212493634,-76.018934,43.819952,,
212493652,-76.019387,43.814928,,
212493658,-76.019327,43.812152,,
212493661,-76.019256,43.809294,,
212500011,-76.020664,43.810398,,
212500013,-76.020613,43.809284,,
212502342,-76.024015,43.809289,,
212502344,-76.023648,43.809264,,
212502347,-76.019173,43.809295,,
212502355,-76.014491,43.809502,,
212507208,-76.025056,43.810883,,
212507217,-76.02635,43.811083,,
212507223,-76.027721,43.811298,,
212520667,-76.027332,43.809796,,
212520683,-76.028559,43.809797,,
212524715,-76.024344,43.806438,,
212530731,-76.024227,43.80871,,
212536364,-76.012175,43.813178,,
212536367,-76.012492,43.812211,,
212548088,-76.025894,43.813179,,
212548090,-76.026657,43.809686,,
212554253,-76.023545,43.814931,,
212554276,-76.023147,43.811527,,
212554283,-76.023503,43.810509,,
212563572,-76.023769,43.808586,,
212573544,-76.029854,43.812878,,
212573550,-76.03036,43.810298,,
212574315,-76.024582,43.813047,,
212585773,-76.019315,43.80771,,
212615811,-76.018811,43.807579,,
212615977,-76.01062,43.812907,,
212619805,-76.0111509,43.8164509,,
212630363,-76.028116,43.810697,,
212647137,-76.027379,43.813963,,
4346128673,-76.0144691,43.8135587,,
4346128686,-76.0226995,43.804874,,
4346128687,-76.0238519,43.8048259,,
