u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
261773097,823472081,0,False,residential,Beaver Hollow Lane,205.588,,,,,,,,,,,24168799,
261773097,823471673,0,False,tertiary,Cherry Lane,719.748,,,,,,,,,,,24171557,CR 85
261773097,261782715,0,False,tertiary,Cherry Lane,346.572,,,,,,,,,,,24171557,CR 85
261773097,823472057,0,False,residential,South Lorna Lane,162.645,,,,,,,,,,,24173936,
261773496,261773498,0,False,residential,North Augur Drive,150.268,,,,,,,,,,,24168870,
261773496,261783769,0,False,residential,Fairview Terrace,94.366,,,,,,,,,,,24170828,
261773496,261783297,0,False,residential,Augur Road,199.538,,,,,,,,,,,24170321,
261773498,261773496,0,False,residential,North Augur Drive,150.268,,,,,,,,,,,24168870,
261773498,261783769,0,False,residential,Fairview Terrace,232.055,,,,,,,,,,,24170829,
261773765,824437055,0,False,residential,Abbey Road,151.704,,,,,,,,,,,24168913,
261773765,261790750,0,False,primary,Nyack Turnpike,38.281,,,,,,,,,,,531434470,NY 59
261773765,824437272,0,False,residential,Tallman Place,183.127,,,,,,,,,,,68570278,
261773765,261788324,0,False,primary,Nyack Turnpike,205.676,,,,,,,,,,,531434470,NY 59
261775903,823476659,0,False,residential,Post Lane North,252.973,,,,,,,,,,,24169233,
261776211,261776214,0,False,residential,South Amundsen Lane,406.356,,,,,,,,,,,24169274,
261776211,4509188435,0,False,residential,North Amundsen Lane,298.759,,,,,,,,,,,24170415,
261776211,261783297,0,False,residential,Larch Court,181.685,,,,,,,,,,,24173798,
261776214,261776215,0,False,residential,South Amundsen Lane,136.468,,,,,,,,,,,24169274,
261776214,261776211,0,False,residential,South Amundsen Lane,406.356,,,,,,,,,,,24169274,
261776214,4509164475,0,False,residential,Litchult Court,247.066,,,,,,,,,,,24173910,
261776215,261776214,0,False,residential,South Amundsen Lane,136.468,,,,,,,,,,,24169274,
261776215,261776216,0,False,residential,South Amundsen Lane,128.784,,,,,,,,,,,24169274,
261776215,4509164453,0,False,residential,Margo Court,254.834,,,,,,,,,,,24174880,
261776216,261799685,0,False,tertiary,South Airmont Road,40.585,,,,,,,,,,,24175865,CR 89
261776216,261807324,0,False,tertiary,South Airmont Road,119.826,,,,,,,,,,,24175865,CR 89
261776216,261776215,0,False,residential,South Amundsen Lane,128.784,,,,,,,,,,,24169274,
261777391,261777393,0,False,residential,Chelmsford Court,76.29,,,,,,,,,,,24169440,
261777391,261815200,0,False,tertiary,New County Road,93.069,,,,,,,,,,,24176918,CR 81
261777391,824017115,0,False,residential,Sobrisco Street,73.446,,,,,,,,,,,24173768,
261777391,261789880,0,False,tertiary,New County Road,363.048,,,,,,,,,,,24176918,CR 81
261777393,261777391,0,False,residential,Chelmsford Court,76.29,,,,,,,,,,,24169440,
261777620,444089458,0,False,secondary,Saddle River Road,33.397,,,,30 mph,,,,,,,32215317,CR 73
261777620,824019472,0,False,residential,Long Meadow Drive,218.18,,,,,,,,,,,24169459,
261777858,261787565,0,False,residential,Kent Road,122.699,,,,,,,,,,,24171027,
261777858,4509099682,0,False,residential,Kelly Court,178.52,,,,,,,,,,,24169478,
261777858,4509156851,0,False,residential,Kent Road,173.143,,,,,,,,,,,24171027,
261778544,823934178,0,False,residential,Gayle Court,68.187,,,,,,,,,,,24169610,
261778548,261803114,0,False,residential,Marjorie Drive,136.099,,,,,,,,,,,24175803,
261778548,261778550,0,False,residential,Potter Lane,351.146,,,,,,,,,,,24169611,
261778548,261804732,0,False,residential,Marjorie Drive,303.848,,,,,,,,,,,24175803,
261778550,261778548,0,False,residential,Potter Lane,351.146,,,,,,,,,,,24169611,
261778550,823924102,0,False,residential,Smith Hill Road,129.191,,,,,,,,,,,62214678,
261778550,261782744,0,False,residential,Smith Hill Road,118.351,,,,,,,,,,,62214678,
261780552,823467761,0,False,residential,Lorna Lane,506.905,,,,,,,,,,,24170173,
261780552,823475211,0,False,residential,Lorna Lane,341.144,,,,,,,,,,,24170173,
261780552,823476041,0,False,residential,Victoria Drive,125.413,,,,,,,,,,,24173499,
261780790,261780792,0,False,residential,Appleland Road,123.033,,,,,,,,,,,24169940,
261780790,824013892,0,False,residential,Appleland Road,209.405,,,,,,,,,,,24169940,
261780790,824013785,0,False,residential,Farmer Lane,190.992,,,,,,,,,,,24173596,
261780792,261780790,0,False,residential,Appleland Road,123.033,,,,,,,,,,,24169940,
261780792,261805931,0,False,tertiary,New County Road,82.398,,,,,,,,,,,24176918,CR 81
261780792,261802742,0,False,tertiary,New County Road,226.029,,,,,,,,,,,24176918,CR 81
261782148,823475211,0,False,residential,Lorna Lane,461.717,,,,,,,,,,,24170173,
261782148,823470460,0,False,tertiary,Smith Hill Road,312.362,,,,,,,,,,,24170229,
261782148,823470597,0,False,tertiary,Smith Hill Road,194.319,,,,,,,,,,,24170229,
261782148,823471725,0,False,residential,South Lorna Lane,193.73,,,,,,,,,,,24173936,
261782715,261782717,0,False,tertiary,Smith Hill Road,171.968,,,,,,,,,,,24170228,
261782715,261773097,0,False,tertiary,Cherry Lane,346.572,,,,,,,,,,,24171557,CR 85
261782715,823475221,0,False,tertiary,Cherry Lane,186.071,,,,,,,,,,,24171557,CR 85
261782715,261802746,0,False,tertiary,Christmas Hill Road,489.841,,,,,,,,,,,48571301,
261782717,261782715,0,False,tertiary,Smith Hill Road,171.968,,,,,,,,,,,24170228,
261782717,823470453,0,False,tertiary,Smith Hill Road,258.859,,,,,,,,,,,"[24170228, 24170229]",
261782717,4509099716,0,False,residential,Carpenter Court,185.261,,,,,,,,,,,24176790,
261782736,469531302,0,False,tertiary,Smith Hill Road,82.987,,,,,,,,,,,24170229,
261782736,823470460,0,False,tertiary,Smith Hill Road,164.159,,,,,,,,,,,24170229,
261782736,4509164454,0,False,residential,Sumter Road,243.341,,,,,,,,,,,24173284,
261782738,469531302,0,False,tertiary,Smith Hill Road,62.674,,,,,,,,,,,24170229,
261782738,261782742,0,False,tertiary,Smith Hill Road,193.919,,,,,,,,,,,24170229,
261782738,4509156851,0,False,residential,Eros Drive,441.482,,,,,,,,,,,24170598,
261782742,261782744,0,False,tertiary,Smith Hill Road,254.06,,,,,,,,,,,24170229,
261782742,261782738,0,False,tertiary,Smith Hill Road,193.919,,,,,,,,,,,24170229,
261782742,469531345,0,False,residential,Amanda Court,285.436,,,,,,,,,,,24171008,
261782744,261803116,0,False,tertiary,Church Road,228.445,,,,,,,,,,,24174091,
261782744,261803114,0,False,tertiary,Church Road,343.84,,,,,,,,,,,24174091,
261782744,261782742,0,False,tertiary,Smith Hill Road,254.06,,,,,,,,,,,24170229,
261782744,261778550,0,False,residential,Smith Hill Road,118.351,,,,,,,,,,,62214678,
261782749,823924375,0,False,residential,Van Gogh Lane,205.842,,,,,,,,,,,24175005,
261782749,261807324,0,False,residential,Van Gogh Lane,95.337,,,,,,,,,,,24175005,
261782749,823924102,0,False,residential,Smith Hill Road,342.474,,,,,,,,,,,62214678,
261783297,261783303,0,False,residential,Augur Road,407.554,,,,,,,,,,,24170321,
261783297,261773496,0,False,residential,Augur Road,199.538,,,,,,,,,,,24170321,
261783297,261776211,0,False,residential,Larch Court,181.685,,,,,,,,,,,24173798,
261783303,261783297,0,False,residential,Augur Road,407.554,,,,,,,,,,,24170321,
261783303,261783777,0,False,residential,Provost Drive,141.685,,,,,,,,,,,24170391,
261783303,261783769,0,False,residential,Provost Drive,420.566,,,,,,,,,,,24170391,
261783656,824017662,0,False,residential,Murray Drive,183.48,,,,,,,,,,,24174685,
261783656,261805931,0,False,residential,Murray Drive,195.765,,,,,,,,,,,24174685,
261783656,824018001,0,False,residential,Eleanor Place,318.074,,,,,,,,,,,24170376,
261783769,261773496,0,False,residential,Fairview Terrace,94.366,,,,,,,,,,,24170828,
261783769,261783303,0,False,residential,Provost Drive,420.566,,,,,,,,,,,24170391,
261783769,261773498,0,False,residential,Fairview Terrace,232.055,,,,,,,,,,,24170829,
261783777,261804556,0,False,tertiary,South Airmont Road,54.114,,,,,,,,,,,24175865,CR 89
261783777,261783303,0,False,residential,Provost Drive,141.685,,,,,,,,,,,24170391,
261783777,261807324,0,False,tertiary,South Airmont Road,233.991,,,,,,,,,,,24175865,CR 89
261783875,261783876,0,False,residential,Laura Drive,413.451,,,,,,,,,,,24170407,
261783875,261802742,0,False,tertiary,New County Road,134.764,,,,,,,,,,,24176918,CR 81
261783875,261804176,0,False,tertiary,New County Road,94.187,,,,,,,,,,,24176918,CR 81
261783876,261783878,0,False,residential,Laura Drive,171.826,,,,,,,,,,,24170407,
261783876,261783875,0,False,residential,Laura Drive,413.451,,,,,,,,,,,24170407,
261783876,824015032,0,False,residential,Glenmere Court,207.993,,,,,,,,,,,24175636,
261783878,824018001,0,False,residential,Laura Drive,205.91,,,,,,,,,,,24170407,
261783878,261783876,0,False,residential,Laura Drive,171.826,,,,,,,,,,,24170407,
261783878,261802742,0,False,residential,Woodland Place,395.085,,,,,,,,,,,24174007,
261783893,824016522,0,False,residential,Laura Drive,96.013,,,,,,,,,,,24170407,
261783893,823473709,0,False,tertiary,Christmas Hill Road,105.883,,,,,,,yes,,,,"[24175852, 48571301, 48571311]",
261783893,261789880,0,False,tertiary,Christmas Hill Road,361.639,,,,,,,,,,,24175852,
261784080,823459661,0,False,tertiary,Brookside Avenue,264.003,,,,,,,,,,,24170432,
261784080,261791643,0,False,primary,Nyack Turnpike,352.024,,,,,,,,,,,531434470,NY 59
261784080,261804184,0,False,primary,Nyack Turnpike,219.903,,,,,,,,,,,531434470,NY 59
261784196,824439874,0,False,residential,Phillips Drive,144.128,,,,,,,,,,,24170447,
261784196,261790725,0,False,tertiary,Cherry Lane,475.353,,,,,,,,,,,24171557,CR 85
261784196,824437838,0,False,tertiary,Cherry Lane,76.298,,,,,,,,,,,24171558,CR 85
261787565,261777858,0,False,residential,Kent Road,122.699,,,,,,,,,,,24171027,
261787565,4602388806,0,False,residential,Dale Road,55.115,,,,,,,,,,,24175347,
261787565,4509099764,0,False,residential,Dale Road,86.679,,,,,,,,,,,24175347,
261787999,261788528,0,False,tertiary,Campbell Avenue,220.516,,,,,,,,,,,24171235,
261787999,823458472,0,False,residential,Mary Beth Drive,98.934,,,,,,,,,,,68437874,
261787999,823457743,0,False,residential,Sabin Drive,211.178,,,,,,,,,,,24171123,
261788324,261788325,0,False,residential,Highview Avenue,226.078,,,,,,,,,,,24171198,
261788324,261789144,0,False,primary,Nyack Turnpike,702.13,,,,,,,,,,,531434470,NY 59
261788324,261773765,0,False,primary,Nyack Turnpike,205.676,,,,,,,,,,,531434470,NY 59
261788325,261788324,0,False,residential,Highview Avenue,226.078,,,,,,,,,,,24171198,
261788528,261787999,0,False,tertiary,Campbell Avenue,220.516,,,,,,,,,,,24171235,
261788528,261803119,0,False,tertiary,South Airmont Road,437.096,,,,,,,,,,,24175865,CR 89
261788528,823925536,0,False,tertiary,South Airmont Road,114.803,,,,,,,,,,,24175865,CR 89
261789144,261791643,0,False,primary,Nyack Turnpike,272.771,,,,,,,,,,,531434470,NY 59
261789144,823465347,0,False,residential,DeBaun Avenue,235.881,,,,,,,,,,,24171324,
261789144,261788324,0,False,primary,Nyack Turnpike,702.13,,,,,,,,,,,531434470,NY 59
261789407,261789408,0,False,residential,Lee Drive,139.988,,,,,,,,,,,24171377,
261789407,823479372,0,False,residential,Regina Road,123.381,,,,,,,,,,,68444444,
261789407,823479728,0,False,residential,Regina Road,460.77,,,,,,,,,,,68444444,
261789408,261789407,0,False,residential,Lee Drive,139.988,,,,,,,,,,,24171377,
261789408,823479070,0,False,tertiary,South Monsey Road,486.026,,,,,,,,,,,24171472,CR 81
261789408,261789880,0,False,tertiary,South Monsey Road,320.455,,,,,,,,,,,24171472,CR 81
261789408,823479451,0,False,residential,Patriot Drive,209.57,,,,,,,,,,,24173042,
261789880,261789408,0,False,tertiary,South Monsey Road,320.455,,,,,,,,,,,24171472,CR 81
261789880,261809899,0,False,tertiary,Monsey Heights Road,816.49,,,,,,,,,,,24175518,
261789880,261783893,0,False,tertiary,Christmas Hill Road,361.639,,,,,,,,,,,24175852,
261789880,261777391,0,False,tertiary,New County Road,363.048,,,,,,,,,,,24176918,CR 81
261789903,823472627,0,False,tertiary,South Monsey Road,783.037,,,,,,,,,,,24171472,CR 81
261790725,261790727,0,False,tertiary,Cherry Lane,174.16,,,,,,,,,,,24171557,CR 85
261790725,261801718,0,False,residential,Blossom Road,137.429,,,,,,,,,,,24175731,
261790725,261784196,0,False,tertiary,Cherry Lane,475.353,,,,,,,,,,,24171557,CR 85
261790725,823476721,0,False,residential,East Blossom Road,199.083,,,,,,,,,,,24172297,
261790727,261790725,0,False,tertiary,Cherry Lane,174.16,,,,,,,,,,,24171557,CR 85
261790727,823475221,0,False,tertiary,Cherry Lane,462.478,,,,,,,,,,,24171557,CR 85
261790727,261793865,0,False,residential,Heather Drive,275.975,,,,,,,,,,,24172161,
261790750,261773765,0,False,primary,Nyack Turnpike,38.281,,,,,,,,,,,531434470,NY 59
261790750,824437838,0,False,tertiary,Cherry Lane,200.789,,,,,,,,,,,24171558,CR 85
261790750,261804176,0,False,primary,"['Nyack Turnpike', 'New York State Highway 59', 'State Route 59']",836.069,,,,,,,yes,,,,"[39997424, 531434470, 48571303]",NY 59
261791093,824013892,0,False,residential,Besen Parkway,122.297,,,,,,,,,,,24171612,
261791093,261809899,0,False,tertiary,Monsey Heights Road,108.512,,,,,,,,,,,24175518,
261791093,361334465,0,False,tertiary,Monsey Heights Road,68.887,,,,,,,,,,,24175518,
261791643,261784080,0,False,primary,Nyack Turnpike,352.024,,,,,,,,,,,531434470,NY 59
261791643,261789144,0,False,primary,Nyack Turnpike,272.771,,,,,,,,,,,531434470,NY 59
261791643,261803576,0,False,tertiary,South Airmont Road,315.507,,,,,,,,,,,24175865,CR 89
261791643,361246068,0,False,tertiary,North Airmont Road,232.07,,,,,,,,,,,32215072,CR 89
261792973,823471725,0,False,residential,Frontier Lane,145.921,,,,,,,,,,,24176041,
261792973,823471750,0,False,residential,Rustic Drive,208.35,,,,,,,,,,,24172020,
261792973,823471662,0,False,residential,Rustic Drive,78.506,,,,,,,,,,,24172020,
261793865,823476182,0,False,residential,Heather Drive,152.413,,,,,,,,,,,24172161,
261793865,261790727,0,False,residential,Heather Drive,275.975,,,,,,,,,,,24172161,
261793865,823476047,0,False,residential,Glasgow Lane,253.677,,,,,,,,,,,24173850,
261795303,4602388807,0,False,tertiary,Shuart Road,367.39,,,,,,,,,,,24172449,
261795303,823471395,0,False,tertiary,Shuart Road,89.484,,,,,,,,,,,24172449,
261795303,4509099689,0,False,residential,Rayson Lane,78.166,,,,,,,,,,,24175843,
261799685,261811148,0,False,tertiary,South Airmont Road,115.726,,,,,,,,,,,24175865,CR 89
261799685,261776216,0,False,tertiary,South Airmont Road,40.585,,,,,,,,,,,24175865,CR 89
261799685,4509175544,0,False,residential,Vermeer Court,176.728,,,,,,,,,,,24173375,
261800122,261804053,0,False,primary,Nyack Turnpike,338.289,,,,,,,,,,,531434470,NY 59
261800608,4509156850,0,False,residential,Montclair Avenue,436.553,,,,,,,,,,,24173551,
261800608,4509099766,0,False,residential,Montclair Avenue,224.726,,,,,,,,,,,24173551,
261800608,823470927,0,False,residential,Dale Road,245.075,,,,,,,,,,,24175347,
261801718,261790725,0,False,residential,Blossom Road,137.429,,,,,,,,,,,24175731,
261801718,823476184,0,False,residential,Dawn Lane,107.513,,,,,,,,,,,24173787,
261801718,823476196,0,False,residential,Blossom Road,352.812,,,,,,,,,,,24175731,
261802742,261783878,0,False,residential,Woodland Place,395.085,,,,,,,,,,,24174007,
261802742,261780792,0,False,tertiary,New County Road,226.029,,,,,,,,,,,24176918,CR 81
