u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
111258273,111519357,0,False,tertiary,East Avenue,60.983,,,,,,,,,,,12306527,
111258273,111581839,0,False,residential,"['Liberty Street', 'Washington Street']",245.947,,,,,,,,,,,"[12316482, 12280868]",
111258273,111332481,0,False,residential,Exchange Street,149.898,,,,,,,,,,,12283477,
111258273,111536877,0,False,tertiary,East Avenue,182.552,,,,,,,,,,,12306527,
111276429,111340479,0,False,residential,Newton Avenue,92.622,,,,,,,,,,,12290469,
111276429,111433908,0,False,residential,Hoag Avenue,136.697,,,,,,,,,,,95563624,
111276429,111276440,0,False,residential,,134.428,,,,,,,,,,,12275914,
111276429,111409546,0,False,residential,Oak Street,255.98,,,,,,,,,,,"[12292176, 193175558]",
111276440,111276429,0,False,residential,,134.428,,,,,,,,,,,12275914,
111302299,111302316,0,False,residential,,62.602,,,,,,,,,,,12279330,
111302299,111302337,0,False,residential,Crescent Drive,138.22,,,,,,,,,,,12297209,
111302299,111527201,0,False,residential,Sylvan Drive,113.206,,,,,,,,,,,12320097,
111302316,111302299,0,False,residential,,62.602,,,,,,,,,,,12279330,
111302337,1641248627,0,False,residential,,68.995,,,,,,,,,,,12279337,
111302337,111302299,0,False,residential,Crescent Drive,138.22,,,,,,,,,,,12297209,
111302337,111455827,0,False,residential,Crescent Drive,283.988,,,,,,,,,,,12297209,
111327841,111327843,0,False,residential,Jackson Street,41.65,,,,,,,,,,,12282866,
111327841,111386067,0,False,secondary,Mechanic Street,175.29,,,,,,,yes,,,,"[96144283, 96144284, 12289813]",NY 93
111327841,2549916433,0,False,residential,Brooklyn Street,592.877,,,,,,,,,,,12316454,
111327841,111608404,0,False,secondary,Buell Street,122.416,,,,,,,,,,,12320510,NY 93
111327843,111327841,0,False,residential,Jackson Street,41.65,,,,,,,,,,,12282866,
111327843,111327867,0,False,residential,Jackson Street,75.757,,,,,,,,,,,12282867,
111327843,111327854,0,False,residential,Jackson Street,360.126,,,,,,,,,,,12282866,
111327854,4939083299,0,False,residential,Jackson Street,94.6,,,,,,,,,,,12282866,
111327854,111501794,0,False,residential,Flint Avenue,216.327,,,,,,,,,,,12302447,
111327854,111327843,0,False,residential,Jackson Street,360.126,,,,,,,,,,,12282866,
111327859,4939083302,0,False,tertiary,Hake Road,170.076,,,,,,,,,,,12312735,
111327859,4939083299,0,False,residential,Jackson Street,296.674,,,,,,,,,,,12282866,
111327859,111343878,0,False,tertiary,Hake Road,293.809,,,,,,,,,,,12312735,
111327867,111327843,0,False,residential,Jackson Street,75.757,,,,,,,,,,,12282867,
111332481,111581839,0,False,residential,Main Street,100.94,,,,,,,,,,,95563634,
111332481,111433898,0,False,residential,Main Street,60.274,,,,,,,,,,,95563634,
111332481,111258273,0,False,residential,Exchange Street,149.898,,,,,,,,,,,12283477,
111335516,111335533,0,False,residential,Randy Drive,449.216,,,,,,,,,,,12283856,
111335516,111335533,1,False,residential,Wesley Drive,66.475,,,,,,,,,,,12300890,
111335516,111488587,0,False,residential,Wesley Drive,341.718,,,,,,,,,,,12300890,
111335533,111488611,0,False,residential,Wesley Drive,75.491,,,,,,,,,,,12300890,
111335533,111335516,0,False,residential,Randy Drive,449.216,,,,,,,,,,,12283856,
111335533,111335516,1,False,residential,Wesley Drive,66.475,,,,,,,,,,,12300890,
111340475,111449805,0,False,tertiary,John Street,47.262,,,,,,,,,,,30966453,
111340475,111340477,0,False,residential,Marshall Street,261.855,,,,,,,,,,,12284502,
111340475,111393062,0,False,tertiary,John Street,171.907,,,,,,,,,,,30966453,
111340477,111340479,0,False,residential,Marshall Street,136.616,,,,,,,,,,,12284502,
111340477,111433908,0,False,residential,Eckerson Avenue,93.683,,,,,,,,,,,12319368,
111340477,111563949,0,False,residential,Eckerson Avenue,97.096,,,,,,,,,,,12319368,
111340477,111340475,0,False,residential,Marshall Street,261.855,,,,,,,,,,,12284502,
111340479,111340481,0,False,residential,Marshall Street,114.575,,,,,,,,,,,12284502,
111340479,111340477,0,False,residential,Marshall Street,136.616,,,,,,,,,,,12284502,
111340479,111276429,0,False,residential,Newton Avenue,92.622,,,,,,,,,,,12290469,
111340479,111563949,0,False,residential,"['Newton Avenue', 'Churchill Street']",235.582,,,,,,,,,,,"[12290469, 12309486]",
111340481,111340479,0,False,residential,Marshall Street,114.575,,,,,,,,,,,12284502,
111343659,111343675,0,False,tertiary,Clarence Center Road,914.002,,,,,,,,,,,12284896,CR 163
111343659,4939083302,0,False,tertiary,Hake Road,639.404,,,,,,,,,,,12312735,
111343675,111343676,0,False,tertiary,Clarence Center Road,74.407,,,,,,,,,,,12284896,CR 163
111343675,111449895,0,False,tertiary_link,Clarence Ctr Rd,87.743,,,,,,,,,,,12320504,
111343675,111343659,0,False,tertiary,Clarence Center Road,914.002,,,,,,,,,,,12284896,CR 163
111343676,111343675,0,False,tertiary,Clarence Center Road,74.407,,,,,,,,,,,12284896,CR 163
111343676,4939083298,0,False,secondary,Buell Street,150.044,,,,,,,,,,,12320510,NY 93
111343676,111449895,0,False,secondary,Buell Street,45.105,,,,,,,,,,,12320510,NY 93
111343878,111327859,0,False,tertiary,Hake Road,293.809,,,,,,,,,,,12312735,
111350576,111449808,0,False,tertiary,Main Street,99.416,,,,30 mph,,,,,,,30966451,
111350576,111350582,0,False,residential,Hart Street,149.633,,,,,,,,,,,12285676,
111350576,111393060,0,False,tertiary,Main Street,118.545,,,,30 mph,,,,,,,30966451,
111350582,111350576,0,False,residential,Hart Street,149.633,,,,,,,,,,,12285676,
111354340,111453295,0,False,tertiary,Main Street,90.07,,,,30 mph,,,,,,,30966451,
111354340,111425007,0,False,tertiary,Main Street,95.017,,,,30 mph,,,,,,,30966451,
111354342,111453045,0,False,tertiary,John Street,88.743,,,,,,,,,,,30966453,
111354342,111420083,0,False,tertiary,John Street,43.606,,,,,,,,,,,30966453,
111354342,111354340,0,True,residential,Monroe Street,121.677,,,,,,,,,,,12286119,
111366593,111366599,0,False,residential,Shepard Avenue,289.487,,,,,,,,,,,12287440,
111366599,111366602,0,False,residential,Shepard Avenue,144.709,,,,,,,,,,,12287440,
111366599,111610646,0,False,residential,Westgate Avenue,120.17,,,,,,,,,,,12315113,
