osmid,x,y,ref,highway
211220601,-76.591218,42.936126,,
211220607,-76.588852,42.936646,,
211220626,-76.585664,42.937338,,
211220802,-76.552653,42.911056,,
211220817,-76.552753,42.912036,,
211220827,-76.552786,42.91283,,
211220830,-76.552824,42.913205,,
211220832,-76.552852,42.913624,,
211220838,-76.55287,42.914072,,
211220840,-76.552891,42.914418,,
211220843,-76.552923,42.914945,,
211220851,-76.552954,42.915388,,
211220854,-76.5529788,42.9158297,,
211220857,-76.553035,42.916769,,
211220860,-76.553093,42.917755,,
211220869,-76.553162,42.918775,,
211220872,-76.553205,42.919526,,
211220883,-76.5532802,42.9205022,,
211220895,-76.553535,42.921468,,
211220916,-76.553466,42.9205,,
211220924,-76.553406,42.919528,,
211220931,-76.553363,42.918766,,
211220945,-76.553248,42.916742,,
211220947,-76.553193,42.915822,,
211220948,-76.553145,42.914945,,
211220952,-76.55309,42.914077,,
211220959,-76.55304,42.913197,,
211220968,-76.552974,42.912036,,
211221056,-76.553536,42.921484,,
211221068,-76.553654,42.922456,,
211221077,-76.553886,42.923404,,
211221086,-76.55416,42.924442,,
211221102,-76.554544,42.925987,,
211221121,-76.553781,42.927446,,
211221594,-76.573788,42.929946,,
211221607,-76.5739039,42.9312056,,
211221629,-76.543851,42.93753,,
211221644,-76.541266,42.937656,,
211221660,-76.53775,42.937813,,
211221716,-76.555287,42.937036,,
211221731,-76.553984,42.93711,,
211221738,-76.553056,42.937148,,
211221745,-76.55146,42.937216,,
211221754,-76.550014,42.937278,,
211221760,-76.548601,42.937338,,
211221762,-76.547292,42.93739,,stop
211221770,-76.545811,42.93746,,
211222114,-76.551715,42.923493,,
211222133,-76.550016,42.923632,,
211222551,-76.571403,42.948686,,
211222632,-76.566199,42.951905,,
211223012,-76.558759,42.948429,,
211223051,-76.55657,42.948447,,
211223058,-76.566158,42.945719,,
211223069,-76.566254,42.94671,,
211223073,-76.566326,42.947512,,
211223136,-76.566725,42.939879,,
211223149,-76.563624,42.939989,,
211223793,-76.550439,42.928028,,
211223804,-76.55051,42.928845,,
211223812,-76.551256,42.926823,,
211223827,-76.550386,42.92803,,
211225106,-76.563481,42.937899,,
211225135,-76.563696,42.940789,,
211226894,-76.538675,42.934658,,
211226897,-76.53869,42.934813,,
211226903,-76.53982,42.934514,,
211226906,-76.539836,42.934669,,
211230142,-76.5851167,42.9307577,,
211230143,-76.585113,42.93096,,
211230233,-76.594108,42.929413,,
211230289,-76.576253,42.931132,,
211230303,-76.574839,42.931908,,
211230332,-76.550686,42.947281,,
211232075,-76.542785,42.942347,,traffic_signals
211234589,-76.577395,42.930807,,
211234597,-76.576272,42.931175,,
211234976,-76.576339,42.919937,,
211234979,-76.576239,42.919948,,
211234987,-76.576021,42.915723,,
211234991,-76.576024,42.915759,,
211234995,-76.579265,42.915583,,
211234998,-76.579269,42.915622,,
211235187,-76.596321,42.948238,,
211236738,-76.568477,42.91453,,
211236750,-76.566828,42.914595,,
211238707,-76.556935,42.950173,,
211238775,-76.556042,42.950797,,
211239656,-76.554114,42.952024,,
211239776,-76.594525,42.93158,,
211239797,-76.594849,42.93567,,
211240460,-76.570886,42.915169,,
211240469,-76.570953,42.91608,,
211240481,-76.571091,42.918074,,
211240490,-76.569254,42.920528,,
211240547,-76.572106,42.918032,,
211241439,-76.559032,42.949891,,
211241481,-76.557501,42.949852,,
211241640,-76.555104,42.950304,,
211243752,-76.581435,42.934819,,
211243755,-76.581368,42.933971,,
211243903,-76.577184,42.933131,,
211243907,-76.576148,42.933383,,
211244322,-76.564799,42.913398,,
211244329,-76.566627,42.913264,,
211244746,-76.562098,42.918965,,
211244754,-76.562005,42.917876,,
211244759,-76.580501,42.942782,,
211244768,-76.578536,42.942864,,
211244781,-76.574145,42.943033,,
211244837,-76.558132,42.94476,,
211244842,-76.558806,42.94477,,
211244852,-76.560239,42.944806,,
211244860,-76.539555,42.931289,,
211244865,-76.539674,42.932758,,
211245061,-76.5662618,42.933755,,
211245074,-76.5674575,42.9339828,,
211245082,-76.588565,42.947136,,
211245107,-76.587366,42.945309,,
211245313,-76.579518,42.933199,,
211245316,-76.579724,42.933661,,
211245346,-76.578706,42.931742,,
211247794,-76.5868596,42.9523348,,
211247833,-76.57527,42.928568,,
211247845,-76.574641,42.928868,,
211248003,-76.553307,42.950578,,
211248109,-76.554981,42.948032,,
211248118,-76.555169,42.946785,,
