osmid,x,y,ref,highway
211233720,-76.698089,42.745778,,
211241826,-76.703025,42.736981,,
211267396,-76.702151,42.738609,,
211275836,-76.698694,42.747507,,
211275840,-76.697123,42.747569,,
211281607,-76.701343,42.750689,,
211297062,-76.698812,42.747501,,
211297081,-76.700301,42.747445,,
211298513,-76.703599,42.757653,,
211298523,-76.702283,42.75776,,
211309558,-76.702936,42.737207,,
211314862,-76.70164,42.755831,,
211314883,-76.702933,42.755609,,
211314896,-76.70371,42.755472,,
211351057,-76.701348,42.754967,,
211351062,-76.69985,42.755236,,
211371394,-76.702402,42.753985,,
211393128,-76.701101,42.75421,,
211393131,-76.701791,42.756291,,
211412349,-76.6986,42.754594,,
211417233,-76.698687,42.748401,,
211417240,-76.698126,42.748493,,
211417247,-76.698709,42.748512,,
211433208,-76.700436,42.756426,,
211442139,-76.705314,42.760434,,
211442170,-76.705531,42.760624,,
