osmid,x,y,ref,highway
212521851,-77.7475182,42.908247,,
212523558,-77.7468564,42.9042142,,
212523566,-77.7463503,42.9043131,,
212523922,-77.7368632,42.9057225,,
212525261,-77.7385669,42.907833,,
212533899,-77.7460663,42.9118144,,
212534801,-77.7406735,42.9082274,,
212537919,-77.7336205,42.9101881,,traffic_signals
212537922,-77.7333174,42.9111038,,
212537923,-77.7331262,42.9119061,,
212543021,-77.7342059,42.897295,,
212543023,-77.7440717,42.8992156,,
212543026,-77.7457632,42.8995779,,
212543029,-77.7477624,42.9000493,,
212543035,-77.7503928,42.9006567,,
212545233,-77.7416326,42.9201807,,
212545238,-77.7446928,42.920791,,
212545388,-77.7506595,42.9122109,,
212545394,-77.7525269,42.9129808,,
212546487,-77.7474911,42.9128368,,
212546490,-77.7480326,42.9131404,,
212546494,-77.7485138,42.9134247,,
212546497,-77.749363,42.9138987,,
212546500,-77.7495237,42.9140053,,
212546508,-77.7510443,42.914842,,
212546519,-77.7535199,42.916232,,
212547893,-77.7351202,42.9018656,,
212547910,-77.7343172,42.902937,,
212548276,-77.7364328,42.9115145,,
212549420,-77.748309,42.9157232,,
212549427,-77.7493497,42.9162104,,
212550125,-77.745155,42.907274,,
212550131,-77.7476682,42.9077994,,
212551770,-77.7402169,42.9175724,,
212552542,-77.7409917,42.9111506,,
212553918,-77.7435902,42.9116436,,
212553935,-77.7423176,42.9179534,,
212553938,-77.7416873,42.9198581,,
212555041,-77.7570371,42.9013158,,
212555053,-77.7594388,42.9045377,,
212555061,-77.7588946,42.9070676,,
212556193,-77.7445679,42.9089632,,
212556194,-77.7470825,42.9094691,,
212557172,-77.7337549,42.9012133,,
212557752,-77.748445,42.905714,,
212557760,-77.7516619,42.9061443,,
212557855,-77.7564871,42.9067482,,
212561810,-77.7397261,42.9109683,,
212561818,-77.7376038,42.9107002,,
212561821,-77.7345373,42.9103127,,
212562157,-77.7469558,42.9152079,,
212563560,-77.7430771,42.903455,,
212568587,-77.7456071,42.9186393,,
212569898,-77.7405577,42.9262968,,
212574644,-77.7517693,42.9107458,,
212580875,-77.7457479,42.905609,,
212581693,-77.7529787,42.9124297,,
212585082,-77.7518212,42.9138924,,
212586644,-77.7539325,42.911311,,
212591444,-77.733189,42.9029344,,
212591606,-77.7662265,42.9074603,,
212592938,-77.7441604,42.9045692,,turning_circle
212593115,-77.7516066,42.9138016,,
297119574,-77.7441512,42.9117476,,
297119702,-77.746364,42.9122348,,
297119829,-77.7448995,42.9121248,,
297119837,-77.7458463,42.9124018,,
297119840,-77.7456972,42.9114635,,
297119843,-77.7450347,42.9116678,,
297119885,-77.7443371,42.9117797,,
297119901,-77.7461762,42.9119401,,
297119904,-77.7459107,42.9123664,,
297119931,-77.7463908,42.9114038,,
297119965,-77.7461789,42.9114962,,
297119966,-77.745716,42.9114006,,
876159929,-77.7415724,42.9213806,,
1302782600,-77.7561689,42.9176307,,
1446491750,-77.7436316,42.9225702,,
1946110191,-77.7351309,42.9013292,,
1946110195,-77.7351194,42.9011542,,
2011754753,-77.7362992,42.9119729,,
2011754759,-77.7375763,42.9122093,,
2011754761,-77.7360961,42.9125769,,
2011754767,-77.7373692,42.9128102,,
2011754777,-77.7360602,42.9128628,,
2011754799,-77.7363056,42.9133237,,
2011754808,-77.7347638,42.9139728,,
2011754819,-77.73661,42.9140676,,
2011754831,-77.7420043,42.9141718,,turning_circle
2011754837,-77.7365303,42.9143856,,
2011754839,-77.7380519,42.9145607,,
2011949331,-77.74855,42.9054201,,
2550708531,-77.7337788,42.898483,,
2550708534,-77.734501,42.8986194,,
2550943680,-77.736422,42.9105509,,
2550943686,-77.7360976,42.9114595,,
3077726565,-77.7463021,42.9116255,,
