u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
211807542,211820273,0,False,residential,"['Hillside Avenue', 'Greenlawn Avenue']",599.638,,,,,,,,,,,"[20055000, 20063533]",
211818877,211820273,0,False,residential,,47.954,,,,,,,,,,,20055918,
211818877,211818877,0,False,residential,,131.378,,,,,,,,,,,20055767,
211818877,211818877,1,False,residential,,131.378,,,,,,,,,,,20055767,
211820273,211818877,0,False,residential,,47.954,,,,,,,,,,,20055918,
211820273,211807542,0,False,residential,"['Hillside Avenue', 'Greenlawn Avenue']",599.638,,,,,,,,,,,"[20055000, 20063533]",
211820273,211870463,0,False,residential,Greenlawn Avenue,45.229,,,,,,,,,,,20063533,
211821578,211821597,0,False,residential,,230.684,,,,,,,,,,,20056045,
211821597,211908904,0,False,residential,Freiot Avenue,27.972,,,,,,,,,,,20068514,
211821597,211821578,0,False,residential,,230.684,,,,,,,,,,,20056045,
211821597,211934442,0,False,residential,Freiot Avenue,124.252,,,,,,,,,,,20068514,
211830616,211830618,0,False,residential,,27.965,,,,,,,,,,,20057088,
211830616,211843374,0,False,residential,Evans Street,188.023,,,,,,,,,,,20058547,
211830616,211899448,0,False,residential,"['River Street', 'Evans Street']",155.649,,,,,,,,,,,"[20058547, 20068043]",
211830618,211830616,0,False,residential,,27.965,,,,,,,,,,,20057088,
211843372,211843374,0,False,secondary,North Main Street,160.123,,,,,,,,,,,20058332,NY 7
211843372,211895425,0,False,secondary,South Main Street,82.347,,,,,,,,,,,20062527,NY 7
211843372,211848627,0,False,secondary,West Main Street,158.735,,,,,,,,,,,20058839,NY 206
211843372,211899450,0,False,secondary,East Main Street,93.241,,,,,,,,,,,20062795,NY 206
211843374,211843372,0,False,secondary,North Main Street,160.123,,,,,,,,,,,20058332,NY 7
211843374,211934436,0,False,secondary,North Main Street,96.919,,,,,,,,,,,"[20065376, 20058332]",NY 7
211843374,211830616,0,False,residential,Evans Street,188.023,,,,,,,,,,,20058547,
211848627,211848630,0,False,secondary,West Main Street,33.65,,,,,,,,,,,20058839,NY 206
211848627,211843372,0,False,secondary,West Main Street,158.735,,,,,,,,,,,20058839,NY 206
211848627,211996667,0,False,residential,Railroad Avenue,162.783,,,,,,,,,,,20068536,
211848630,211848633,0,False,secondary,West Main Street,50.219,,,,,,,,,,,20058839,NY 206
211848630,211848627,0,False,secondary,West Main Street,33.65,,,,,,,,,,,20058839,NY 206
211848630,211903924,0,False,residential,Pearl Street,161.438,,,,,,,,,,,20063125,
211848633,211848636,0,False,secondary,West Main Street,71.896,,,,,,,,,,,20058839,NY 206
211848633,211848630,0,False,secondary,West Main Street,50.219,,,,,,,,,,,20058839,NY 206
211848633,211952633,0,False,residential,Kirby Street,151.036,,,,,,,,,,,20068857,
211848636,211848633,0,False,secondary,West Main Street,71.896,,,,,,,,,,,20058839,NY 206
211848636,211848642,0,False,secondary,West Main Street,77.93,,,,,,,,,,,20058839,NY 206
211848636,211909376,0,False,residential,Juliand Street,150.057,,,,,,,,,,,20063579,
211848642,211848650,0,False,secondary,West Main Street,194.364,,,,,,,,,,,20058839,NY 206
211848642,211848636,0,False,secondary,West Main Street,77.93,,,,,,,,,,,20058839,NY 206
211848642,211914038,0,False,residential,Newton Avenue,575.771,,,,,,,,,,,20063972,
211848650,211848664,0,False,secondary,West Main Street,335.849,,,,,,,,,,,20058839,NY 206
211848650,211848642,0,False,secondary,West Main Street,194.364,,,,,,,,,,,20058839,NY 206
211848650,211904816,0,False,residential,Terrace Hill Road,221.835,,,,,,,,,,,20065385,
211848664,211848650,0,False,secondary,West Main Street,335.849,,,,,,,,,,,20058839,NY 206
211848664,211863911,0,False,residential,Mount Pleasant Drive,192.662,,,,,,,,,,,20060266,
211854219,211854223,0,False,residential,Parsons Street,90.53,,,,,,,,,,,20059413,
211854219,211948230,0,False,residential,Bennett Street,159.171,,,,,,,,,,,20065936,
211854219,211948247,0,False,residential,Bennett Street,85.709,,,,,,,,,,,20065937,
211854223,211854232,0,False,residential,Parsons Street,179.577,,,,,,,,,,,20059413,
211854223,211854219,0,False,residential,Parsons Street,90.53,,,,,,,,,,,20059413,
211854223,211996155,0,False,residential,Kirby Street,163.916,,,,,,,,,,,20068857,
211854232,211854223,0,False,residential,Parsons Street,179.577,,,,,,,,,,,20059413,
211854232,211854701,0,False,residential,Pruyn Street,166.888,,,,,,,,,,,20059459,
211854232,211854691,0,False,residential,Pruyn Street,126.504,,,,,,,,,,,20059459,
211854691,211854232,0,False,residential,Pruyn Street,126.504,,,,,,,,,,,20059459,
211854701,211996155,0,False,residential,Freiot Avenue,162.117,,,,,,,,,,,20068514,
211854701,211908904,0,False,residential,Freiot Avenue,10.25,,,,,,,,,,,20068514,
211854701,211854232,0,False,residential,Pruyn Street,166.888,,,,,,,,,,,20059459,
211857554,211881556,0,False,secondary,North Main Street,264.157,,,,,,,,,,,20065376,NY 7
211857554,211934442,0,False,secondary,North Main Street,123.08,,,,,,,,,,,20065376,NY 7
211857554,211857565,0,False,residential,Benson Road,144.592,,,,,,,,,,,20059755,
211857565,211857554,0,False,residential,Benson Road,144.592,,,,,,,,,,,20059755,
211863381,211884146,0,False,residential,"['Prospect Street', 'Tyler Street', 'Pprospect Street']",272.817,,,,,,,,,,,"[20059890, 20061723, 20060245]",
211863381,211930961,0,False,residential,Jericho Road,143.348,,,,,,,,,,,20065238,
211863381,211909372,0,False,residential,Walnut Avenue,161.731,,,,,,,,,,,20066979,
211863911,211848664,0,False,residential,Mount Pleasant Drive,192.662,,,,,,,,,,,20060266,
211863911,211874866,0,False,residential,Newton Town Road,129.702,,,,,,,,,,,20061058,
211870463,211870468,0,False,residential,High Street,114.999,,,,,,,,,,,20060693,
211870463,211820273,0,False,residential,Greenlawn Avenue,45.229,,,,,,,,,,,20063533,
211870463,211908928,0,False,residential,Greenlawn Avenue,196.264,,,,,,,,,,,20063533,
211870468,211870463,0,False,residential,High Street,114.999,,,,,,,,,,,20060693,
211874866,211863911,0,False,residential,Newton Town Road,129.702,,,,,,,,,,,20061058,
211874866,211928534,0,False,residential,Henry Court,165.314,,,,,,,,,,,20065054,
211881524,211881556,0,False,residential,Whitney Way,299.688,,,,,,,,,,,20061555,
211881524,211881556,1,False,secondary,North Main Street,161.91,,,,,,,,,,,20065376,NY 7
211881524,211888960,0,False,secondary,North Main Street,37.726,,,,,,,,,,,20065376,NY 7
211881556,211857554,0,False,secondary,North Main Street,264.157,,,,,,,,,,,20065376,NY 7
211881556,211881524,0,False,residential,Whitney Way,299.688,,,,,,,,,,,20061555,
211881556,211881524,1,False,secondary,North Main Street,161.91,,,,,,,,,,,20065376,NY 7
211884125,211884143,0,False,residential,Tyler Street,158.462,,,,,,,,,,,20061723,
211884125,211895417,0,False,secondary,South Main Street,243.921,,,,,,,,,,,20062527,NY 7
211884143,211884146,0,False,residential,Tyler Street,57.378,,,,,,,,,,,20061723,
211884143,211884125,0,False,residential,Tyler Street,158.462,,,,,,,,,,,20061723,
211884143,211903922,0,False,residential,Pearl Street,228.952,,,,,,,,,,,20063125,
211884146,211884143,0,False,residential,Tyler Street,57.378,,,,,,,,,,,20061723,
211884146,211863381,0,False,residential,"['Pprospect Street', 'Prospect Street', 'Tyler Street']",272.817,,,,,,,,,,,"[20059890, 20061723, 20060245]",
