osmid,x,y,ref,highway
120031403,-78.167965,42.065161,,
120031467,-78.165301,42.065174,,
120031508,-78.162919,42.065246,,
120031549,-78.160826,42.065318,,
120031654,-78.15961,42.065246,,
120044896,-78.172507,42.06598,,
120044937,-78.171985,42.065568,,
120044970,-78.17121,42.065249,,
120044977,-78.171029,42.065237,,
120044986,-78.170225,42.065185,,
120044997,-78.169263,42.065127,,
120045018,-78.167988,42.065043,,
120095374,-78.17296,42.075249,,
120095384,-78.173626,42.075033,,
120095541,-78.174014,42.073426,,
120099483,-78.172243,42.06528,,
120109068,-78.15885,42.063389,,
120109078,-78.159698,42.06296,,
120114707,-78.169482,42.061589,,
120129886,-78.156222,42.066805,,
120236396,-78.171344,42.066336,,
120236404,-78.172612,42.066528,,
120239894,-78.164741,42.073302,,
120239905,-78.165244,42.073468,,
120373994,-78.16728,42.068581,,
120374003,-78.168261,42.068688,,
120374016,-78.168547,42.068721,,
120374039,-78.169725,42.069004,,
120374145,-78.171814,42.069628,,
120374162,-78.16927,42.070337,,
120391598,-78.168551,42.063326,,
120470447,-78.167413,42.060109,,
120470535,-78.17014,42.062123,,
120524136,-78.170466,42.064119,,
120524159,-78.169868,42.066908,,
120524184,-78.16984,42.067193,,
120525805,-78.16416,42.067809,,
120525809,-78.165467,42.067835,,
120525823,-78.167418,42.067912,,
120541531,-78.159637,42.065658,,
120591070,-78.168644,42.063228,,
120591252,-78.162871,42.063546,,
120634488,-78.165249,42.06437,,
120634503,-78.16535,42.065972,,
120634520,-78.165398,42.066752,,
120673173,-78.171505,42.064399,,
120681560,-78.16429,42.064418,,
120681590,-78.168137,42.064289,,
120721041,-78.158118,42.066949,,
120732606,-78.162239,42.066845,,
120759961,-78.170059,42.066933,,
120759965,-78.168926,42.0668,,
120759997,-78.167664,42.066705,,traffic_signals
120761298,-78.171372,42.073158,,
120771692,-78.167246,42.068745,,
120782217,-78.167008,42.069927,,
120782309,-78.1695016,42.0639389,,
120783153,-78.163565,42.068837,,
120801677,-78.165774,42.072534,,
120801721,-78.161549,42.07908,,
120802057,-78.167807,42.065988,,
120899433,-78.162965,42.06605,,
120899439,-78.160843,42.06612,,
120899514,-78.160869,42.066909,,
120899536,-78.163008,42.066826,,
120899550,-78.1641,42.066799,,
